"cell","process_scenario","visit_key","pressure_key","profile","G","delta","rd_full","rd_full_mcse","rd_panel","rd_panel_mcse","rd_panel_oracle","rd_panel_oracle_mcse","approximation_error","approximation_error_mcse","oracle_approximation_error","oracle_approximation_error_mcse","delta_g","delta_g_mcse","truth_n","truth_batches","precision_met","population_models_valid"
17,1,"frequent","lower","negligible-smooth",4,1,-0.00269788185111097,9.40007840344315e-07,-0.000472540638204511,0.00310334936162221,-0.000472540638202956,0.0031033493616221,0.00222534121290646,0.00310240935378187,0.00222534121290802,0.00310240935378175,-6.40294042929257e-05,1.11935417432263e-06,500000,2,TRUE,TRUE
17,1,"frequent","lower","negligible-smooth",4,2,-0.00269788185111097,9.40007840344315e-07,-0.00269541389839623,0.000653294104931201,-0.0024574793069988,0.000953904046225751,2.46795271474642e-06,0.000652354097090857,0.000240402544112173,0.000952964038385407,-6.40294042929257e-05,1.11935417432263e-06,500000,2,TRUE,TRUE
17,1,"frequent","lower","negligible-smooth",4,4,-0.00269788185111097,9.40007840344315e-07,-0.00342384276434021,0.000166249088598691,-0.00228285741124312,0.000563945557942147,-0.00072596091322924,0.000165309080758347,0.00041502443986785,0.000563005550101803,-6.40294042929257e-05,1.11935417432263e-06,500000,2,TRUE,TRUE
17,1,"frequent","lower","negligible-smooth",4,8,-0.00269788185111097,9.40007840344315e-07,0.0793884870099541,0.00117699169678193,-0.00228285741124329,0.000563945557942314,0.0820863688610651,0.00117605168894158,0.000415024439867684,0.000563005550101969,-6.40294042929257e-05,1.11935417432263e-06,500000,2,TRUE,TRUE
18,2,"sparse","lower","negligible-smooth",4,1,-0.00286762958257175,4.14412812455023e-06,-0.00104902374011712,0.00265040404066302,-0.00104902374011701,0.00265040404066302,0.00181860584245463,0.00264625991253847,0.00181860584245475,0.00264625991253847,-5.34087975775088e-05,2.22106329980654e-06,500000,2,TRUE,TRUE
18,2,"sparse","lower","negligible-smooth",4,2,-0.00286762958257175,4.14412812455023e-06,-0.00297521351996605,0.000359192015813192,-0.00209925904418351,0.000524426599871508,-0.000107583937394296,0.000355047887688642,0.000768370538388241,0.000520282471746958,-5.34087975775088e-05,2.22106329980654e-06,500000,2,TRUE,TRUE
18,2,"sparse","lower","negligible-smooth",4,4,-0.00286762958257175,4.14412812455023e-06,-0.00540472622880778,0.000643097255082548,-0.00349446137787407,0.000645679576164182,-0.00253709664623603,0.000638953126957997,-0.000626831795302318,0.000641535448039632,-5.34087975775088e-05,2.22106329980654e-06,500000,2,TRUE,TRUE
18,2,"sparse","lower","negligible-smooth",4,8,-0.00286762958257175,4.14412812455023e-06,0.0749811054909966,0.000615065537303838,-0.00349446137787435,0.000645679576164126,0.0778487350735683,0.000610921409179288,-0.000626831795302596,0.000641535448039576,-5.34087975775088e-05,2.22106329980654e-06,500000,2,TRUE,TRUE
19,3,"frequent","higher","negligible-smooth",4,1,-0.00105331101291134,2.40699393588839e-06,0.00188987176354966,0.000742346006420702,0.00188987176354799,0.00074234600642048,0.002943182776461,0.000739939012484814,0.00294318277645933,0.000739939012484592,-0.00029674813983302,1.93502315928851e-06,500000,2,TRUE,TRUE
19,3,"frequent","higher","negligible-smooth",4,2,-0.00105331101291134,2.40699393588839e-06,-0.0253770562527041,0.00445898185229387,0.000523928968789167,0.000587485782734265,-0.0243237452397928,0.00446138884622976,0.00157723998170051,0.000589892776670153,-0.00029674813983302,1.93502315928851e-06,500000,2,TRUE,TRUE
