"scenario","horizon","target_c120","shape","alpha_l_key","persistence","rd_itt","rd_pp","attenuation","c_true","c_obs","c_obs_mcse"
18,60,0.7,"late","neutral","legacy",-0.1229885,-0.140657,0.125614082484341,0.3114945,0.310413172594695,0.00030437463038786
18,84,0.7,"late","neutral","legacy",-0.1465685,-0.180419,0.187621591960936,0.4671975,0.466213705110271,0.000336978416718521
18,120,0.7,"late","neutral","legacy",-0.1598965,-0.223645,0.285043260524492,0.7004335,0.700293139981356,0.000313687221080452
19,12,0.2,"early","prognostic","legacy",-0.0231645,-0.0234655,0.0128273422684367,0.049181,0.042101415986659,0.000127400189563862
19,24,0.2,"early","prognostic","legacy",-0.055433,-0.0588275,0.0577026050741574,0.0882465,0.0759333710659857,0.000173855363731779
19,36,0.2,"early","prognostic","legacy",-0.0825635,-0.0899965,0.08259210080392,0.1196015,0.103549137515018,0.000201157712982295
19,60,0.2,"early","prognostic","legacy",-0.125801,-0.1415795,0.111446219261969,0.166273,0.144754560889094,0.00023380828444094
19,84,0.2,"early","prognostic","legacy",-0.15738,-0.181118,0.131063726410407,0.197834,0.172856771972125,0.000254416566316711
19,120,0.2,"early","prognostic","legacy",-0.1900825,-0.2240675,0.151673044952972,0.2280775,0.199968807621818,0.000271784681603206
20,12,0.45,"early","prognostic","legacy",-0.021882,-0.0234065,0.0651314805716363,0.131423,0.114139920797529,0.000207674907491454
20,24,0.45,"early","prognostic","legacy",-0.0507685,-0.0585795,0.133340161660649,0.225162,0.197401852761965,0.000271548555742128
20,36,0.45,"early","prognostic","legacy",-0.0729415,-0.089605,0.185966184922716,0.29407,0.2599954983955,0.000295913172114791
20,60,0.45,"early","prognostic","legacy",-0.104631,-0.1405085,0.255340424244797,0.386986,0.346382076093747,0.000318463698687343
20,84,0.45,"early","prognostic","legacy",-0.125799,-0.1801035,0.301518293647819,0.444163,0.400592840286738,0.000331235357302494
20,120,0.45,"early","prognostic","legacy",-0.1456615,-0.22324,0.347511646658305,0.4950225,0.44953039505673,0.000343621697277219
21,12,0.7,"early","prognostic","legacy",-0.0207845,-0.0237535,0.124992106426422,0.2602005,0.229144689375444,0.000290480914888587
21,24,0.7,"early","prognostic","legacy",-0.044701,-0.0587665,0.239345545506369,0.413961,0.372053471172611,0.000348569679626845
21,36,0.7,"early","prognostic","legacy",-0.0602665,-0.0901515,0.331497534705468,0.5133275,0.467298192277982,0.000351216376934679
21,60,0.7,"early","prognostic","legacy",-0.0792675,-0.1412585,0.438847927735322,0.629337,0.583230985235025,0.000350768083470099
21,84,0.7,"early","prognostic","legacy",-0.0896555,-0.181248,0.5053435072387,0.6919155,0.647445841580039,0.000346404374945702
21,120,0.7,"early","prognostic","legacy",-0.0977485,-0.224113,0.563842793590733,0.7418215,0.699786523057785,0.000329482897582455
22,12,0.2,"late","prognostic","legacy",-0.023518,-0.0234855,-0.00138383257754771,0.011895,0.0100735604157072,6.89381130510705e-05
22,24,0.2,"late","prognostic","legacy",-0.057641,-0.058149,0.00873617775026236,0.025473,0.0217636596224763,0.000101803780979288
22,36,0.2,"late","prognostic","legacy",-0.0874445,-0.089459,0.0225186957153557,0.0412175,0.035283810280161,0.000124846383465984
22,60,0.2,"late","prognostic","legacy",-0.1359285,-0.14069,0.0338439121472743,0.079534,0.0683766138513514,0.000170866424377749
22,84,0.2,"late","prognostic","legacy",-0.171184,-0.1804045,0.051110144148289,0.1291695,0.111829585577483,0.000209196425497633
22,120,0.2,"late","prognostic","legacy",-0.204899,-0.2231315,0.0817119053114416,0.228063,0.19989592675358,0.000270352287647875
