"scenario","target_c120","shape","alpha_l_key","alpha_l","persistence","horizon","risk_itt1","risk_itt0","risk_pp1","risk_pp0","rd_itt","rd_pp","attenuation","c_true"
19,0.2,"early","prognostic",0.6,"legacy",84,0.188703,0.346083,0.1886895,0.3698075,-0.15738,-0.181118,0.131063726410407,0.197834
19,0.2,"early","prognostic",0.6,"legacy",120,0.251253,0.4413355,0.2512405,0.475308,-0.1900825,-0.2240675,0.151673044952972,0.2280775
20,0.45,"early","prognostic",0.6,"legacy",12,0.0432415,0.0651235,0.04329,0.0666965,-0.021882,-0.0234065,0.0651314805716363,0.131423
20,0.45,"early","prognostic",0.6,"legacy",24,0.0698595,0.120628,0.069627,0.1282065,-0.0507685,-0.0585795,0.133340161660649,0.225162
20,0.45,"early","prognostic",0.6,"legacy",36,0.095325,0.1682665,0.09513,0.184735,-0.0729415,-0.089605,0.185966184922716,0.29407
20,0.45,"early","prognostic",0.6,"legacy",60,0.1439045,0.2485355,0.1433475,0.283856,-0.104631,-0.1405085,0.255340424244797,0.386986
20,0.45,"early","prognostic",0.6,"legacy",84,0.1890245,0.3148235,0.1887425,0.368846,-0.125799,-0.1801035,0.301518293647819,0.444163
20,0.45,"early","prognostic",0.6,"legacy",120,0.2514165,0.397078,0.2511505,0.4743905,-0.1456615,-0.22324,0.347511646658305,0.4950225
21,0.7,"early","prognostic",0.6,"legacy",12,0.042973,0.0637575,0.04319,0.0669435,-0.0207845,-0.0237535,0.124992106426422,0.2602005
21,0.7,"early","prognostic",0.6,"legacy",24,0.0693885,0.1140895,0.0696145,0.128381,-0.044701,-0.0587665,0.239345545506369,0.413961
21,0.7,"early","prognostic",0.6,"legacy",36,0.0949395,0.155206,0.0949185,0.18507,-0.0602665,-0.0901515,0.331497534705468,0.5133275
21,0.7,"early","prognostic",0.6,"legacy",60,0.1434305,0.222698,0.1433,0.2845585,-0.0792675,-0.1412585,0.438847927735322,0.629337
21,0.7,"early","prognostic",0.6,"legacy",84,0.188778,0.2784335,0.188414,0.369662,-0.0896555,-0.181248,0.5053435072387,0.6919155
21,0.7,"early","prognostic",0.6,"legacy",120,0.2510035,0.348752,0.2509405,0.4750535,-0.0977485,-0.224113,0.563842793590733,0.7418215
22,0.2,"late","prognostic",0.6,"legacy",12,0.0431835,0.0667015,0.043299,0.0667845,-0.023518,-0.0234855,-0.00138383257754771,0.011895
22,0.2,"late","prognostic",0.6,"legacy",24,0.0696105,0.1272515,0.069924,0.128073,-0.057641,-0.058149,0.00873617775026236,0.025473
22,0.2,"late","prognostic",0.6,"legacy",36,0.095183,0.1826275,0.095211,0.18467,-0.0874445,-0.089459,0.0225186957153557,0.0412175
22,0.2,"late","prognostic",0.6,"legacy",60,0.1435335,0.279462,0.1435355,0.2842255,-0.1359285,-0.14069,0.0338439121472743,0.079534
22,0.2,"late","prognostic",0.6,"legacy",84,0.1888265,0.3600105,0.1889815,0.369386,-0.171184,-0.1804045,0.051110144148289,0.1291695
22,0.2,"late","prognostic",0.6,"legacy",120,0.2513755,0.4562745,0.2517495,0.474881,-0.204899,-0.2231315,0.0817119053114416,0.228063
23,0.45,"late","prognostic",0.6,"legacy",12,0.043197,0.0667615,0.0430815,0.0665665,-0.0235645,-0.023485,-0.00338513945071339,0.0332795
23,0.45,"late","prognostic",0.6,"legacy",24,0.0696505,0.126295,0.069519,0.1280035,-0.0566445,-0.0584845,0.0314613273602409,0.070486
23,0.45,"late","prognostic",0.6,"legacy",36,0.0952655,0.1798225,0.0949895,0.1844055,-0.084557,-0.089416,0.0543415048760848,0.111674
23,0.45,"late","prognostic",0.6,"legacy",60,0.143536,0.270763,0.14343,0.284002,-0.127227,-0.140572,0.0949335571806619,0.20554
23,0.45,"late","prognostic",0.6,"legacy",84,0.188794,0.344622,0.188679,0.369145,-0.155828,-0.180466,0.136524331453016,0.314355
23,0.45,"late","prognostic",0.6,"legacy",120,0.251252,0.4292735,0.251204,0.474422,-0.1780215,-0.223218,0.202476950783539,0.4957265
24,0.7,"late","prognostic",0.6,"legacy",12,0.043099,0.0660235,0.0432475,0.066629,-0.0229245,-0.0233815,0.0195453670637039,0.071888
24,0.7,"late","prognostic",0.6,"legacy",24,0.069555,0.1237825,0.069566,0.1280315,-0.0542275,-0.0584655,0.0724871933020327,0.1477365
24,0.7,"late","prognostic",0.6,"legacy",36,0.0950515,0.174293,0.0950335,0.184653,-0.0792415,-0.0896195,0.115800690697895,0.2259535
24,0.7,"late","prognostic",0.6,"legacy",60,0.143538,0.257667,0.1435445,0.2845575,-0.114129,-0.141013,0.190649089091077,0.3857795
24,0.7,"late","prognostic",0.6,"legacy",84,0.1887745,0.322029,0.1888705,0.3694235,-0.1332545,-0.180553,0.261964630884006,0.5416935
24,0.7,"late","prognostic",0.6,"legacy",120,0.251164,0.394349,0.251051,0.4751705,-0.143185,-0.2241195,0.361122079961806,0.742193
