"scenario","horizon","method","target_c120","shape","alpha_l_key","persistence","truth_rd_itt","truth_rd_pp","bias","bias_mcse","rel_bias","empse","empse_mcse","modse","modse_mcse","relerror_modse","relerror_modse_mcse","coverage","coverage_mcse","converged","n_used","n_attempted"
6,24,"gformula",0.7,"late","neutral","transient",-0.069565,-0.0731595,-0.000230088778143428,0.000283185190736415,0.00330753652186341,0.00895510202356286,0.000200342364939119,0.00918002335757666,6.63562192692796e-06,2.51165574018011,2.29457403254158,0.951,0.00682634602111555,1,1000,1000
7,24,"gformula",0.2,"early","prognostic","transient",-0.0693745,-0.073578,0.000765860297193735,0.000295358567756545,-0.0110395072713135,0.00934005800555851,0.000208954549549361,0.00917831718255727,6.54723193242455e-06,-1.73168970583462,2.19956299167659,0.95,0.00689202437604511,1,1000,1000
8,24,"gformula",0.45,"early","prognostic","transient",-0.062425,-0.0736035,-0.000692692329322259,0.000287437336452148,0.011096392940685,0.00908956667760929,0.000203350590498303,0.00908986230081206,6.5401491849805e-06,0.003252335488102,2.23841633705062,0.956,0.00648567652600714,1,1000,1000
9,24,"gformula",0.7,"early","prognostic","transient",-0.053237,-0.0731495,-8.57192707224008e-05,0.000272304264067602,0.00161014464981875,0.00861101691029568,0.000192644538029844,0.00888970568582275,6.78681185247604e-06,3.23642118498062,2.31093604811385,0.959,0.00627048642451286,1,1000,1000
10,24,"gformula",0.2,"late","prognostic","transient",-0.071583,-0.0736555,-0.000691789765003697,0.000292352035880899,0.00966416279009957,0.0092449831197091,0.000206827546704807,0.00922628739963477,6.55173197059624e-06,-0.202225572856563,2.23378713003593,0.946,0.00714730718522718,1,1000,1000
11,24,"gformula",0.45,"late","prognostic","transient",-0.070439,-0.073102,0.000292991877266197,0.000293924366937023,-0.00415951216323623,0.00929470459344081,0.000207939908977114,0.0091882653107374,6.69971805835709e-06,-1.14516046888165,2.21274181814491,0.951,0.00682634602111555,1,1000,1000
12,24,"gformula",0.7,"late","prognostic","transient",-0.0674925,-0.0730195,0.000700094029909892,0.000289131417218132,-0.0103729159522894,0.00914313821521723,0.000204549085893393,0.00913701184770956,6.40474735520994e-06,-0.0670050847255022,2.23678497106465,0.951,0.00682634602111555,1,1000,1000
13,24,"gformula",0.2,"early","neutral","legacy",-0.056904,-0.058427,6.74558746593945e-05,0.000313749390804091,-0.00118543291612882,0.00992162689431216,0.000221965332256397,0.00957538568974998,6.40969555464905e-06,-3.48976239734105,2.1600806324067,0.941,0.00745110730026082,1,1000,1000
14,24,"gformula",0.45,"early","neutral","legacy",-0.053702,-0.058672,0.000207453309369159,0.000297885278347967,-0.00386304624351344,0.00941995961012815,0.000210742097740302,0.00953250578416107,6.56722862101335e-06,1.19476280887567,2.26498910817084,0.959,0.00627048642451286,1,1000,1000
15,24,"gformula",0.7,"early","neutral","legacy",-0.049648,-0.058448,0.000339772752955401,0.000281807049508764,-0.00684363424418711,0.0089115213713953,0.000199367384319371,0.00944125741744739,6.48154649847551e-06,5.94439517086798,2.37128976164658,0.96,0.00619677335393187,1,1000,1000
