"target_c120","alpha_l_key","persistence","horizon","c_obs_early","c_obs_late","d_c_obs","attenuation_early","attenuation_late","d_att","d_att_mcse","rd_itt_early","rd_itt_late","d_rd"
0.7,"neutral","transient",36,0.437921323423884,0.170408510868544,0.267512812555339,0.246728475542035,0.0771433400130375,0.169585135528997,0.0059003535573734,-0.0779975,-0.0955595,0.017562
0.7,"neutral","transient",60,0.56490285809561,0.310708558837305,0.254194299258305,0.340347197646822,0.13460121703854,0.205745980608282,0.00452875851245589,-0.1015895,-0.1333255,0.031736
0.7,"neutral","transient",84,0.638342998442874,0.46624042367429,0.172102574768584,0.408321669094381,0.199981361443039,0.208340307651342,0.00382533896148364,-0.1143445,-0.154522,0.0401775
0.7,"neutral","transient",120,0.699830608345207,0.700271985674859,-0.00044137732965166,0.475923279013017,0.295400222404956,0.180523056608061,0.00325450703951462,-0.1233805,-0.1653745,0.041994
0.7,"prognostic","legacy",12,0.229144689375444,0.062008857455831,0.167135831919613,0.124992106426422,0.0195453670637039,0.105446739362718,0.0185723003998883,-0.0207845,-0.0229245,0.00214
0.7,"prognostic","legacy",24,0.372053471172611,0.127978504301337,0.244074966871274,0.239345545506369,0.0724871933020327,0.166858352204336,0.00929014688323719,-0.044701,-0.0542275,0.00952650000000001
0.7,"prognostic","legacy",36,0.467298192277982,0.197801979789142,0.26949621248884,0.331497534705468,0.115800690697895,0.215696844007573,0.00675934220175081,-0.0602665,-0.0792415,0.018975
0.7,"prognostic","legacy",60,0.583230985235025,0.344930270195381,0.238300715039644,0.438847927735322,0.190649089091077,0.248198838644245,0.00482392062989754,-0.0792675,-0.114129,0.0348615
0.7,"prognostic","legacy",84,0.647445841580039,0.494345346306975,0.153100495273064,0.5053435072387,0.261964630884006,0.243378876354694,0.00396855840967518,-0.0896555,-0.1332545,0.043599
0.7,"prognostic","legacy",120,0.699786523057785,0.699716181969975,7.03410878105659e-05,0.563842793590733,0.361122079961806,0.202720713628927,0.00331475529363505,-0.0977485,-0.143185,0.0454365
0.7,"prognostic","transient",12,0.229604881805384,0.0621073191119691,0.167497562693415,0.15700910441015,0.0378881507801637,0.119120953629987,0.0102945074250521,-0.0326385,-0.0373665,0.004728
0.7,"prognostic","transient",24,0.372585606940064,0.128311221908858,0.244274385031206,0.272216488150979,0.0756921096419448,0.196524378509034,0.00706769359798746,-0.053237,-0.0674925,0.0142555
0.7,"prognostic","transient",36,0.467689228274428,0.198268435670782,0.269420792603647,0.35381047434451,0.118409462690323,0.235401011654186,0.00565696611288552,-0.0670105,-0.091078,0.0240675
0.7,"prognostic","transient",60,0.583902017237433,0.345363151255766,0.238538865981667,0.449807157504882,0.204416737177555,0.245390420327327,0.00431285205370561,-0.0843795,-0.122704,0.0383245
0.7,"prognostic","transient",84,0.647965632499046,0.495283905918688,0.152681726580358,0.510059925385745,0.279943234838713,0.230116690547032,0.00364836655977484,-0.0942265,-0.1392795,0.045053
0.7,"prognostic","transient",120,0.700409037988579,0.700088095276617,0.000320942711961592,0.566994726841869,0.375285822360871,0.191708904480998,0.00312519037641762,-0.101412,-0.1469865,0.0455745
