"scenario","view","restricted_method","n_paired","mean_estimated_movement","movement_mcse","delta_target","restricted_bias","broad_bias","decomposition_rhs","identity_error"
1,"full","all_measured",2000,-0.00238192725294487,0.000461621719573049,-0.00274001413664764,0.000257593392308325,-0.000100493491394439,-0.00238192725294487,3.46944695195361e-18
2,"full","all_measured",2000,-0.00369113384303952,0.000477082644934325,-0.00272790322402833,-0.000807141959055346,0.000156088659955839,-0.00369113384303952,4.33680868994202e-19
3,"full","all_measured",2000,0.00105402734945584,0.000442428864241221,0.00182084775198168,-0.000360064557311704,0.000406755845214136,0.00105402734945584,-2.16840434497101e-18
4,"full","all_measured",2000,-0.0115220727192991,0.00050040757466896,-0.0103088651293287,-0.00144439650243702,-0.000231188912466589,-0.0115220727192991,-1.73472347597681e-18
5,"full","all_measured",2000,-0.00892932106145621,0.000518979433054756,-0.00954647956044537,0.000516745793589977,-0.000100412705399185,-0.0089293210614562,-8.67361737988404e-18
6,"full","all_measured",2000,0.00815679949223554,0.000440519184166552,0.00821732133236905,-0.000308382434096716,-0.000247860593963208,0.00815679949223554,3.46944695195361e-18
7,"full","all_measured",2000,-0.0188721230555787,0.000545110607373469,-0.0193991237983684,0.000332237518948245,-0.000194763223841474,-0.0188721230555787,0
8,"full","all_measured",2000,-0.0152751893897145,0.0005761637005314,-0.0152924178594539,5.28933642834212e-05,3.56648945439367e-05,-0.0152751893897145,6.93889390390723e-18
9,"full","all_measured",2000,0.013346856628656,0.000417490828771428,0.0134049483222748,0.000353294416754947,0.000411386110373772,0.013346856628656,-1.73472347597681e-18
10,"full","all_measured",2000,-0.00130588090142327,0.000234418579846734,-0.00129676670330527,-0.000244003159512542,-0.000234888961394529,-0.00130588090142328,4.33680868994202e-18
11,"full","all_measured",2000,-0.00140260573972586,0.000235837598614624,-0.00129041678782159,-0.000583382165791513,-0.000471193213887243,-0.00140260573972586,8.67361737988404e-19
12,"full","all_measured",2000,0.000872625491499587,0.000237784011642743,0.00077426444009425,0.000115859866239958,1.74988148346211e-05,0.000872625491499586,8.67361737988404e-19
13,"full","all_measured",2000,-0.00461604628215666,0.00024409880213357,-0.00449820571466338,-0.000329050683978524,-0.000211210116485241,-0.00461604628215666,-3.46944695195361e-18
14,"full","all_measured",2000,-0.00408035265272578,0.000239669805867804,-0.00416282976317864,0.000215455529274836,0.000132978418821983,-0.00408035265272579,5.20417042793042e-18
15,"full","all_measured",2000,0.00398764165343519,0.000243031924663818,0.00381736071349604,-3.7562913070343e-05,-0.000207843853009496,0.00398764165343519,-2.60208521396521e-18
16,"full","all_measured",2000,-0.00749804830280266,0.000244129419642253,-0.00782437574771026,0.000723705299792557,0.000397377854884959,-0.00749804830280266,1.73472347597681e-18
17,"full","all_measured",2000,-0.00610628077703341,0.000232805809832491,-0.00629112690204368,-0.000253033799673855,-0.000437879924684137,-0.0061062807770334,-6.07153216591882e-18
18,"full","all_measured",2000,0.00659741999612953,0.000252186822515888,0.00635542701460849,-8.78324255207744e-06,-0.000250776224073122,0.00659741999612953,1.73472347597681e-18
1,"full","oracle",2000,-0.00247177738764886,0.00045493452026142,-0.00274001413664764,0.000167743257604332,-0.000100493491394439,-0.00247177738764887,4.77048955893622e-18
2,"full","oracle",2000,-0.00359503772884231,0.000471557863306402,-0.00272790322402833,-0.000711045844858135,0.000156088659955839,-0.00359503772884231,0
3,"full","oracle",2000,0.00111782337071797,0.000440897536537914,0.00182084775198168,-0.000296268536049568,0.000406755845214136,0.00111782337071797,-2.16840434497101e-19
4,"full","oracle",2000,-0.0114092740432396,0.000491766605006909,-0.0103088651293287,-0.00133159782637753,-0.000231188912466589,-0.0114092740432396,-1.73472347597681e-18
5,"full","oracle",2000,-0.00892928744429728,0.000510755295669713,-0.00954647956044537,0.000516779410748909,-0.000100412705399185,-0.00892928744429727,-5.20417042793042e-18
