"scenario","view","comparator","n_paired","mse_policy_minus_comparator","mse_difference_mcse","coverage_policy_minus_comparator","coverage_difference_mcse"
14,"full","pooled_all",2000,0.00011729747824409,6.05193912726628e-06,-0.0075,0.00567785117777831
15,"full","pooled_all",2000,8.848923921116e-05,4.81765642510124e-06,-5e-04,0.00585380290958381
16,"full","pooled_all",2000,8.87820772661303e-05,6.89477725175809e-06,-0.002,0.00640456940431023
17,"full","pooled_all",2000,0.000116062454431358,6.43564954457617e-06,-0.0025,0.00589612221112862
18,"full","pooled_all",2000,8.90264039092081e-05,4.90586229606252e-06,-0.0015,0.00585371745167126
1,"reduced","minimal",2000,0,0,0,0
2,"reduced","minimal",2000,0,0,0,0
3,"reduced","minimal",2000,0,0,0,0
4,"reduced","minimal",2000,0,0,0,0
5,"reduced","minimal",2000,0,0,0,0
6,"reduced","minimal",2000,0,0,0,0
7,"reduced","minimal",2000,0,0,0,0
8,"reduced","minimal",2000,0,0,0,0
9,"reduced","minimal",2000,0,0,0,0
10,"reduced","minimal",2000,0,0,0,0
11,"reduced","minimal",2000,0,0,0,0
12,"reduced","minimal",2000,0,0,0,0
13,"reduced","minimal",2000,0,0,0,0
14,"reduced","minimal",2000,0,0,0,0
15,"reduced","minimal",2000,0,0,0,0
16,"reduced","minimal",2000,0,0,0,0
17,"reduced","minimal",2000,0,0,0,0
18,"reduced","minimal",2000,0,0,0,0
1,"reduced","role_based",0,NA,NA,NA,NA
2,"reduced","role_based",0,NA,NA,NA,NA
3,"reduced","role_based",0,NA,NA,NA,NA
4,"reduced","role_based",0,NA,NA,NA,NA
5,"reduced","role_based",0,NA,NA,NA,NA
6,"reduced","role_based",0,NA,NA,NA,NA
7,"reduced","role_based",0,NA,NA,NA,NA
8,"reduced","role_based",0,NA,NA,NA,NA
9,"reduced","role_based",0,NA,NA,NA,NA
10,"reduced","role_based",0,NA,NA,NA,NA
11,"reduced","role_based",0,NA,NA,NA,NA
12,"reduced","role_based",0,NA,NA,NA,NA
13,"reduced","role_based",0,NA,NA,NA,NA
14,"reduced","role_based",0,NA,NA,NA,NA
15,"reduced","role_based",0,NA,NA,NA,NA
16,"reduced","role_based",0,NA,NA,NA,NA
17,"reduced","role_based",0,NA,NA,NA,NA
18,"reduced","role_based",0,NA,NA,NA,NA
1,"reduced","all_measured",2000,-3.22455008764469e-06,1.95596094205953e-06,-5e-04,0.00206203806960495
2,"reduced","all_measured",2000,-4.57609875584069e-06,1.99681662756498e-06,-5e-04,0.00165868943003585
3,"reduced","all_measured",2000,-4.96108724331354e-06,1.8038751535431e-06,0.002,0.00234536785498305
4,"reduced","all_measured",2000,-3.32539512303455e-06,2.22979733557811e-06,0.001,0.00223651537005679
5,"reduced","all_measured",2000,-9.24124594696346e-06,3.23382028896297e-06,0.003,0.00254926447719477
6,"reduced","all_measured",2000,-6.53436632097182e-06,1.6325757501066e-06,0.002,0.0024496939605286
7,"reduced","all_measured",2000,-4.93675888675276e-06,2.75156899768524e-06,-5e-04,0.00193694369444174
8,"reduced","all_measured",2000,-1.11992731550683e-05,6.62394568694194e-06,-0.001,0.00393792504078136
9,"reduced","all_measured",2000,-3.27783831399253e-06,1.86352055697671e-06,-0.0015,0.00409356246157472
10,"reduced","all_measured",2000,-8.90540001384828e-07,5.11131165632635e-07,5e-04,0.0015003334630175
11,"reduced","all_measured",2000,-9.98785412359205e-07,5.37793556569772e-07,0.0035,0.00180152650518229
12,"reduced","all_measured",2000,-5.08093900988931e-07,5.06910790484019e-07,0.0025,0.00132202453624632
13,"reduced","all_measured",2000,-7.68913110895834e-07,5.27743302116398e-07,-0.001,0.0015813761017505
14,"reduced","all_measured",2000,-1.21257246413433e-06,6.24896230529382e-07,0.0035,0.0021785885623637
15,"reduced","all_measured",2000,-1.31838536399295e-06,5.0070056375616e-07,5e-04,0.00193694369444173
16,"reduced","all_measured",2000,-1.23518873175465e-06,5.85934373176938e-07,-0.0015,0.00217973636601143
17,"reduced","all_measured",2000,-8.76815245353269e-07,1.02966117751871e-06,0.0015,0.00269304683409435
18,"reduced","all_measured",2000,1.08218360796717e-06,7.2392915896212e-07,0.004,0.00353528628608242
1,"reduced","oracle",2000,-8.09209685307233e-05,1.51074916984087e-05,0.003,0.00533945267583107
2,"reduced","oracle",2000,-9.87834110065492e-05,1.47024263077789e-05,0.0075,0.00517061336993114
3,"reduced","oracle",2000,-6.40042855790321e-05,1.36564705812934e-05,0.0075,0.0050233944943756
4,"reduced","oracle",2000,-0.000102571474295293,1.65502778725454e-05,0.004,0.00538576858504211
5,"reduced","oracle",2000,6.08792709452393e-05,2.35397608915728e-05,-0.0135,0.00649461045656242
6,"reduced","oracle",2000,-5.61581158360157e-06,1.37815925914624e-05,-0.0275,0.00623629061705183
7,"reduced","oracle",2000,-0.000152051314546367,2.0649745703408e-05,0.0035,0.00576719214632437
8,"reduced","oracle",2000,0.00121725604687109,4.90646029252785e-05,-0.2155,0.0109813555668251
9,"reduced","oracle",2000,0.00019367621741803,1.47575345984843e-05,-0.1515,0.00907276322386182
10,"reduced","oracle",2000,-2.30297961448674e-05,5.28017470950918e-06,0.0015,0.00536313869187747
11,"reduced","oracle",2000,-2.97129992301163e-05,5.67262260586541e-06,0.002,0.0053396868941975
