"scenario","topology","strength","retention","view","method","available","truth","bias","bias_mcse","abs_bias","mse","mse_mcse","empse","empse_mcse","modse","modse_mcse","relerror_modse","relerror_modse_mcse","coverage","coverage_mcse","bias_eliminated_coverage","bias_eliminated_coverage_mcse","rejection","rejection_mcse","convergence","failure_rate","n_used","n_attempted","mean_min_ps","mean_max_weight","mean_ess","mean_selected_n","mean_treatment_prevalence","mean_outcome_risk","mean_cor_pd_selected","warning_rate","unresolved_rate"
3,"discordant-collider",0.1,0.3,"reduced","pooled_all",TRUE,-0.0317419854013284,0.000666144229667466,0.000328993425229294,0.000666144229667466,0.000216808859149081,6.62159962543483e-06,0.0147130332592639,0.00023269166213439,0.0144955485874175,8.05114884897168e-06,-1.47817698780431,1.55911697385792,0.951,0.00482695556225661,0.9495,0.00489641450451246,0.58,0.0110363037290571,1,0,2000,2000,0.147437880107882,5.75661553649164,2243.98176241794,1200.9045,0.554206244411947,0.148759048255345,0.00764928268140202,0,0
4,"noncollider",0.45,0.3,"full","minimal",TRUE,-0.0438716982826388,-0.00141581705984774,0.000517765502810931,0.00141581705984774,0.000537898688633167,1.74049875835187e-05,0.023155177213792,0.000366207061314233,0.0237216394811315,1.43128248538645e-05,2.44637413961173,1.62140317595325,0.9505,0.0048502448391808,0.9525,0.00475624589355933,0.4815,0.0111726843238319,1,0,2000,2000,0.183129461070868,4.8496418999308,1135.72214432509,1200.805,0.533998783724189,0.218686064697263,-0.000529217310281619,0,0
4,"noncollider",0.45,0.3,"full","role_based",TRUE,-0.0438716982826388,-0.00133349813433832,0.000564257617118232,0.00133349813433832,0.000638233147567698,2.08447699769024e-05,0.0252343677739683,0.000399090172418256,0.0252209008714,7.60035542490817e-05,-0.0533673071938523,1.60912940442214,0.947,0.0050095408971282,0.9435,0.00516273909857936,0.4465,0.0111161537862698,1,0,2000,2000,0.0156364844754267,20.1493894292528,856.470564160203,1200.805,0.533998783724189,0.218686064697263,-0.000529217310281619,0,0
4,"noncollider",0.45,0.3,"full","all_measured",TRUE,-0.0438716982826388,-0.00144439650243702,0.000572290617846663,0.00144439650243702,0.000656791867255606,2.16768250200869e-05,0.0255936144878099,0.000404771782286668,0.0251987192796481,8.83093456161425e-05,-1.54294426975066,1.59490311819307,0.941,0.00526872849936301,0.9405,0.00528960064655168,0.452,0.0111287016313674,1,0,2000,2000,0.013806739073889,21.2427381562093,841.10496984769,1200.805,0.533998783724189,0.218686064697263,-0.000529217310281619,0,0
4,"noncollider",0.45,0.3,"full","oracle",TRUE,-0.0438716982826388,-0.00133159782637754,0.000565250616282925,0.00133159782637754,0.00064047016292846,2.07816792386027e-05,0.0252787760466454,0.000399792504466288,0.0252083002101623,7.16072286819891e-05,-0.278794496826307,1.60236242794117,0.9465,0.00503178646208283,0.9415,0.0052477495176504,0.446,0.0111149448941504,1,0,2000,2000,0.0154228172836225,20.2466435082208,854.661898394439,1200.805,0.533998783724189,0.218686064697263,-0.000529217310281619,0,0
4,"noncollider",0.45,0.3,"full","broad",TRUE,-0.0335628331533101,-0.000231188912466589,0.000244667502500449,0.000231188912466589,0.000119717959686082,3.71080574312444e-06,0.0109418633495221,0.000173049317892661,0.0109214179457109,4.57695404951523e-06,-0.186854863363284,1.57913320193261,0.9505,0.0048502448391808,0.95,0.00487339717240448,0.876,0.00736966756373719,1,0,2000,2000,0.155386932803401,5.51861957108391,3779.88424956607,1200.805,0.533998783724189,0.218686064697263,-0.000529217310281619,0,0
4,"noncollider",0.45,0.3,"full","policy",TRUE,-0.0438716982826388,-0.00141581705984774,0.000517765502810931,0.00141581705984774,0.000537898688633167,1.74049875835187e-05,0.023155177213792,0.000366207061314233,0.0237216394811315,1.43128248538645e-05,2.44637413961173,1.62140317595325,0.9505,0.0048502448391808,0.9525,0.00475624589355933,0.4815,0.0111726843238319,1,0,2000,2000,0.183129461070868,4.8496418999308,1135.72214432509,1200.805,0.533998783724189,0.218686064697263,-0.000529217310281619,0,0
4,"noncollider",0.45,0.3,"full","pooled_all",TRUE,-0.0438716982826388,-0.00135999676744539,0.000408825466862796,0.00135999676744539,0.000335958977656273,1.0119200197118e-05,0.018283230696766,0.000289155557868277,0.0178389532798378,3.37674960111712e-05,-2.42997216573334,1.55411677861166,0.945,0.00509779364038993,0.943,0.00518415856238985,0.7095,0.0101515947023116,1,0,2000,2000,0.0107819828238337,25.520289955401,1693.81176489732,1200.805,0.533998783724189,0.218686064697263,-0.000529217310281619,0,0
4,"noncollider",0.45,0.3,"reduced","minimal",TRUE,-0.0438716982826388,-0.00141581705984774,0.000517765502810931,0.00141581705984774,0.000537898688633167,1.74049875835187e-05,0.023155177213792,0.000366207061314233,0.0237216394811315,1.43128248538645e-05,2.44637413961173,1.62140317595325,0.9505,0.0048502448391808,0.9525,0.00475624589355933,0.4815,0.0111726843238319,1,0,2000,2000,0.183129461070868,4.8496418999308,1135.72214432509,1200.805,0.533998783724189,0.218686064697263,-0.000529217310281619,0,0
4,"noncollider",0.45,0.3,"reduced","role_based",FALSE,-0.0438716982826388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2000,NA,NA,NA,1200.805,0.533998783724189,0.218686064697263,-0.000529217310281619,0,0
4,"noncollider",0.45,0.3,"reduced","all_measured",TRUE,-0.0438716982826388,-0.00138621166401187,0.000519409418052041,0.00138621166401187,0.000541224083756201,1.75413602320679e-05,0.0232286953383594,0.000367369775643844,0.0237117104226193,1.47017873578836e-05,2.07938963951311,1.61566068120641,0.9495,0.00489641450451246,0.9475,0.00498717104178311,0.4835,0.0111742505341522,1,0,2000,2000,0.162514855323974,5.28612090670028,1126.42855608096,1200.805,0.533998783724189,0.218686064697263,-0.000529217310281619,0,0
