"candidate_1","candidate_2","correlation","scenario"
"c50-h36","c55-h60",0.697312665744963,8
"c55-h36","c55-h60",0.776083065077474,8
"c45-h60","c55-h60",0.855295107121606,8
"c60-h60","c55-h60",0.854792589589837,8
"c55-h24","c55-h60",0.630488048077416,8
"c55-h48","c55-h60",0.893979473866552,8
"c60-h24","c55-h60",0.545563150030786,8
"c60-h36","c55-h60",0.668692226489729,8
"c60-h48","c55-h60",0.77236708427356,8
"c50-h48","c55-h60",0.806371041058077,8
"c45-h24","c55-h60",0.558028011539176,8
"c45-h36","c55-h60",0.661529053422158,8
"c50-h24","c55-h60",0.583439072752281,8
"c45-h48","c55-h60",0.762295876890306,8
"c50-h60","c50-h36",0.779141740193034,8
"c55-h60","c50-h36",0.697312665744963,8
"c50-h36","c50-h36",1,8
"c55-h36","c50-h36",0.908327535199776,8
"c45-h60","c50-h36",0.728129827561631,8
"c60-h60","c50-h36",0.595842461722717,8
"c55-h24","c50-h36",0.737710865291103,8
"c55-h48","c50-h36",0.778163984508861,8
"c60-h24","c50-h36",0.636268380828513,8
"c60-h36","c50-h36",0.781342361435853,8
"c60-h48","c50-h36",0.669189055072163,8
"c50-h48","c50-h36",0.862999678140784,8
"c45-h24","c50-h36",0.773027837522023,8
"c45-h36","c50-h36",0.945201749468238,8
"c50-h24","c50-h36",0.817921324424599,8
"c45-h48","c50-h36",0.81054143633405,8
"c50-h60","c55-h36",0.71721727701359,8
"c55-h60","c55-h36",0.776083065077474,8
"c50-h36","c55-h36",0.908327535199776,8
"c55-h36","c55-h36",1,8
"c45-h60","c55-h36",0.666300345955793,8
"c60-h60","c55-h36",0.666675967194975,8
"c55-h24","c55-h36",0.81326248458945,8
"c55-h48","c55-h36",0.863235947338963,8
"c60-h24","c55-h36",0.699504457454384,8
"c60-h36","c55-h36",0.861010052633292,8
"c60-h48","c55-h36",0.745999875061382,8
"c50-h48","c55-h36",0.788029323136567,8
"c45-h24","c55-h36",0.706572426498153,8
"c45-h36","c55-h36",0.852312817454917,8
"c50-h24","c55-h36",0.751502986757578,8
"c45-h48","c55-h36",0.734186795518682,8
"c50-h60","c45-h60",0.944062625221944,8
"c55-h60","c45-h60",0.855295107121606,8
"c50-h36","c45-h60",0.728129827561631,8
"c55-h36","c45-h60",0.666300345955793,8
"c45-h60","c45-h60",1,8
"c60-h60","c45-h60",0.73075261458335,8
"c55-h24","c45-h60",0.547688792193917,8
"c55-h48","c45-h60",0.761520418207973,8
"c60-h24","c45-h60",0.472078958604095,8
"c60-h36","c45-h60",0.575972430333448,8
"c60-h48","c45-h60",0.659746885179634,8
"c50-h48","c45-h60",0.839252808163836,8
"c45-h24","c45-h60",0.643012150961697,8
"c45-h36","c45-h60",0.775270424874543,8
"c50-h24","c45-h60",0.605507471447393,8
"c45-h48","c45-h60",0.89086995639495,8
"c50-h60","c60-h60",0.770018027459809,8
"c55-h60","c60-h60",0.854792589589837,8
"c50-h36","c60-h60",0.595842461722717,8
"c55-h36","c60-h60",0.666675967194975,8
"c45-h60","c60-h60",0.73075261458335,8
"c60-h60","c60-h60",1,8
"c55-h24","c60-h60",0.553733607522938,8
"c55-h48","c60-h60",0.758319911377462,8
"c60-h24","c60-h60",0.645684605454028,8
"c60-h36","c60-h60",0.777974027745719,8
"c60-h48","c60-h60",0.893979915114329,8
"c50-h48","c60-h60",0.678308171624629,8
"c45-h24","c60-h60",0.488900882608965,8
"c45-h36","c60-h60",0.570486571072013,8
"c50-h24","c60-h60",0.506516078159799,8
"c45-h48","c60-h60",0.648752192795861,8
"c50-h60","c55-h24",0.587464993174178,8
"c55-h60","c55-h24",0.630488048077416,8
"c50-h36","c55-h24",0.737710865291103,8
"c55-h36","c55-h24",0.81326248458945,8
"c45-h60","c55-h24",0.547688792193917,8
"c60-h60","c55-h24",0.553733607522938,8
"c55-h24","c55-h24",1,8
"c55-h48","c55-h24",0.706285790648463,8
"c60-h24","c55-h24",0.857308321005547,8
"c60-h36","c55-h24",0.708430172052534,8
"c60-h48","c55-h24",0.623016573404939,8
"c50-h48","c55-h24",0.649681931619755,8
"c45-h24","c55-h24",0.861477805593194,8
"c45-h36","c55-h24",0.694431235851381,8
"c50-h24","c55-h24",0.913115043945031,8
"c45-h48","c55-h24",0.605614381486576,8
"c50-h60","c55-h48",0.812856765187419,8
"c55-h60","c55-h48",0.893979473866552,8
"c50-h36","c55-h48",0.778163984508861,8
"c55-h36","c55-h48",0.863235947338963,8
"c45-h60","c55-h48",0.761520418207973,8
"c60-h60","c55-h48",0.758319911377462,8
"c55-h24","c55-h48",0.706285790648463,8
"c55-h48","c55-h48",1,8
"c60-h24","c55-h48",0.611001265748497,8
"c60-h36","c55-h48",0.739102451873927,8
"c60-h48","c55-h48",0.855679809766762,8
"c50-h48","c55-h48",0.905124825043492,8
"c45-h24","c55-h48",0.618438192822099,8
"c45-h36","c55-h48",0.732637933728799,8
"c50-h24","c55-h48",0.65200229526577,8
"c45-h48","c55-h48",0.850538316628696,8
"c50-h60","c60-h24",0.505848844697987,8
"c55-h60","c60-h24",0.545563150030786,8
"c50-h36","c60-h24",0.636268380828513,8
"c55-h36","c60-h24",0.699504457454384,8
"c45-h60","c60-h24",0.472078958604095,8
"c60-h60","c60-h24",0.645684605454028,8
"c55-h24","c60-h24",0.857308321005547,8
"c55-h48","c60-h24",0.611001265748497,8
"c60-h24","c60-h24",1,8
"c60-h36","c60-h24",0.82150820044633,8
"c60-h48","c60-h24",0.72252370602151,8
"c50-h48","c60-h24",0.559292270301637,8
"c45-h24","c60-h24",0.740131114300406,8
"c45-h36","c60-h24",0.600605542153762,8
"c50-h24","c60-h24",0.784468951643925,8
"c45-h48","c60-h24",0.522352674327799,8
"c50-h60","c60-h36",0.614703690792088,8
"c55-h60","c60-h36",0.668692226489729,8
"c50-h36","c60-h36",0.781342361435853,8
"c55-h36","c60-h36",0.861010052633292,8
"c45-h60","c60-h36",0.575972430333448,8
"c60-h60","c60-h36",0.777974027745719,8
"c55-h24","c60-h36",0.708430172052534,8
"c55-h48","c60-h36",0.739102451873927,8
"c60-h24","c60-h36",0.82150820044633,8
"c60-h36","c60-h36",1,8
"c60-h48","c60-h36",0.865951513078839,8
"c50-h48","c60-h36",0.670879269421244,8
"c45-h24","c60-h36",0.619326737505863,8
"c45-h36","c60-h36",0.739255180624357,8
"c50-h24","c60-h36",0.653404503015059,8
"c45-h48","c60-h36",0.632106844651106,8
"c50-h60","c60-h48",0.696816922962437,8
"c55-h60","c60-h48",0.77236708427356,8
"c50-h36","c60-h48",0.669189055072163,8
"c55-h36","c60-h48",0.745999875061382,8
"c45-h60","c60-h48",0.659746885179634,8
"c60-h60","c60-h48",0.893979915114329,8
"c55-h24","c60-h48",0.623016573404939,8
"c55-h48","c60-h48",0.855679809766762,8
"c60-h24","c60-h48",0.72252370602151,8
"c60-h36","c60-h48",0.865951513078839,8
"c60-h48","c60-h48",1,8
"c50-h48","c60-h48",0.768559695694675,8
"c45-h24","c60-h48",0.54923723597488,8
"c45-h36","c60-h48",0.637152417314577,8
"c50-h24","c60-h48",0.57214989999831,8
"c45-h48","c60-h48",0.73146656413045,8
"c50-h60","c50-h48",0.89271109247773,8
"c55-h60","c50-h48",0.806371041058077,8
"c50-h36","c50-h48",0.862999678140784,8
"c55-h36","c50-h48",0.788029323136567,8
"c45-h60","c50-h48",0.839252808163836,8
"c60-h60","c50-h48",0.678308171624629,8
"c55-h24","c50-h48",0.649681931619755,8
"c55-h48","c50-h48",0.905124825043492,8
"c60-h24","c50-h48",0.559292270301637,8
"c60-h36","c50-h48",0.670879269421244,8
"c60-h48","c50-h48",0.768559695694675,8
"c50-h48","c50-h48",1,8
"c45-h24","c50-h48",0.682859907950872,8
"c45-h36","c50-h48",0.818199655586945,8
"c50-h24","c50-h48",0.71882070192309,8
"c45-h48","c50-h48",0.94452850054196,8
"c50-h60","c45-h24",0.617922464652151,8
"c55-h60","c45-h24",0.558028011539176,8
"c50-h36","c45-h24",0.773027837522023,8
"c55-h36","c45-h24",0.706572426498153,8
"c45-h60","c45-h24",0.643012150961697,8
"c60-h60","c45-h24",0.488900882608965,8
"c55-h24","c45-h24",0.861477805593194,8
"c55-h48","c45-h24",0.618438192822099,8
"c60-h24","c45-h24",0.740131114300406,8
"c60-h36","c45-h24",0.619326737505863,8
"c60-h48","c45-h24",0.54923723597488,8
"c50-h48","c45-h24",0.682859907950872,8
"c45-h24","c45-h24",1,8
"c45-h36","c45-h24",0.818100377370292,8
"c50-h24","c45-h24",0.94626026881025,8
"c45-h48","c45-h24",0.7153085231948,8
"c50-h60","c45-h36",0.74117178540598,8
"c55-h60","c45-h36",0.661529053422158,8
"c50-h36","c45-h36",0.945201749468238,8
"c55-h36","c45-h36",0.852312817454917,8
"c45-h60","c45-h36",0.775270424874543,8
"c60-h60","c45-h36",0.570486571072013,8
"c55-h24","c45-h36",0.694431235851381,8
"c55-h48","c45-h36",0.732637933728799,8
"c60-h24","c45-h36",0.600605542153762,8
"c60-h36","c45-h36",0.739255180624357,8
"c60-h48","c45-h36",0.637152417314577,8
"c50-h48","c45-h36",0.818199655586945,8
"c45-h24","c45-h36",0.818100377370292,8
"c45-h36","c45-h36",1,8
"c50-h24","c45-h36",0.773816417523406,8
"c45-h48","c45-h36",0.861626019942817,8
"c50-h60","c50-h24",0.648356500957837,8
"c55-h60","c50-h24",0.583439072752281,8
"c50-h36","c50-h24",0.817921324424599,8
"c55-h36","c50-h24",0.751502986757578,8
"c45-h60","c50-h24",0.605507471447393,8
"c60-h60","c50-h24",0.506516078159799,8
"c55-h24","c50-h24",0.913115043945031,8
"c55-h48","c50-h24",0.65200229526577,8
"c60-h24","c50-h24",0.784468951643925,8
"c60-h36","c50-h24",0.653404503015059,8
"c60-h48","c50-h24",0.57214989999831,8
"c50-h48","c50-h24",0.71882070192309,8
"c45-h24","c50-h24",0.94626026881025,8
"c45-h36","c50-h24",0.773816417523406,8
"c50-h24","c50-h24",1,8
"c45-h48","c50-h24",0.672908854046195,8
"c50-h60","c45-h48",0.845642526341089,8
"c55-h60","c45-h48",0.762295876890306,8
"c50-h36","c45-h48",0.81054143633405,8
"c55-h36","c45-h48",0.734186795518682,8
"c45-h60","c45-h48",0.89086995639495,8
"c60-h60","c45-h48",0.648752192795861,8
"c55-h24","c45-h48",0.605614381486576,8
"c55-h48","c45-h48",0.850538316628696,8
"c60-h24","c45-h48",0.522352674327799,8
"c60-h36","c45-h48",0.632106844651106,8
"c60-h48","c45-h48",0.73146656413045,8
"c50-h48","c45-h48",0.94452850054196,8
"c45-h24","c45-h48",0.7153085231948,8
"c45-h36","c45-h48",0.861626019942817,8
"c50-h24","c45-h48",0.672908854046195,8
"c45-h48","c45-h48",1,8
"c55-h60","c55-h60",1,9
"c55-h36","c55-h60",0.773929886855661,9
"c60-h24","c55-h60",0.496101033160101,9
"c60-h36","c55-h60",0.642630040953159,9
"c50-h36","c55-h60",0.703926859128998,9
"c50-h60","c55-h60",0.902444664387958,9
"c45-h60","c55-h60",0.857239832602314,9
"c60-h60","c55-h60",0.838233604042345,9
"c55-h24","c55-h60",0.611658013729609,9
"c55-h48","c55-h60",0.893175026185313,9
"c50-h24","c55-h60",0.551117454666327,9
"c50-h48","c55-h60",0.805089041111232,9
