"scenario","selector","median_within_candidate_width_ratio","q25","q75","n"
25,"workability",1.4178793672062,1.3387862380052,1.48990958330837,2000
26,"workability",1.41007089753922,1.33192084270472,1.48702917238485,2000
27,"workability",1.40651668703469,1.34060113958358,1.47022767875851,2000
28,"workability",1.40647299301948,1.33394668257064,1.46827196958501,2000
29,"workability",1.41078533400753,1.35662897732571,1.45925863090301,2000
30,"workability",1.41716594884783,1.36293619812775,1.46920922290792,2000
31,"workability",1.41103348588241,1.33204801475097,1.47976394462433,2000
32,"workability",1.40238821402218,1.32020575192949,1.48140264204388,2000
33,"workability",1.40201142592625,1.32880447550493,1.47124900254025,2000
34,"workability",1.40760194311478,1.32971702253616,1.47811903466133,2000
35,"workability",1.40950349672078,1.33656843297614,1.46788071042068,2000
36,"workability",1.41561611123326,1.33650834253102,1.48145820789099,2000
