"scenario","n","event_target","K","effect","method","selector","mean_target_movement","probability_abs_gt_001"
35,4000,140,16,"heterogeneous","bonferroni","prognostic_low",-0.00308208081180191,0
36,8000,140,16,"heterogeneous","bonferroni","prognostic_low",-0.0015288570146013,0
1,4000,35,4,"null","naive","prognostic_low",0,0
2,8000,35,4,"null","naive","prognostic_low",0,0
3,4000,70,4,"null","naive","prognostic_low",0,0
4,8000,70,4,"null","naive","prognostic_low",0,0
5,4000,140,4,"null","naive","prognostic_low",0,0
6,8000,140,4,"null","naive","prognostic_low",0,0
7,4000,35,16,"null","naive","prognostic_low",0,0
8,8000,35,16,"null","naive","prognostic_low",0,0
9,4000,70,16,"null","naive","prognostic_low",0,0
10,8000,70,16,"null","naive","prognostic_low",0,0
11,4000,140,16,"null","naive","prognostic_low",0,0
12,8000,140,16,"null","naive","prognostic_low",0,0
13,4000,35,4,"homogeneous","naive","prognostic_low",0.00106713284202479,0
14,8000,35,4,"homogeneous","naive","prognostic_low",0.00054124418316944,0
15,4000,70,4,"homogeneous","naive","prognostic_low",0.00171826930129591,0
16,8000,70,4,"homogeneous","naive","prognostic_low",0.000932450937258822,0
17,4000,140,4,"homogeneous","naive","prognostic_low",0.00278881685785093,0.036
18,8000,140,4,"homogeneous","naive","prognostic_low",0.00141988394337191,0
19,4000,35,16,"homogeneous","naive","prognostic_low",0.00136269661524001,0
20,8000,35,16,"homogeneous","naive","prognostic_low",0.000706089121010158,0
21,4000,70,16,"homogeneous","naive","prognostic_low",0.00233038378259699,0
22,8000,70,16,"homogeneous","naive","prognostic_low",0.00115106131263152,0
23,4000,140,16,"homogeneous","naive","prognostic_low",0.00389619779344917,0.029
24,8000,140,16,"homogeneous","naive","prognostic_low",0.00201554465626854,0
25,4000,35,4,"heterogeneous","naive","prognostic_low",-0.000435137271741853,0
26,8000,35,4,"heterogeneous","naive","prognostic_low",-0.000219471592039049,0
27,4000,70,4,"heterogeneous","naive","prognostic_low",-0.00109630537360831,0
28,8000,70,4,"heterogeneous","naive","prognostic_low",-0.000563393833859024,0
29,4000,140,4,"heterogeneous","naive","prognostic_low",-0.00254410469194439,0
30,8000,140,4,"heterogeneous","naive","prognostic_low",-0.00129459430547668,0
31,4000,35,16,"heterogeneous","naive","prognostic_low",-0.00012905966102215,0
32,8000,35,16,"heterogeneous","naive","prognostic_low",-3.41156963062804e-05,0
33,4000,70,16,"heterogeneous","naive","prognostic_low",-0.00085821844764251,0
34,8000,70,16,"heterogeneous","naive","prognostic_low",-0.000416837135913386,0
35,4000,140,16,"heterogeneous","naive","prognostic_low",-0.00308208081180191,0
36,8000,140,16,"heterogeneous","naive","prognostic_low",-0.0015288570146013,0
1,4000,35,4,"null","split","prognostic_low",0,0
2,8000,35,4,"null","split","prognostic_low",0,0
3,4000,70,4,"null","split","prognostic_low",0,0
4,8000,70,4,"null","split","prognostic_low",0,0
5,4000,140,4,"null","split","prognostic_low",0,0
6,8000,140,4,"null","split","prognostic_low",0,0
7,4000,35,16,"null","split","prognostic_low",0,0
8,8000,35,16,"null","split","prognostic_low",0,0
9,4000,70,16,"null","split","prognostic_low",0,0
10,8000,70,16,"null","split","prognostic_low",0,0
11,4000,140,16,"null","split","prognostic_low",0,0
12,8000,140,16,"null","split","prognostic_low",0,0
13,4000,35,4,"homogeneous","split","prognostic_low",0.00126894191592218,0
14,8000,35,4,"homogeneous","split","prognostic_low",0.000652763477986917,0
15,4000,70,4,"homogeneous","split","prognostic_low",0.00207432058017014,0
16,8000,70,4,"homogeneous","split","prognostic_low",0.00108590608318548,0
17,4000,140,4,"homogeneous","split","prognostic_low",0.00333538078315238,0.085
18,8000,140,4,"homogeneous","split","prognostic_low",0.00171475420349678,0
19,4000,35,16,"homogeneous","split","prognostic_low",0.00160299171402428,0
20,8000,35,16,"homogeneous","split","prognostic_low",0.000795368376889284,0
21,4000,70,16,"homogeneous","split","prognostic_low",0.00261155461138265,0
22,8000,70,16,"homogeneous","split","prognostic_low",0.0013672137583892,0
23,4000,140,16,"homogeneous","split","prognostic_low",0.00427509635030551,0.078
24,8000,140,16,"homogeneous","split","prognostic_low",0.00217131503501907,0
25,4000,35,4,"heterogeneous","split","prognostic_low",-0.000303550150257999,0
26,8000,35,4,"heterogeneous","split","prognostic_low",-0.000168316428431368,0
27,4000,70,4,"heterogeneous","split","prognostic_low",-0.000847683926639471,0
28,8000,70,4,"heterogeneous","split","prognostic_low",-0.000436275127311509,0
29,4000,140,4,"heterogeneous","split","prognostic_low",-0.00211617529366345,0
30,8000,140,4,"heterogeneous","split","prognostic_low",-0.00111536360620152,0
31,4000,35,16,"heterogeneous","split","prognostic_low",0.000216065030891907,0
32,8000,35,16,"heterogeneous","split","prognostic_low",0.000106075261584541,0
33,4000,70,16,"heterogeneous","split","prognostic_low",-0.000203128602598631,0
34,8000,70,16,"heterogeneous","split","prognostic_low",-8.82777348798106e-05,0
35,4000,140,16,"heterogeneous","split","prognostic_low",-0.00158249134632489,0
36,8000,140,16,"heterogeneous","split","prognostic_low",-0.000786599843201503,0
1,4000,35,4,"null","bonferroni","workability",0,0
2,8000,35,4,"null","bonferroni","workability",0,0
3,4000,70,4,"null","bonferroni","workability",0,0
4,8000,70,4,"null","bonferroni","workability",0,0
5,4000,140,4,"null","bonferroni","workability",0,0
6,8000,140,4,"null","bonferroni","workability",0,0
7,4000,35,16,"null","bonferroni","workability",0,0
8,8000,35,16,"null","bonferroni","workability",0,0
9,4000,70,16,"null","bonferroni","workability",0,0
10,8000,70,16,"null","bonferroni","workability",0,0
11,4000,140,16,"null","bonferroni","workability",0,0
12,8000,140,16,"null","bonferroni","workability",0,0
13,4000,35,4,"homogeneous","bonferroni","workability",0.000817906261501721,0
14,8000,35,4,"homogeneous","bonferroni","workability",0.000418020564589795,0
15,4000,70,4,"homogeneous","bonferroni","workability",0.00057629964246986,0
16,8000,70,4,"homogeneous","bonferroni","workability",0.000265122593719264,0
17,4000,140,4,"homogeneous","bonferroni","workability",0.00981997837880347,0
18,8000,140,4,"homogeneous","bonferroni","workability",0.00536712802650258,0
19,4000,35,16,"homogeneous","bonferroni","workability",0.0012855002712353,0
20,8000,35,16,"homogeneous","bonferroni","workability",0.000653974408768967,0
21,4000,70,16,"homogeneous","bonferroni","workability",0.000580801045529319,0
22,8000,70,16,"homogeneous","bonferroni","workability",0.000260602757464451,0
23,4000,140,16,"homogeneous","bonferroni","workability",0.00701964908332758,0.024
24,8000,140,16,"homogeneous","bonferroni","workability",0.003878565402972,0
25,4000,35,4,"heterogeneous","bonferroni","workability",-0.000866118617063949,0
26,8000,35,4,"heterogeneous","bonferroni","workability",-0.000441605484716739,0
27,4000,70,4,"heterogeneous","bonferroni","workability",0.000614315208938251,0
28,8000,70,4,"heterogeneous","bonferroni","workability",0.000313457272485954,0
29,4000,140,4,"heterogeneous","bonferroni","workability",0.00277801319090824,0
30,8000,140,4,"heterogeneous","bonferroni","workability",0.00142495243673652,0
31,4000,35,16,"heterogeneous","bonferroni","workability",-0.0011055863658456,0
32,8000,35,16,"heterogeneous","bonferroni","workability",-0.000551986755353467,0
33,4000,70,16,"heterogeneous","bonferroni","workability",0.00305630391397977,0
34,8000,70,16,"heterogeneous","bonferroni","workability",0.0015841900327258,0
35,4000,140,16,"heterogeneous","bonferroni","workability",0.00689276841889685,0
