"scenario","n","event_target","event_regime","K","effect","method","selector","candidate","mean_truth","bias","bias_mcse","empse","empse_mcse","modse","modse_mcse","relerror_modse","relerror_modse_mcse","mse","mse_mcse","coverage","coverage_mcse","coverage_conditional","coverage_conditional_mcse","bias_eliminated_coverage","bias_eliminated_coverage_mcse","rejection","rejection_mcse","convergence","convergence_mcse","failure_probability","median_width","median_ess1","median_ess0","median_max_weight","n_used","n_attempted"
11,4000,140,"above",16,"null","bonferroni","effect_seeking",NA,0,-0.0107439646226695,0.000269817228344006,0.0120665932815556,0.000190837307134947,0.0134149369883982,0.000103246171769636,11.1741870748522,1.9553987975401,0.000260962647898945,8.93098862530253e-06,0.9935,0.00179690706493129,0.9935,0.00179690706493129,0.997,0.00122290637417588,0.0065,0.00179690706493129,1,0,0,0.0693865674937228,1004.05835754597,879.530235798307,6.83125326318521,2000,2000
12,8000,140,"above",16,"null","bonferroni","effect_seeking",NA,0,-0.0056810947648467,0.000146645915698174,0.00655820472247639,0.00010372025472924,0.00710407104613926,5.52139536940114e-05,8.32341085346218,1.90886469293544,7.52633818844894e-05,2.73782457741382e-06,0.9915,0.00205277251540447,0.9915,0.00205277251540447,0.9965,0.00132055859392909,0.0085,0.00205277251540447,1,0,0,0.0366030271965979,1970.44487556809,1721.52710825472,7.23631712133036,2000,2000
13,4000,35,"below",4,"homogeneous","bonferroni","effect_seeking",NA,-0.00567747849394479,-0.00241234354312257,0.000133943128995766,0.00599011883107113,9.47357817129125e-05,0.00620585000731826,2.76953494754132e-05,3.6014506945693,1.70247629615406,4.16829842185928e-05,1.5353300174064e-06,0.9885,0.00238408787589719,0.9885,0.00238408787589719,0.9885,0.00238408787589719,0.0945,0.00654101482951996,1,0,0,0.0296915644496433,1190.31377659791,1251.16809406891,6.6098873155725,2000,2000
14,8000,35,"below",4,"homogeneous","bonferroni","effect_seeking",NA,-0.00287039840354257,-0.00117757047031024,6.73406209746877e-05,0.003011564122929,4.76289184589054e-05,0.00313109404637605,1.39683226375682e-05,3.96903132617992,1.70847106461985,1.04516559198265e-05,3.56148122275973e-07,0.986,0.00262716577322407,0.986,0.00262716577322407,0.9885,0.00238408787589719,0.081,0.00610077863882964,1,0,0,0.0150916385672166,2401.71825499119,2533.44525999056,7.00772721825975,2000,2000
15,4000,70,"boundary",4,"homogeneous","bonferroni","effect_seeking",NA,-0.0113553899468084,-0.0035197332393194,0.000182678252024479,0.00816961979075149,0.00012920533615453,0.008636973683152,3.29494202204525e-05,5.72063210248277,1.71996365494844,7.90978382576454e-05,2.66821958066459e-06,0.99,0.0022248595461287,0.99,0.0022248595461287,0.9925,0.00192921616207204,0.2065,0.0090514570650255,1,0,0,0.0416987320927871,1197.73738736867,1262.11388425972,6.5697562864476,2000,2000
16,8000,70,"boundary",4,"homogeneous","bonferroni","effect_seeking",NA,-0.0058221658499879,-0.0017903221560683,9.36472003911754e-05,0.00418803011954426,6.62351312889233e-05,0.00443547472250608,1.7299681336521e-05,5.9083768716722,1.72516066728236,2.07360799065778e-05,6.9230307857505e-07,0.99,0.0022248595461287,0.99,0.0022248595461287,0.991,0.00211175282644537,0.199,0.00892745764481691,1,0,0,0.0213822487703634,2406.28259473319,2535.3666265742,7.02531045764812,2000,2000
17,4000,140,"above",4,"homogeneous","bonferroni","effect_seeking",NA,-0.0224041040190338,-0.00405440183728878,0.000250950930287389,0.0112228667827882,0.000177493483470211,0.0117789009326057,3.86251646147745e-05,4.95447518516619,1.69519542842334,0.00014232793671301,4.81255432610671e-06,0.986,0.00262716577322407,0.986,0.00262716577322407,0.9915,0.00205277251540447,0.406,0.0109809835625048,1,0,0,0.0570506456861895,1203.45202060425,1267.0521707001,6.62681578872884,2000,2000
18,8000,140,"above",4,"homogeneous","bonferroni","effect_seeking",NA,-0.0116213429768268,-0.00216257067030309,0.000130859635229116,0.00585222079766261,9.25548770664361e-05,0.00608949629577124,2.08523906468534e-05,4.05445225517462,1.68378957745519,3.89080759245177e-05,1.34957738110289e-06,0.9885,0.00238408787589719,0.9885,0.00238408787589719,0.986,0.00262716577322407,0.4,0.0109544511501033,1,0,0,0.0295609936538152,2415.74101760934,2552.47256808682,7.04589558977123,2000,2000
19,4000,35,"below",16,"homogeneous","bonferroni","effect_seeking",NA,-0.00511544409734283,-0.0049261977350238,0.000138024035566557,0.00617262252111341,9.76221401023261e-05,0.00652758341097056,6.12883532634297e-05,5.75056855725451,1.94500824073063,6.2349642278316e-05,2.80175911635591e-06,0.995,0.00157718102955875,0.995,0.00157718102955875,0.9955,0.00149662119455792,0.0515,0.00494205169944629,1,0,0,0.0316077721565841,1235.06005659679,1294.24439453016,7.04444450641822,2000,2000
20,8000,35,"below",16,"homogeneous","bonferroni","effect_seeking",NA,-0.00259806275708731,-0.00238656336778038,6.6403734452264e-05,0.00296966528390214,4.69662739638607e-05,0.00329251036324012,3.03731814681908e-05,10.8714298910399,2.02995995669514,1.45101871508956e-05,5.71728891397442e-07,0.9975,0.00111663557170635,0.9975,0.00111663557170635,0.995,0.00157718102955875,0.053,0.0050095408971282,1,0,0,0.0160690452838348,2449.2350273905,2584.04639178738,7.41505179486846,2000,2000
21,4000,70,"boundary",16,"homogeneous","bonferroni","effect_seeking",NA,-0.0101213769437986,-0.00623838935410377,0.00017968917047737,0.00803594400015896,0.000127091207724859,0.00854903471903215,7.31600447652608e-05,6.3849464215161,1.91303454233161,0.000103461609509099,3.93406295795773e-06,0.994,0.0017268468374468,0.994,0.0017268468374468,0.997,0.00122290637417588,0.142,0.00780499839846236,1,0,0,0.0430382493466826,1256.59928344181,1340.64793884035,7.03890456658685,2000,2000
