"scenario","n","event_target","K","effect","method","selector","candidate","frequency","count","denominator"
10,8000,70,16,"null","split","prognostic_low","c45-h24",0.0085,17,2000
11,4000,140,16,"null","split","prognostic_low","c45-h24",0.0035,7,2000
12,8000,140,16,"null","split","prognostic_low","c45-h24",0.003,6,2000
19,4000,35,16,"homogeneous","split","prognostic_low","c45-h24",0.021,42,2000
20,8000,35,16,"homogeneous","split","prognostic_low","c45-h24",0.022,44,2000
21,4000,70,16,"homogeneous","split","prognostic_low","c45-h24",0.019,38,2000
22,8000,70,16,"homogeneous","split","prognostic_low","c45-h24",0.0135,27,2000
23,4000,140,16,"homogeneous","split","prognostic_low","c45-h24",0.0085,17,2000
24,8000,140,16,"homogeneous","split","prognostic_low","c45-h24",0.0025,5,2000
31,4000,35,16,"heterogeneous","split","prognostic_low","c45-h24",0.0145,29,2000
32,8000,35,16,"heterogeneous","split","prognostic_low","c45-h24",0.016,32,2000
33,4000,70,16,"heterogeneous","split","prognostic_low","c45-h24",0.0075,15,2000
34,8000,70,16,"heterogeneous","split","prognostic_low","c45-h24",0.005,10,2000
35,4000,140,16,"heterogeneous","split","prognostic_low","c45-h24",0.0015,3,2000
36,8000,140,16,"heterogeneous","split","prognostic_low","c45-h24",0.002,4,2000
7,4000,35,16,"null","bonferroni","effect_seeking","c45-h36",0.0725,145,2000
8,8000,35,16,"null","bonferroni","effect_seeking","c45-h36",0.0625,125,2000
9,4000,70,16,"null","bonferroni","effect_seeking","c45-h36",0.0545,109,2000
10,8000,70,16,"null","bonferroni","effect_seeking","c45-h36",0.0645,129,2000
11,4000,140,16,"null","bonferroni","effect_seeking","c45-h36",0.054,108,2000
12,8000,140,16,"null","bonferroni","effect_seeking","c45-h36",0.045,90,2000
19,4000,35,16,"homogeneous","bonferroni","effect_seeking","c45-h36",0.067,134,2000
20,8000,35,16,"homogeneous","bonferroni","effect_seeking","c45-h36",0.07,140,2000
21,4000,70,16,"homogeneous","bonferroni","effect_seeking","c45-h36",0.0695,139,2000
22,8000,70,16,"homogeneous","bonferroni","effect_seeking","c45-h36",0.052,104,2000
23,4000,140,16,"homogeneous","bonferroni","effect_seeking","c45-h36",0.0715,143,2000
24,8000,140,16,"homogeneous","bonferroni","effect_seeking","c45-h36",0.063,126,2000
31,4000,35,16,"heterogeneous","bonferroni","effect_seeking","c45-h36",0.0965,193,2000
32,8000,35,16,"heterogeneous","bonferroni","effect_seeking","c45-h36",0.0915,183,2000
33,4000,70,16,"heterogeneous","bonferroni","effect_seeking","c45-h36",0.1,200,2000
34,8000,70,16,"heterogeneous","bonferroni","effect_seeking","c45-h36",0.103,206,2000
35,4000,140,16,"heterogeneous","bonferroni","effect_seeking","c45-h36",0.095,190,2000
36,8000,140,16,"heterogeneous","bonferroni","effect_seeking","c45-h36",0.1225,245,2000
7,4000,35,16,"null","naive","effect_seeking","c45-h36",0.0725,145,2000
8,8000,35,16,"null","naive","effect_seeking","c45-h36",0.0625,125,2000
9,4000,70,16,"null","naive","effect_seeking","c45-h36",0.0545,109,2000
10,8000,70,16,"null","naive","effect_seeking","c45-h36",0.0645,129,2000
11,4000,140,16,"null","naive","effect_seeking","c45-h36",0.054,108,2000
12,8000,140,16,"null","naive","effect_seeking","c45-h36",0.045,90,2000
19,4000,35,16,"homogeneous","naive","effect_seeking","c45-h36",0.067,134,2000
20,8000,35,16,"homogeneous","naive","effect_seeking","c45-h36",0.07,140,2000
21,4000,70,16,"homogeneous","naive","effect_seeking","c45-h36",0.0695,139,2000
22,8000,70,16,"homogeneous","naive","effect_seeking","c45-h36",0.052,104,2000
23,4000,140,16,"homogeneous","naive","effect_seeking","c45-h36",0.0715,143,2000
24,8000,140,16,"homogeneous","naive","effect_seeking","c45-h36",0.063,126,2000
31,4000,35,16,"heterogeneous","naive","effect_seeking","c45-h36",0.0965,193,2000
32,8000,35,16,"heterogeneous","naive","effect_seeking","c45-h36",0.0915,183,2000
33,4000,70,16,"heterogeneous","naive","effect_seeking","c45-h36",0.1,200,2000
34,8000,70,16,"heterogeneous","naive","effect_seeking","c45-h36",0.103,206,2000
35,4000,140,16,"heterogeneous","naive","effect_seeking","c45-h36",0.095,190,2000
36,8000,140,16,"heterogeneous","naive","effect_seeking","c45-h36",0.1225,245,2000
7,4000,35,16,"null","bonferroni","prognostic_high","c45-h36",0.0055,11,2000
8,8000,35,16,"null","bonferroni","prognostic_high","c45-h36",0.0085,17,2000
9,4000,70,16,"null","bonferroni","prognostic_high","c45-h36",0.0015,3,2000
10,8000,70,16,"null","bonferroni","prognostic_high","c45-h36",0.002,4,2000
19,4000,35,16,"homogeneous","bonferroni","prognostic_high","c45-h36",0.0095,19,2000
20,8000,35,16,"homogeneous","bonferroni","prognostic_high","c45-h36",0.014,28,2000
21,4000,70,16,"homogeneous","bonferroni","prognostic_high","c45-h36",0.0045,9,2000
22,8000,70,16,"homogeneous","bonferroni","prognostic_high","c45-h36",0.0065,13,2000
23,4000,140,16,"homogeneous","bonferroni","prognostic_high","c45-h36",0.0015,3,2000
31,4000,35,16,"heterogeneous","bonferroni","prognostic_high","c45-h36",0.0055,11,2000
32,8000,35,16,"heterogeneous","bonferroni","prognostic_high","c45-h36",0.006,12,2000
33,4000,70,16,"heterogeneous","bonferroni","prognostic_high","c45-h36",0.0015,3,2000
34,8000,70,16,"heterogeneous","bonferroni","prognostic_high","c45-h36",5e-04,1,2000
7,4000,35,16,"null","naive","prognostic_high","c45-h36",0.0055,11,2000
8,8000,35,16,"null","naive","prognostic_high","c45-h36",0.0085,17,2000
9,4000,70,16,"null","naive","prognostic_high","c45-h36",0.0015,3,2000
10,8000,70,16,"null","naive","prognostic_high","c45-h36",0.002,4,2000
19,4000,35,16,"homogeneous","naive","prognostic_high","c45-h36",0.0095,19,2000
20,8000,35,16,"homogeneous","naive","prognostic_high","c45-h36",0.014,28,2000
21,4000,70,16,"homogeneous","naive","prognostic_high","c45-h36",0.0045,9,2000
22,8000,70,16,"homogeneous","naive","prognostic_high","c45-h36",0.0065,13,2000
23,4000,140,16,"homogeneous","naive","prognostic_high","c45-h36",0.0015,3,2000
31,4000,35,16,"heterogeneous","naive","prognostic_high","c45-h36",0.0055,11,2000
32,8000,35,16,"heterogeneous","naive","prognostic_high","c45-h36",0.006,12,2000
33,4000,70,16,"heterogeneous","naive","prognostic_high","c45-h36",0.0015,3,2000
34,8000,70,16,"heterogeneous","naive","prognostic_high","c45-h36",5e-04,1,2000
7,4000,35,16,"null","split","prognostic_high","c45-h36",0.0145,29,2000
8,8000,35,16,"null","split","prognostic_high","c45-h36",0.013,26,2000
9,4000,70,16,"null","split","prognostic_high","c45-h36",0.008,16,2000
10,8000,70,16,"null","split","prognostic_high","c45-h36",0.01,20,2000
11,4000,140,16,"null","split","prognostic_high","c45-h36",0.0025,5,2000
12,8000,140,16,"null","split","prognostic_high","c45-h36",0.0025,5,2000
19,4000,35,16,"homogeneous","split","prognostic_high","c45-h36",0.02,40,2000
20,8000,35,16,"homogeneous","split","prognostic_high","c45-h36",0.0205,41,2000
21,4000,70,16,"homogeneous","split","prognostic_high","c45-h36",0.0085,17,2000
22,8000,70,16,"homogeneous","split","prognostic_high","c45-h36",0.015,30,2000
23,4000,140,16,"homogeneous","split","prognostic_high","c45-h36",0.002,4,2000
24,8000,140,16,"homogeneous","split","prognostic_high","c45-h36",0.0025,5,2000
31,4000,35,16,"heterogeneous","split","prognostic_high","c45-h36",0.017,34,2000
32,8000,35,16,"heterogeneous","split","prognostic_high","c45-h36",0.01,20,2000
33,4000,70,16,"heterogeneous","split","prognostic_high","c45-h36",0.007,14,2000
34,8000,70,16,"heterogeneous","split","prognostic_high","c45-h36",0.004,8,2000
35,4000,140,16,"heterogeneous","split","prognostic_high","c45-h36",0.002,4,2000
36,8000,140,16,"heterogeneous","split","prognostic_high","c45-h36",0.0015,3,2000
7,4000,35,16,"null","bonferroni","prognostic_low","c45-h36",0.026,52,2000
8,8000,35,16,"null","bonferroni","prognostic_low","c45-h36",0.0305,61,2000
9,4000,70,16,"null","bonferroni","prognostic_low","c45-h36",0.0095,19,2000
10,8000,70,16,"null","bonferroni","prognostic_low","c45-h36",0.0125,25,2000
11,4000,140,16,"null","bonferroni","prognostic_low","c45-h36",0.0055,11,2000
12,8000,140,16,"null","bonferroni","prognostic_low","c45-h36",0.0035,7,2000
19,4000,35,16,"homogeneous","bonferroni","prognostic_low","c45-h36",0.0245,49,2000
20,8000,35,16,"homogeneous","bonferroni","prognostic_low","c45-h36",0.0265,53,2000
21,4000,70,16,"homogeneous","bonferroni","prognostic_low","c45-h36",0.0215,43,2000
22,8000,70,16,"homogeneous","bonferroni","prognostic_low","c45-h36",0.022,44,2000
23,4000,140,16,"homogeneous","bonferroni","prognostic_low","c45-h36",0.008,16,2000
24,8000,140,16,"homogeneous","bonferroni","prognostic_low","c45-h36",0.008,16,2000
31,4000,35,16,"heterogeneous","bonferroni","prognostic_low","c45-h36",0.0175,35,2000
32,8000,35,16,"heterogeneous","bonferroni","prognostic_low","c45-h36",0.017,34,2000
33,4000,70,16,"heterogeneous","bonferroni","prognostic_low","c45-h36",0.0065,13,2000
34,8000,70,16,"heterogeneous","bonferroni","prognostic_low","c45-h36",0.009,18,2000
35,4000,140,16,"heterogeneous","bonferroni","prognostic_low","c45-h36",0.0015,3,2000
36,8000,140,16,"heterogeneous","bonferroni","prognostic_low","c45-h36",0.001,2,2000
7,4000,35,16,"null","naive","prognostic_low","c45-h36",0.026,52,2000
8,8000,35,16,"null","naive","prognostic_low","c45-h36",0.0305,61,2000
9,4000,70,16,"null","naive","prognostic_low","c45-h36",0.0095,19,2000
10,8000,70,16,"null","naive","prognostic_low","c45-h36",0.0125,25,2000
11,4000,140,16,"null","naive","prognostic_low","c45-h36",0.0055,11,2000
12,8000,140,16,"null","naive","prognostic_low","c45-h36",0.0035,7,2000
19,4000,35,16,"homogeneous","naive","prognostic_low","c45-h36",0.0245,49,2000
20,8000,35,16,"homogeneous","naive","prognostic_low","c45-h36",0.0265,53,2000
21,4000,70,16,"homogeneous","naive","prognostic_low","c45-h36",0.0215,43,2000
22,8000,70,16,"homogeneous","naive","prognostic_low","c45-h36",0.022,44,2000
23,4000,140,16,"homogeneous","naive","prognostic_low","c45-h36",0.008,16,2000
24,8000,140,16,"homogeneous","naive","prognostic_low","c45-h36",0.008,16,2000
31,4000,35,16,"heterogeneous","naive","prognostic_low","c45-h36",0.0175,35,2000
32,8000,35,16,"heterogeneous","naive","prognostic_low","c45-h36",0.017,34,2000
33,4000,70,16,"heterogeneous","naive","prognostic_low","c45-h36",0.0065,13,2000
34,8000,70,16,"heterogeneous","naive","prognostic_low","c45-h36",0.009,18,2000
35,4000,140,16,"heterogeneous","naive","prognostic_low","c45-h36",0.0015,3,2000
36,8000,140,16,"heterogeneous","naive","prognostic_low","c45-h36",0.001,2,2000
7,4000,35,16,"null","split","prognostic_low","c45-h36",0.0295,59,2000
8,8000,35,16,"null","split","prognostic_low","c45-h36",0.0345,69,2000
9,4000,70,16,"null","split","prognostic_low","c45-h36",0.0175,35,2000
10,8000,70,16,"null","split","prognostic_low","c45-h36",0.0245,49,2000
11,4000,140,16,"null","split","prognostic_low","c45-h36",0.0185,37,2000
12,8000,140,16,"null","split","prognostic_low","c45-h36",0.014,28,2000
19,4000,35,16,"homogeneous","split","prognostic_low","c45-h36",0.0325,65,2000
20,8000,35,16,"homogeneous","split","prognostic_low","c45-h36",0.038,76,2000
21,4000,70,16,"homogeneous","split","prognostic_low","c45-h36",0.02,40,2000
22,8000,70,16,"homogeneous","split","prognostic_low","c45-h36",0.0295,59,2000
23,4000,140,16,"homogeneous","split","prognostic_low","c45-h36",0.02,40,2000
24,8000,140,16,"homogeneous","split","prognostic_low","c45-h36",0.0225,45,2000
31,4000,35,16,"heterogeneous","split","prognostic_low","c45-h36",0.022,44,2000
32,8000,35,16,"heterogeneous","split","prognostic_low","c45-h36",0.022,44,2000
