"precision","delta","cutoff","wrong_definitive","decision_rate","indeterminate"
"small",0.02,0.65,0.4433125,0.770475,0.229525
"large",0.03,0.65,0.0364,0.93376875,0.06623125
"medium",0.03,0.65,0.1226625,0.78621875,0.21378125
"small",0.03,0.65,0.243175,0.3812375,0.6187625
"large",0.05,0.65,0.00291875,0.9876875,0.0123125
"medium",0.05,0.65,0.0430375,0.90880625,0.0911937499999998
"small",0.05,0.65,0.14761875,0.66771875,0.33228125
"large",0.01,0.66,0.0483562500000001,0.8814,0.1186
"medium",0.01,0.66,0.22530625,0.6748625,0.3251375
"small",0.01,0.66,0.4375,1,0
"large",0.02,0.66,0.0465187499999999,0.9117375,0.0882625
"medium",0.02,0.66,0.14629375,0.60580625,0.39419375
"small",0.02,0.66,0.42311875,0.73538125,0.26461875
"large",0.03,0.66,0.03475625,0.92895,0.0710499999999999
"medium",0.03,0.66,0.11749375,0.77150625,0.22849375
"small",0.03,0.66,0.2319625,0.36368125,0.63631875
"large",0.05,0.66,0.0027625,0.9867625,0.0132375000000001
"medium",0.05,0.66,0.0410812500000001,0.9020625,0.0979375
"small",0.05,0.66,0.14014375,0.64071875,0.35928125
"large",0.01,0.67,0.04615625,0.8733125,0.1266875
"medium",0.01,0.67,0.2117875,0.652175,0.347825
"small",0.01,0.67,0.4375,1,0
"large",0.02,0.67,0.04465,0.9060125,0.0939875
"medium",0.02,0.67,0.136175,0.56660625,0.43339375
"small",0.02,0.67,0.38395,0.673825,0.326175
"large",0.03,0.67,0.03335625,0.92415625,0.07584375
"medium",0.03,0.67,0.11255625,0.7561875,0.2438125
"small",0.03,0.67,0.22066875,0.3472125,0.6527875
"large",0.05,0.67,0.00259375,0.9858375,0.0141625
"medium",0.05,0.67,0.0391875,0.89559375,0.10440625
"small",0.05,0.67,0.13299375,0.6139125,0.3860875
"large",0.01,0.68,0.0439812499999999,0.865075,0.134925
"medium",0.01,0.68,0.19885625,0.63035,0.36965
"small",0.01,0.68,0.4375,1,0
"large",0.02,0.68,0.0426812499999999,0.8999125,0.1000875
"medium",0.02,0.68,0.1257125,0.5293625,0.4706375
"small",0.02,0.68,0.3491125,0.62061875,0.37938125
"large",0.03,0.68,0.03185625,0.91953125,0.0804687500000001
"medium",0.03,0.68,0.10791875,0.740525,0.259475
"small",0.03,0.68,0.21013125,0.332375,0.667625
"large",0.05,0.68,0.0023625,0.98479375,0.0152062499999999
"medium",0.05,0.68,0.0374,0.8890875,0.1109125
"small",0.05,0.68,0.12611875,0.58528125,0.41471875
"large",0.01,0.69,0.0418875000000002,0.8566875,0.1433125
"medium",0.01,0.69,0.18736875,0.61081875,0.38918125
"small",0.01,0.69,0.4375,1,0
"large",0.02,0.69,0.040825,0.8941125,0.1058875
"medium",0.02,0.69,0.11695,0.50843125,0.49156875
"small",0.02,0.69,0.32378125,0.581225,0.418775
"large",0.03,0.69,0.030475,0.91488125,0.08511875
"medium",0.03,0.69,0.1029375,0.7245125,0.2754875
"small",0.03,0.69,0.199975,0.3182375,0.6817625
"large",0.05,0.69,0.00218124999999999,0.9838125,0.0161875000000001
"medium",0.05,0.69,0.03570625,0.88248125,0.11751875
"small",0.05,0.69,0.1191,0.554375,0.445625
"large",0.01,0.7,0.039925,0.84791875,0.15208125
"medium",0.01,0.7,0.1763875,0.59144375,0.40855625
"small",0.01,0.7,0.4375,1,0
"large",0.02,0.7,0.0389062499999999,0.8883375,0.1116625
"medium",0.02,0.7,0.11119375,0.49079375,0.50920625
"small",0.02,0.7,0.302175,0.5475625,0.4524375
"large",0.03,0.7,0.02905,0.910275,0.0897249999999999
"medium",0.03,0.7,0.09815,0.7082875,0.2917125
"small",0.03,0.7,0.1899125,0.30451875,0.69548125
"large",0.05,0.7,0.00203750000000001,0.98284375,0.01715625
"medium",0.05,0.7,0.034075,0.87539375,0.12460625
"small",0.05,0.7,0.11224375,0.5203,0.4797
"large",0.01,0.71,0.0378750000000001,0.8388875,0.1611125
"medium",0.01,0.71,0.1658875,0.57275625,0.42724375
"small",0.01,0.71,0.4375,1,0
"large",0.02,0.71,0.03725625,0.88213125,0.11786875
"medium",0.02,0.71,0.10529375,0.4728125,0.5271875
"small",0.02,0.71,0.28236875,0.5167375,0.4832625
"large",0.03,0.71,0.02765625,0.9054625,0.0945375
"medium",0.03,0.71,0.0936687499999999,0.69185625,0.30814375
"small",0.03,0.71,0.1806625,0.29139375,0.70860625
"large",0.05,0.71,0.001875,0.9816875,0.0183125
"medium",0.05,0.71,0.03225625,0.86814375,0.13185625
"small",0.05,0.71,0.105,0.48015,0.51985
"large",0.01,0.72,0.03601875,0.8303625,0.1696375
"medium",0.01,0.72,0.15586875,0.55445,0.44555
"small",0.01,0.72,0.4375,1,0
"large",0.02,0.72,0.0355625,0.87581875,0.12418125
"medium",0.02,0.72,0.0996124999999999,0.4543125,0.5456875
"small",0.02,0.72,0.26440625,0.48828125,0.51171875
"large",0.03,0.72,0.0263875,0.9006875,0.0993124999999999
"medium",0.03,0.72,0.0892999999999999,0.674475,0.325525
"small",0.03,0.72,0.17094375,0.2778125,0.7221875
"large",0.05,0.72,0.0017375,0.9806875,0.0193124999999999
"medium",0.05,0.72,0.03061875,0.86081875,0.13918125
"small",0.05,0.72,0.0960874999999999,0.42456875,0.57543125
"large",0.01,0.73,0.0340500000000001,0.82059375,0.17940625
"medium",0.01,0.73,0.1467625,0.5375375,0.4624625
"small",0.01,0.73,0.4375,0.9999875,1.2500000000001e-05
"large",0.02,0.73,0.03376875,0.869525,0.130475
"medium",0.02,0.73,0.0936749999999999,0.43475625,0.56524375
"small",0.02,0.73,0.24805625,0.46235,0.53765
"large",0.03,0.73,0.0250125,0.89558125,0.10441875
"medium",0.03,0.73,0.08478125,0.65725625,0.34274375
"small",0.03,0.73,0.16154375,0.26471875,0.73528125
"large",0.05,0.73,0.00161875,0.9795125,0.0204875
"medium",0.05,0.73,0.0289625,0.8530875,0.1469125
"small",0.05,0.73,0.0900687500000001,0.38530625,0.61469375
"large",0.01,0.74,0.03215625,0.8111625,0.1888375
"medium",0.01,0.74,0.13775625,0.520825,0.479175
"small",0.01,0.74,0.43749375,0.999825,0.000174999999999997
"large",0.02,0.74,0.03189375,0.8628125,0.1371875
"medium",0.02,0.74,0.087875,0.413875,0.586125
"small",0.02,0.74,0.232875,0.43801875,0.56198125
"large",0.03,0.74,0.02369375,0.89011875,0.10988125
"medium",0.03,0.74,0.0801812499999999,0.638825,0.361175
"small",0.03,0.74,0.152725,0.25228125,0.74771875
"large",0.05,0.74,0.00148749999999999,0.97808125,0.0219187500000001
"medium",0.05,0.74,0.0272749999999999,0.84525,0.15475
"small",0.05,0.74,0.08516875,0.353425,0.646575
