"scenario","family","baseline_risk","mismatch","operator","from_precision","to_precision","n_complete_vectors","signed_change","signed_simultaneous_lower","signed_simultaneous_upper","flip_probability","flip_simultaneous_lower","flip_simultaneous_upper"
15,"logit","common","measurement_mismatch","direction","small","medium",10000,0.1011,0.0872,0.115,0.1027,0.0891999999999999,0.1162
15,"logit","common","measurement_mismatch","direction","medium","large",10000,0.003,-0.0109,0.0169,0.003,0,0.0165000000000001
15,"logit","common","measurement_mismatch","direction","small","large",10000,0.1041,0.0902,0.118,0.1041,0.0905999999999999,0.1176
15,"logit","common","measurement_mismatch","overlap","small","medium",10000,-0.00890000000000002,-0.0228,0.005,0.0345,0.0209999999999999,0.0480000000000001
15,"logit","common","measurement_mismatch","overlap","medium","large",10000,-0.1272,-0.1411,-0.1133,0.1584,0.1449,0.1719
15,"logit","common","measurement_mismatch","overlap","small","large",10000,-0.1361,-0.15,-0.1222,0.1613,0.1478,0.1748
16,"probit","common","measurement_mismatch","direction","small","medium",10000,0.0138,-9.9999999999989e-05,0.0277000000000001,0.0138,0.000299999999999932,0.0273000000000001
16,"probit","common","measurement_mismatch","direction","medium","large",10000,0,-0.0139,0.0139,0,0,0.0135000000000001
16,"probit","common","measurement_mismatch","direction","small","large",10000,0.0138,-9.9999999999989e-05,0.0277000000000001,0.0138,0.000299999999999932,0.0273000000000001
16,"probit","common","measurement_mismatch","overlap","small","medium",10000,-0.0316000000000001,-0.0455000000000001,-0.0177,0.0608,0.0472999999999999,0.0743000000000001
16,"probit","common","measurement_mismatch","overlap","medium","large",10000,-0.4814,-0.4953,-0.4675,0.5088,0.4953,0.5223
16,"probit","common","measurement_mismatch","overlap","small","large",10000,-0.513,-0.5269,-0.4991,0.5274,0.5139,0.5409
