"scenario","family","baseline_risk","mismatch","precision","n_trial","n_emulation","estimand","truth","bias","bias_mcse","relative_bias","empse","empse_mcse","modse","modse_mcse","relerror_modse","relerror_modse_mcse","mse","mse_mcse","coverage","coverage_mcse","convergence","n_used","n_attempted"
15,"logit","common","measurement_mismatch","medium",2500,25000,"psiE",-0.044416484642162,-0.000105852928730506,6.0883841658109e-05,0.00238319015075825,0.0060883841658109,4.3053530031458e-05,0.00606625519287508,2.32271496237159e-07,-0.363462165546014,0.704582273353742,3.70759197508427e-05,5.24597542978475e-07,0.9513,0.00215240121724552,1,10000,10000
15,"logit","common","measurement_mismatch","medium",2500,25000,"deltaRaw",0.00909735227610545,-0.000277712684269267,0.000203538115204448,-0.0305267594175385,0.0203538115204448,0.000143930378189826,0.0201829237811678,1.03284966359801e-06,-0.839585937530296,0.701223434458133,0.000414313339980455,5.86118781130476e-06,0.9491,0.00219793516737869,1,10000,10000
15,"logit","common","measurement_mismatch","medium",2500,25000,"psiEtoT_LZ",-0.044416484642162,-9.25682907117614e-05,6.17980340377987e-05,0.00208409763756701,0.00617980340377987,4.36999939864516e-05,0.00616014553644483,3.99487604807122e-07,-0.318098587457005,0.704922371177693,3.81947200008038e-05,5.37230397779628e-07,0.9528,0.00212066404694379,1,10000,10000
15,"logit","common","measurement_mismatch","medium",2500,25000,"deltaObservedAlign",0.00909735227610545,-0.000264428046250525,0.000203108081727019,-0.0290664842060756,0.0203108081727019,0.000143626283396678,0.0201523767145502,1.05880789833566e-06,-0.78003522461827,0.70164554732496,0.000412557597927076,5.83299459305118e-06,0.9495,0.00218974313562116,1,10000,10000
16,"probit","common","measurement_mismatch","medium",2500,25000,"psiT",-0.0985909464595561,-0.000269331339398438,0.00019940708552871,0.00273180600319039,0.019940708552871,0.000141009153027919,0.0198920240662916,4.21623627607423e-07,-0.244146222038022,0.70541884714419,0.000397664633775168,5.58656151614074e-06,0.9492,0.00219589070766284,1,10000,10000
16,"probit","common","measurement_mismatch","medium",2500,25000,"psiE",-0.0818304855614315,-2.20958784953179e-05,6.12035303245048e-05,0.000270020131784873,0.00612035303245048,4.3279595358884e-05,0.0061644908419673,2.31554817421979e-07,0.721164437456445,0.712251845144194,3.7455463597548e-05,5.21785465090222e-07,0.9539,0.00209701669044383,1,10000,10000
16,"probit","common","measurement_mismatch","medium",2500,25000,"deltaRaw",0.0167604608981245,0.000247235460903109,0.000209254524635685,0.0147511134929932,0.0209254524635685,0.000147972692183445,0.0208253107730622,4.07989720302463e-07,-0.478564039084195,0.703760712007355,0.000437891898722113,6.19118234178958e-06,0.9477,0.00222631332026739,1,10000,10000
16,"probit","common","measurement_mismatch","medium",2500,25000,"psiEtoT_LZ",-0.0818304855614315,-1.23437432436868e-05,6.33647503454252e-05,0.000150845289001984,0.00633647503454252,4.48078851077109e-05,0.00638952041109462,4.61776384479358e-07,0.837143305432919,0.713099171374193,4.01470531397915e-05,5.65690429814688e-07,0.9513,0.00215240121724552,1,10000,10000
16,"probit","common","measurement_mismatch","medium",2500,25000,"deltaObservedAlign",0.0167604608981246,0.00025698759615474,0.000208247871922123,0.0153329671371684,0.0208247871922123,0.000147260845630168,0.0207291599933293,5.17864096239208e-07,-0.459198924821336,0.703899342774544,0.000433694437049347,6.13897908248538e-06,0.9481,0.00221825133832936,1,10000,10000
1,"logit","lower","aligned","large",25000,250000,"psiT",-0.02168278333915,0.000122744510387685,4.5717885211085e-05,-0.00566092039328086,0.0045717885211085,3.2329043146837e-05,0.00461799235369437,2.71527445104501e-07,1.010629261886,0.714313415856177,2.09142263715417e-05,2.86484769716145e-07,0.9557,0.00205760807735584,1,10000,10000
1,"logit","lower","aligned","large",25000,250000,"psiE",-0.02168278333915,3.14222234409564e-06,1.5045931947253e-05,-0.000144917850026298,0.0015045931947253,1.06396125030993e-05,0.00150984748598504,3.54074454055645e-08,0.349216736999791,0.709615499988265,2.2635841751068e-06,3.19537215873032e-08,0.9514,0.00215030323442997,1,10000,10000
1,"logit","lower","aligned","large",25000,250000,"deltaRaw",0,-0.000119602288043589,4.79760469631293e-05,NA,0.00479760469631293,3.39258844787864e-05,0.00485854842619841,2.58243784725827e-07,1.2702949438979,0.716145159553149,2.3029013828307e-05,3.17904209960487e-07,0.9533,0.00210995521279481,1,10000,10000
1,"logit","lower","aligned","large",25000,250000,"psiEtoT_LZ",-0.02168278333915,2.8461539666319e-06,1.51542658095895e-05,-0.00013126331256066,0.00151542658095895,1.07162199422572e-05,0.00152257823531303,5.25754540435672e-08,0.471923512754602,0.710487779763199,2.2962961710971e-06,3.25009738246797e-08,0.9502,0.00217531514958178,1,10000,10000
1,"logit","lower","aligned","large",25000,250000,"deltaObservedAlign",3.46944695195361e-18,-0.000119898356421053,4.79035592334532e-05,NA,0.00479035592334532,3.38746253505591e-05,0.00485403795318434,2.59931961057378e-07,1.32937992203619,0.716563289764311,2.29595907372148e-05,3.16708493477577e-07,0.9537,0.00210134028657902,1,10000,10000
2,"probit","lower","aligned","large",25000,250000,"psiT",-0.0340687194797627,1.517452548086e-05,5.08239282558296e-05,-0.000445409328926314,0.00508239282558296,3.593974134823e-05,0.00506494083010044,2.40547259430031e-07,-0.343381475644033,0.704729837457624,2.58283640280774e-05,3.53746358211561e-07,0.9525,0.00212705782714058,1,10000,10000
2,"probit","lower","aligned","large",25000,250000,"psiE",-0.0340687194797627,5.60927532480132e-06,1.5927137814631e-05,-0.000164645910103352,0.0015927137814631,1.12627503052127e-05,0.001601545186192,2.94724185395327e-08,0.55448787043133,0.711065564347955,2.5365149799132e-06,3.5785697405079e-08,0.9512,0.00215449669296567,1,10000,10000
2,"probit","lower","aligned","large",25000,250000,"deltaRaw",0,-9.56525015606188e-06,5.31358424942338e-05,NA,0.00531358424942338,3.75745933283701e-05,0.00531211564217434,2.29260285887367e-07,-0.0276387308472015,0.706959860306209,2.8231445651973e-05,3.89549833039493e-07,0.9514,0.00215030323442997,1,10000,10000
2,"probit","lower","aligned","large",25000,250000,"psiEtoT_LZ",-0.0340687194797627,7.45272169225958e-06,1.62967545607719e-05,-0.000218755556594564,0.00162967545607719,1.15241218817546e-05,0.0016375177922498,6.55365384864367e-08,0.481220732837317,0.7105564336935,2.65563205099182e-06,3.73728691660854e-08,0.953,0.00211638843315683,1,10000,10000
2,"probit","lower","aligned","large",25000,250000,"deltaObservedAlign",0,-7.72180378860455e-06,5.29818318336413e-05,NA,0.00529818318336413,3.74656859003825e-05,0.00529911211546518,2.33901077809997e-07,0.0175330310203892,0.70727990085791,2.80679975962318e-05,3.8690705573121e-07,0.9525,0.00212705782714058,1,10000,10000
3,"logit","common","aligned","large",25000,250000,"psiT",-0.0535138369182675,-4.54472463407019e-06,6.12424900916826e-05,8.49261592102135e-05,0.00612424900916826,4.3307145451988e-05,0.00608837285365928,1.08605442129507e-07,-0.585804977153437,0.703001902050982,3.75026959382276e-05,5.31080427608659e-07,0.9491,0.00219793516737869,1,10000,10000
3,"logit","common","aligned","large",25000,250000,"psiE",-0.0535138369182675,-3.25933377507345e-05,1.96073782715677e-05,0.000609063741785416,0.00196073782715677,1.38652034146184e-05,0.00195552557612702,2.22619912941037e-08,-0.265831104880843,0.705263249335431,3.84517070322652e-06,5.37358690794696e-08,0.9495,0.00218974313562116,1,10000,10000
3,"logit","common","aligned","large",25000,250000,"deltaRaw",0,-2.80486131166651e-05,6.43550463028459e-05,NA,0.00643550463028459,4.55081651094601e-05,0.00639471377655499,1.03642858617795e-07,-0.63384079529123,0.702661829419453,4.14123649991276e-05,5.78744340985771e-07,0.9498,0.00218357413430367,1,10000,10000
3,"logit","common","aligned","large",25000,250000,"psiEtoT_LZ",-0.0535138369182675,-3.57282346161863e-05,1.99425235708158e-05,0.000667644793826962,0.00199425235708158,1.4102198778464e-05,0.00199064446102055,4.01017702856259e-08,-0.180914719655123,0.705865679240211,3.97792126622786e-06,5.54695335132085e-08,0.9495,0.00218974313562116,1,10000,10000
3,"logit","common","aligned","large",25000,250000,"deltaObservedAlign",-6.93889390390723e-18,-3.11835099821162e-05,6.42084513777816e-05,NA,0.00642084513777816,4.54045016605576e-05,0.00638188687788975,1.07177783824798e-07,-0.606746605041009,0.70285356037967,4.12241019693959e-05,5.76009859449501e-07,0.9486,0.00220812227922278,1,10000,10000
4,"probit","common","aligned","large",25000,250000,"psiT",-0.0985909464595561,-1.84288175572589e-06,6.28466242565603e-05,1.86922006726234e-05,0.00628466242565603,4.44414963168672e-05,0.00629172329743689,4.05321382260748e-08,0.112350852005005,0.707936913167904,3.94930355024854e-05,5.56280784567989e-07,0.9507,0.00216493671962947,1,10000,10000
