"scenario","family","baseline_risk","mismatch","precision","delta","truth_class","mean_se_trial","mean_se_emulation","mean_se_delta","direction_agreement","interval_overlap","forced_aligned","forced_wrong","joint_aligned","joint_mismatched","joint_indeterminate","joint_wrong"
9,"logit","lower","hidden_u_shift","small",0.02,"aligned",0.0317621011001694,0.0109022244794884,0.0335810893941596,0.760445019914868,0.979190722667342,0.415593678574822,0.584406321425178,0,0.0379056993252685,0.962094300674731,0.0379056993252685
9,"logit","lower","hidden_u_shift","small",0.03,"aligned",0.0317621011001694,0.0109022244794884,0.0335810893941596,0.760445019914868,0.979190722667342,0.588494642241931,0.411505357758069,0,0.0184270991616118,0.981572900838388,0.0184270991616118
9,"logit","lower","hidden_u_shift","small",0.05,"aligned",0.0317621011001694,0.0109022244794884,0.0335810893941596,0.760445019914868,0.979190722667342,0.830171677915871,0.169828322084129,0,0.00346628079044076,0.996533719209559,0.00346628079044076
10,"probit","lower","hidden_u_shift","small",0.01,"mismatched",0.0344313658390594,0.0116208228636653,0.0363395442675309,0.885986049939653,0.9661319698753,0.176990281857518,0.176990281857518,0,0.106350334201176,0.893649665798824,0
10,"probit","lower","hidden_u_shift","small",0.02,"mismatched",0.0344313658390594,0.0116208228636653,0.0363395442675309,0.885986049939653,0.9661319698753,0.34627527127214,0.34627527127214,0,0.0628292255041819,0.937170774495818,0
10,"probit","lower","hidden_u_shift","small",0.03,"aligned",0.0344313658390594,0.0116208228636653,0.0363395442675309,0.885986049939653,0.9661319698753,0.500861932111967,0.499138067888033,0,0.03490832048544,0.96509167951456,0.03490832048544
10,"probit","lower","hidden_u_shift","small",0.05,"aligned",0.0344313658390594,0.0116208228636653,0.0363395442675309,0.885986049939653,0.9661319698753,0.745870285035414,0.254129714964586,0,0.00888588710459437,0.991114112895406,0.00888588710459437
11,"logit","common","hidden_u_shift","small",0.01,"mismatched",0.0425225195560011,0.0139433835983304,0.0447502247543036,0.938084600522281,0.97121756748422,0.151968565320615,0.151968565320615,0,0.102232409338246,0.897767590661754,0
11,"logit","common","hidden_u_shift","small",0.02,"mismatched",0.0425225195560011,0.0139433835983304,0.0447502247543036,0.938084600522281,0.97121756748422,0.298773532359675,0.298773532359675,0,0.0662402000960098,0.93375979990399,0
11,"logit","common","hidden_u_shift","small",0.03,"aligned",0.0425225195560011,0.0139433835983304,0.0447502247543036,0.938084600522281,0.97121756748422,0.435710135596614,0.564289864403386,0,0.0412366004322466,0.958763399567753,0.0412366004322466
11,"logit","common","hidden_u_shift","small",0.05,"aligned",0.0425225195560011,0.0139433835983304,0.0447502247543036,0.938084600522281,0.97121756748422,0.665809823772025,0.334190176227975,0,0.0141068974336502,0.98589310256635,0.0141068974336502
12,"probit","common","hidden_u_shift","small",0.01,"mismatched",0.0442324382419978,0.0135592276832479,0.046264038390507,0.996085565940516,0.947411771056591,0.122601653800051,0.122601653800051,0,0.153285622954976,0.846714377045024,0
12,"probit","common","hidden_u_shift","small",0.02,"mismatched",0.0442324382419978,0.0135592276832479,0.046264038390507,0.996085565940516,0.947411771056591,0.243313050990771,0.243313050990771,0,0.106769062621804,0.893230937378196,0
