"scenario","start","p_eligible","risk1","risk0","rd","rd_lo","rd_hi","h_key","h_label","a","adoption","b","background","sentinel"
7,4,0.76311,0.120084915674018,0.20626580702651,-0.0861808913524918,-0.0868305058131304,-0.0855312768918532,"none","no conditional effect modification",0,"none",0.35,"strong",FALSE
7,6,0.6749185,0.118547646864029,0.204591369180131,-0.0860437223161019,-0.0868849081335491,-0.0852025364986546,"none","no conditional effect modification",0,"none",0.35,"strong",FALSE
7,8,0.599786,0.11768113960646,0.203723494713114,-0.0860423551066547,-0.0867908468031656,-0.0852938634101438,"none","no conditional effect modification",0,"none",0.35,"strong",FALSE
7,10,0.535065,0.117661405623616,0.204358348985637,-0.0866969433620214,-0.0875782071715542,-0.0858156795524886,"none","no conditional effect modification",0,"none",0.35,"strong",FALSE
7,12,0.4790785,0.117968140920538,0.205131309378317,-0.0871631684577788,-0.0879980105423967,-0.086328326373161,"none","no conditional effect modification",0,"none",0.35,"strong",FALSE
7,14,0.4299345,0.11734229283763,0.204718393150585,-0.0873761003129546,-0.0884446857460677,-0.0863075148798416,"none","no conditional effect modification",0,"none",0.35,"strong",FALSE
7,16,0.386363,0.116384074044357,0.202796334017491,-0.0864122599731341,-0.0872818073664834,-0.0855427125797848,"none","no conditional effect modification",0,"none",0.35,"strong",FALSE
7,18,0.3475085,0.114958339148539,0.200321718749326,-0.0853633796007867,-0.0866675630814517,-0.0840591961201218,"none","no conditional effect modification",0,"none",0.35,"strong",FALSE
7,20,0.313085,0.112737754922785,0.195916444416053,-0.0831786894932686,-0.0842814939203001,-0.0820758850662371,"none","no conditional effect modification",0,"none",0.35,"strong",FALSE
7,22,0.2822635,0.107674212216599,0.189234527312245,-0.0815603150956464,-0.0824672595480744,-0.0806533706432185,"none","no conditional effect modification",0,"none",0.35,"strong",FALSE
8,0,1,0.0966195,0.214446,-0.1178265,-0.118480367101839,-0.117172632898161,"monotone","monotone conditional effect modification",0,"none",0.35,"strong",FALSE
8,2,0.8690215,0.0990337983582685,0.21013058940429,-0.111096791046021,-0.111863925169524,-0.110329656922518,"monotone","monotone conditional effect modification",0,"none",0.35,"strong",FALSE
8,4,0.76311,0.101733695011204,0.20626580702651,-0.104532112015306,-0.105109867944679,-0.103954356085933,"monotone","monotone conditional effect modification",0,"none",0.35,"strong",FALSE
8,6,0.6749185,0.105160845346512,0.204591369180131,-0.0994305238336184,-0.10029227719201,-0.0985687704752268,"monotone","monotone conditional effect modification",0,"none",0.35,"strong",FALSE
8,8,0.599786,0.109579916837005,0.203723494713114,-0.0941435778761091,-0.0949082590104829,-0.0933788967417354,"monotone","monotone conditional effect modification",0,"none",0.35,"strong",FALSE
8,10,0.535065,0.114855204507864,0.204358348985637,-0.0895031444777737,-0.0904011785251706,-0.0886051104303769,"monotone","monotone conditional effect modification",0,"none",0.35,"strong",FALSE
8,12,0.4790785,0.120788138060881,0.205131309378317,-0.0843431713174354,-0.085162817655064,-0.0835235249798069,"monotone","monotone conditional effect modification",0,"none",0.35,"strong",FALSE
8,14,0.4299345,0.125959884587071,0.204718393150585,-0.0787585085635137,-0.0797688599347602,-0.0777481571922673,"monotone","monotone conditional effect modification",0,"none",0.35,"strong",FALSE
8,16,0.386363,0.131193980790086,0.202796334017491,-0.0716023532274053,-0.0724382161965687,-0.070766490258242,"monotone","monotone conditional effect modification",0,"none",0.35,"strong",FALSE
8,18,0.3475085,0.135872935482154,0.200321718749326,-0.0644487832671719,-0.0654828472724826,-0.0634147192618611,"monotone","monotone conditional effect modification",0,"none",0.35,"strong",FALSE
8,20,0.313085,0.139510037210342,0.195916444416053,-0.0564064072057109,-0.0573030650639044,-0.0555097493475174,"monotone","monotone conditional effect modification",0,"none",0.35,"strong",FALSE
8,22,0.2822635,0.140870144386362,0.189234527312245,-0.0483643829258831,-0.0492886744614585,-0.0474400913903077,"monotone","monotone conditional effect modification",0,"none",0.35,"strong",FALSE
9,0,1,0.0966195,0.214446,-0.1178265,-0.118483015469037,-0.117169984530963,"cosine","transient loss of benefit",0,"none",0.35,"strong",FALSE
9,2,0.8690215,0.098421040215921,0.21013058940429,-0.111709549188369,-0.1124956733547,-0.110923425022037,"cosine","transient loss of benefit",0,"none",0.35,"strong",FALSE
9,4,0.76311,0.107819318315839,0.20626580702651,-0.0984464887106708,-0.0990666459491136,-0.097826331472228,"cosine","transient loss of benefit",0,"none",0.35,"strong",FALSE
9,6,0.6749185,0.123078564300727,0.204591369180131,-0.081512804879404,-0.0823813992536278,-0.0806442105051801,"cosine","transient loss of benefit",0,"none",0.35,"strong",FALSE
9,8,0.599786,0.139498921281924,0.203723494713114,-0.0642245734311905,-0.0649021801378964,-0.0635469667244845,"cosine","transient loss of benefit",0,"none",0.35,"strong",FALSE
9,10,0.535065,0.150558343378842,0.204358348985637,-0.0538000056067954,-0.0545392037972244,-0.0530608074163665,"cosine","transient loss of benefit",0,"none",0.35,"strong",FALSE
9,12,0.4790785,0.151190253789306,0.205131309378317,-0.053941055589011,-0.0547245456871703,-0.0531575654908517,"cosine","transient loss of benefit",0,"none",0.35,"strong",FALSE
9,14,0.4299345,0.1392851701829,0.204718393150585,-0.0654332229676846,-0.0663208124247103,-0.0645456335106589,"cosine","transient loss of benefit",0,"none",0.35,"strong",FALSE
9,16,0.386363,0.120799610728771,0.202796334017491,-0.0819967232887207,-0.0827930052825591,-0.0812004412948823,"cosine","transient loss of benefit",0,"none",0.35,"strong",FALSE
9,18,0.3475085,0.10264209364663,0.200321718749326,-0.0976796251026953,-0.09889629688111,-0.0964629533242807,"cosine","transient loss of benefit",0,"none",0.35,"strong",FALSE
