"scenario","mortality_key","death_effect_key","outcome_effect_key","q_key","beta_DA","gamma","beta_YA","beta_YAC","horizon","total_risk_1","total_risk_0","net_risk_1","net_risk_0","total_rd","net_rd","displacement","absolute_displacement","total_rd_mcse","net_rd_mcse","displacement_mcse","displacement_ci_low","displacement_ci_high","absolute_displacement_ci_low","absolute_displacement_ci_high","direction_class","displacement_class","truth_batches","truth_n","truth_mcse_max","truth_elapsed_sec"
9,"high","protective","null","none",-0.510826,0,0,0,60,0.24572545965061,0.211449350771267,0.32760160390572,0.32760160390572,0.0342761088793437,0,-0.0342761088793437,0.0342761088793437,1.77284088275678e-05,0,1.77284088275678e-05,-0.0343110685311504,-0.034241149227537,0.034241149227537,0.0343110685311504,"zero-versus-nonzero","material",200,2000000,1.77284088275678e-05,15.596
10,"low","harmful","heterogeneous_protective","none",0.510826,0,-0.510826,0.405465,12,0.0349913889650905,0.0449144434077431,0.0355658808023546,0.0453240698776696,-0.00992305444265257,-0.00975818907531505,0.000164865367337522,0.000164865367337522,3.56814380648782e-06,3.60562702113323e-06,2.50554960178739e-07,0.000164371283844102,0.000165359450830941,0.000164371283844102,0.000165359450830941,"concordant-direction","not-material",200,2000000,3.60562702113323e-06,17.422
10,"low","harmful","heterogeneous_protective","none",0.510826,0,-0.510826,0.405465,36,0.12935072546276,0.167770248769365,0.13759209679272,0.173674105421568,-0.0384195233066052,-0.0360820086288483,0.00233751467775688,0.00233751467775688,1.29526085374561e-05,1.37226553767777e-05,3.05137619449562e-06,0.00233149749650117,0.00234353185901259,0.00233149749650117,0.00234353185901259,"concordant-direction","not-material",200,2000000,1.37226553767777e-05,17.422
10,"low","harmful","heterogeneous_protective","none",0.510826,0,-0.510826,0.405465,60,0.234360242196505,0.307009366001671,0.263049235104562,0.32760160390572,-0.0726491238051668,-0.064552368801158,0.00809675500400876,0.00809675500400876,2.25628390027258e-05,2.60682798658517e-05,8.97415042763969e-06,0.00807905836934388,0.00811445163867365,0.00807905836934388,0.00811445163867365,"concordant-direction","not-material",200,2000000,2.60682798658517e-05,17.422
11,"moderate","harmful","heterogeneous_protective","none",0.510826,0,-0.510826,0.405465,12,0.0335883501891787,0.0438877237856662,0.0355658808023546,0.0453240698776696,-0.0102993735964874,-0.00975818907531505,0.000541184521172394,0.000541184521172394,3.52007248647754e-06,3.60562702113323e-06,7.68234926898163e-07,0.000539669595280774,0.000542699447064013,0.000539669595280774,0.000542699447064013,"concordant-direction","not-material",200,2000000,3.60562702113323e-06,23.594
11,"moderate","harmful","heterogeneous_protective","none",0.510826,0,-0.510826,0.405465,36,0.111689570909004,0.153935884744118,0.13759209679272,0.173674105421568,-0.0422463138351142,-0.0360820086288483,0.00616430520626588,0.00616430520626588,1.21341244986805e-05,1.37226553767777e-05,6.97803286103304e-06,0.00615054482869956,0.0061780655838322,0.00615054482869956,0.0061780655838322,"concordant-direction","not-material",200,2000000,1.37226553767777e-05,23.594
11,"moderate","harmful","heterogeneous_protective","none",0.510826,0,-0.510826,0.405465,60,0.181721667841794,0.26313492376648,0.263049235104562,0.32760160390572,-0.0814132559246852,-0.064552368801158,0.0168608871235272,0.0168608871235272,1.89401226640815e-05,2.60682798658517e-05,1.65293134139116e-05,0.0168282920357686,0.0168934822112857,0.0168282920357686,0.0168934822112857,"concordant-direction","material",200,2000000,2.60682798658517e-05,23.594
12,"high","harmful","heterogeneous_protective","none",0.510826,0,-0.510826,0.405465,12,0.0314708002667809,0.0422652040593303,0.0355658808023546,0.0453240698776696,-0.0107944037925494,-0.00975818907531505,0.00103621471723434,0.00103621471723434,3.49022633177898e-06,3.60562702113323e-06,1.34902852603294e-06,0.00103355449160405,0.00103887494286464,0.00103355449160405,0.00103887494286464,"concordant-direction","not-material",200,2000000,3.60562702113323e-06,15.886
12,"high","harmful","heterogeneous_protective","none",0.510826,0,-0.510826,0.405465,36,0.0903835263093334,0.134789423366207,0.13759209679272,0.173674105421568,-0.0444058970568739,-0.0360820086288483,0.00832388842802553,0.00832388842802553,1.07401337411972e-05,1.37226553767777e-05,8.95180107399448e-06,0.00830623586531482,0.00834154099073623,0.00830623586531482,0.00834154099073623,"concordant-direction","not-material",200,2000000,1.37226553767777e-05,15.886
12,"high","harmful","heterogeneous_protective","none",0.510826,0,-0.510826,0.405465,60,0.130842975033881,0.211449350771267,0.263049235104562,0.32760160390572,-0.0806063757373852,-0.064552368801158,0.0160540069362272,0.0160540069362272,1.44199993232538e-05,2.60682798658517e-05,1.79798893945339e-05,0.0160185513756707,0.0160894624967836,0.0160185513756707,0.0160894624967836,"concordant-direction","material",200,2000000,2.60682798658517e-05,15.886
