"formal_scenario","pair_id","method","own_target","psi","mapped_equal","exact_change","functional_discrepancy"
3,2,"validation-200",-0.06,-0.06,-0.06,0,0
3,2,"site-exclusion-200",NA,-0.06,-0.06,0,NA
3,3,"historical-fixed",-0.06,-0.06,-0.06,0,6.93889390390723e-18
3,3,"historical-dl",-0.06,-0.06,-0.06,0,6.93889390390723e-18
3,3,"historical-q-gate",-0.06,-0.06,-0.06,0,6.93889390390723e-18
3,3,"commonq-fixed",-0.06,-0.06,-0.06,0,0
3,3,"pm-hk",-0.06,-0.06,-0.06,0,0
3,3,"equalq",-0.06,-0.06,-0.06,0,0
3,3,"aggregate-gate",-0.06,-0.06,-0.06,0,0
3,3,"validation-50",-0.06,-0.06,-0.06,0,0
3,3,"validation-100",-0.06,-0.06,-0.06,0,0
3,3,"validation-200",-0.06,-0.06,-0.06,0,0
3,3,"site-exclusion-200",NA,-0.06,-0.06,0,NA
4,1,"historical-fixed",-0.06,-0.06,-0.06,6.93889390390723e-18,0
4,1,"historical-dl",-0.06,-0.06,-0.06,6.93889390390723e-18,0
4,1,"historical-q-gate",-0.06,-0.06,-0.06,6.93889390390723e-18,0
4,1,"commonq-fixed",-0.06,-0.06,-0.06,6.93889390390723e-18,1.38777878078145e-17
4,1,"pm-hk",-0.06,-0.06,-0.06,6.93889390390723e-18,1.38777878078145e-17
4,1,"equalq",-0.06,-0.06,-0.06,6.93889390390723e-18,6.93889390390723e-18
4,1,"aggregate-gate",-0.06,-0.06,-0.06,6.93889390390723e-18,6.93889390390723e-18
4,1,"validation-50",-0.06,-0.06,-0.06,6.93889390390723e-18,6.93889390390723e-18
4,1,"validation-100",-0.06,-0.06,-0.06,6.93889390390723e-18,6.93889390390723e-18
4,1,"validation-200",-0.06,-0.06,-0.06,6.93889390390723e-18,6.93889390390723e-18
4,1,"site-exclusion-200",NA,-0.06,-0.06,6.93889390390723e-18,NA
4,2,"historical-fixed",-0.06,-0.06,-0.06,-6.93889390390723e-18,0
4,2,"historical-dl",-0.06,-0.06,-0.06,-6.93889390390723e-18,0
4,2,"historical-q-gate",-0.06,-0.06,-0.06,-6.93889390390723e-18,0
4,2,"commonq-fixed",-0.06,-0.06,-0.06,-6.93889390390723e-18,0
4,2,"pm-hk",-0.06,-0.06,-0.06,-6.93889390390723e-18,0
4,2,"equalq",-0.06,-0.06,-0.06,-6.93889390390723e-18,-6.93889390390723e-18
4,2,"aggregate-gate",-0.06,-0.06,-0.06,-6.93889390390723e-18,-6.93889390390723e-18
4,2,"validation-50",-0.06,-0.06,-0.06,-6.93889390390723e-18,-6.93889390390723e-18
4,2,"validation-100",-0.06,-0.06,-0.06,-6.93889390390723e-18,-6.93889390390723e-18
4,2,"validation-200",-0.06,-0.06,-0.06,-6.93889390390723e-18,-6.93889390390723e-18
4,2,"site-exclusion-200",NA,-0.06,-0.06,-6.93889390390723e-18,NA
4,3,"historical-fixed",-0.06,-0.06,-0.06,0,6.93889390390723e-18
4,3,"historical-dl",-0.06,-0.06,-0.06,0,6.93889390390723e-18
4,3,"historical-q-gate",-0.06,-0.06,-0.06,0,6.93889390390723e-18
4,3,"commonq-fixed",-0.06,-0.06,-0.06,0,6.93889390390723e-18
4,3,"pm-hk",-0.06,-0.06,-0.06,0,6.93889390390723e-18
4,3,"equalq",-0.06,-0.06,-0.06,0,0
4,3,"aggregate-gate",-0.06,-0.06,-0.06,0,0
4,3,"validation-50",-0.06,-0.06,-0.06,0,0
4,3,"validation-100",-0.06,-0.06,-0.06,0,0
4,3,"validation-200",-0.06,-0.06,-0.06,0,0
4,3,"site-exclusion-200",NA,-0.06,-0.06,0,NA
5,1,"historical-fixed",-0.06,-0.06,-0.06,6.93889390390723e-18,0
5,1,"historical-dl",-0.06,-0.06,-0.06,6.93889390390723e-18,0
5,1,"historical-q-gate",-0.06,-0.06,-0.06,6.93889390390723e-18,0
5,1,"commonq-fixed",-0.06,-0.06,-0.06,6.93889390390723e-18,6.93889390390723e-18
5,1,"pm-hk",-0.06,-0.06,-0.06,6.93889390390723e-18,6.93889390390723e-18
5,1,"equalq",-0.06,-0.06,-0.06,6.93889390390723e-18,6.93889390390723e-18
5,1,"aggregate-gate",-0.06,-0.06,-0.06,6.93889390390723e-18,6.93889390390723e-18
5,1,"validation-50",-0.06,-0.06,-0.06,6.93889390390723e-18,6.93889390390723e-18
5,1,"validation-100",-0.06,-0.06,-0.06,6.93889390390723e-18,6.93889390390723e-18
5,1,"validation-200",-0.06,-0.06,-0.06,6.93889390390723e-18,6.93889390390723e-18
5,1,"site-exclusion-200",NA,-0.06,-0.06,6.93889390390723e-18,NA
5,2,"historical-fixed",-0.06,-0.06,-0.06,0,-6.93889390390723e-18
5,2,"historical-dl",-0.06,-0.06,-0.06,0,-6.93889390390723e-18
5,2,"historical-q-gate",-0.06,-0.06,-0.06,0,-6.93889390390723e-18
5,2,"commonq-fixed",-0.06,-0.06,-0.06,0,0
5,2,"pm-hk",-0.06,-0.06,-0.06,0,0
5,2,"equalq",-0.06,-0.06,-0.06,0,0
5,2,"aggregate-gate",-0.06,-0.06,-0.06,0,0
5,2,"validation-50",-0.06,-0.06,-0.06,0,0
5,2,"validation-100",-0.06,-0.06,-0.06,0,0
5,2,"validation-200",-0.06,-0.06,-0.06,0,0
5,2,"site-exclusion-200",NA,-0.06,-0.06,0,NA
5,3,"historical-fixed",-0.06,-0.06,-0.06,6.93889390390723e-18,0
5,3,"historical-dl",-0.06,-0.06,-0.06,6.93889390390723e-18,0
5,3,"historical-q-gate",-0.06,-0.06,-0.06,6.93889390390723e-18,0
5,3,"commonq-fixed",-0.06,-0.06,-0.06,6.93889390390723e-18,0
5,3,"pm-hk",-0.06,-0.06,-0.06,6.93889390390723e-18,0
5,3,"equalq",-0.06,-0.06,-0.06,6.93889390390723e-18,6.93889390390723e-18
5,3,"aggregate-gate",-0.06,-0.06,-0.06,6.93889390390723e-18,6.93889390390723e-18
5,3,"validation-50",-0.06,-0.06,-0.06,6.93889390390723e-18,6.93889390390723e-18
5,3,"validation-100",-0.06,-0.06,-0.06,6.93889390390723e-18,6.93889390390723e-18
5,3,"validation-200",-0.06,-0.06,-0.06,6.93889390390723e-18,6.93889390390723e-18
5,3,"site-exclusion-200",NA,-0.06,-0.06,6.93889390390723e-18,NA
6,1,"historical-fixed",-0.06,-0.06,-0.06,0,6.93889390390723e-18
6,1,"historical-dl",-0.06,-0.06,-0.06,0,6.93889390390723e-18
6,1,"historical-q-gate",-0.06,-0.06,-0.06,0,6.93889390390723e-18
6,1,"commonq-fixed",-0.06,-0.06,-0.06,0,0
6,1,"pm-hk",-0.06,-0.06,-0.06,0,0
6,1,"equalq",-0.06,-0.06,-0.06,0,0
6,1,"aggregate-gate",-0.06,-0.06,-0.06,0,0
6,1,"validation-50",-0.06,-0.06,-0.06,0,0
6,1,"validation-100",-0.06,-0.06,-0.06,0,0
6,1,"validation-200",-0.06,-0.06,-0.06,0,0
6,1,"site-exclusion-200",NA,-0.06,-0.06,0,NA
6,2,"historical-fixed",-0.06,-0.06,-0.06,0,6.93889390390723e-18
6,2,"historical-dl",-0.06,-0.06,-0.06,0,6.93889390390723e-18
6,2,"historical-q-gate",-0.06,-0.06,-0.06,0,6.93889390390723e-18
6,2,"commonq-fixed",-0.06,-0.06,-0.06,0,0
6,2,"pm-hk",-0.06,-0.06,-0.06,0,0
6,2,"equalq",-0.06,-0.06,-0.06,0,0
6,2,"aggregate-gate",-0.06,-0.06,-0.06,0,0
6,2,"validation-50",-0.06,-0.06,-0.06,0,0
6,2,"validation-100",-0.06,-0.06,-0.06,0,0
6,2,"validation-200",-0.06,-0.06,-0.06,0,0
6,2,"site-exclusion-200",NA,-0.06,-0.06,0,NA
6,3,"historical-fixed",-0.06,-0.06,-0.06,0,6.93889390390723e-18
6,3,"historical-dl",-0.06,-0.06,-0.06,0,6.93889390390723e-18
6,3,"historical-q-gate",-0.06,-0.06,-0.06,0,6.93889390390723e-18
6,3,"commonq-fixed",-0.06,-0.06,-0.06,0,0
6,3,"pm-hk",-0.06,-0.06,-0.06,0,0
6,3,"equalq",-0.06,-0.06,-0.06,0,0
6,3,"aggregate-gate",-0.06,-0.06,-0.06,0,0
