"formal_scenario","pair_id","site","theta_local","v_local","theta_q","v_q","intended_theta_q"
10,2,5,-0.0594827979802852,0.000281048677997834,-0.0585630784463202,0.000271370364884494,-0.0735630784463202
10,2,6,-0.0751386541727494,0.000336821665855452,-0.0735630784463202,0.000326350852900657,-0.0735630784463202
10,3,1,-0.0721657413076382,0.000273473120819725,-0.0735630784463202,0.000328155122439131,-0.0735630784463202
10,3,2,-0.0726878585366693,0.000273719915594102,-0.0735630784463202,0.000300342066404095,-0.0735630784463202
10,3,3,-0.0582509459324211,0.000250226848614359,-0.0585630784463202,0.000256826789750101,-0.0735630784463202
10,3,4,-0.0588511460862493,0.000262308127334156,-0.0585630784463202,0.000258235043773476,-0.0735630784463202
10,3,5,-0.0744827979802852,0.000310101545002903,-0.0735630784463202,0.000299256928985103,-0.0735630784463202
10,3,6,-0.0751386541727494,0.000336821665855452,-0.0735630784463202,0.000326350852900657,-0.0735630784463202
11,1,1,-0.0421657413076382,0.00039602550799507,-0.0435630784463202,0.000448473358304505,-0.0735630784463202
11,1,2,-0.0726878585366693,0.000273719915594102,-0.0735630784463202,0.000300342066404095,-0.0735630784463202
11,1,3,-0.0732509459324211,0.000279486503081847,-0.0735630784463202,0.000287044849154349,-0.0735630784463202
11,1,4,-0.0738511460862493,0.000291345895067874,-0.0735630784463202,0.000286683714587165,-0.0735630784463202
11,1,5,-0.0744827979802852,0.000310101545002903,-0.0735630784463202,0.000299256928985103,-0.0735630784463202
11,1,6,-0.0451386541727494,0.000420703958991255,-0.0435630784463202,0.000426292356702286,-0.0735630784463202
11,2,1,-0.0721657413076382,0.000273473120819725,-0.0735630784463202,0.000328155122439131,-0.0735630784463202
11,2,2,-0.0426878585366693,0.000384024186161107,-0.0435630784463202,0.000407283677519267,-0.0735630784463202
11,2,3,-0.0732509459324211,0.000279486503081847,-0.0735630784463202,0.000287044849154349,-0.0735630784463202
11,2,4,-0.0738511460862493,0.000291345895067874,-0.0735630784463202,0.000286683714587165,-0.0735630784463202
11,2,5,-0.0444827979802852,0.000397779352200884,-0.0435630784463202,0.000394934559432807,-0.0735630784463202
11,2,6,-0.0751386541727494,0.000336821665855452,-0.0735630784463202,0.000326350852900657,-0.0735630784463202
11,3,1,-0.0721657413076382,0.000273473120819725,-0.0735630784463202,0.000328155122439131,-0.0735630784463202
11,3,2,-0.0726878585366693,0.000273719915594102,-0.0735630784463202,0.000300342066404095,-0.0735630784463202
11,3,3,-0.0432509459324211,0.0003801201408484,-0.0435630784463202,0.000385993926506544,-0.0735630784463202
11,3,4,-0.0438511460862493,0.000384532231054325,-0.0435630784463202,0.000382029686431592,-0.0735630784463202
11,3,5,-0.0744827979802852,0.000310101545002903,-0.0735630784463202,0.000299256928985103,-0.0735630784463202
11,3,6,-0.0751386541727494,0.000336821665855452,-0.0735630784463202,0.000326350852900657,-0.0735630784463202
12,1,1,-0.0721657413076382,0.000273473120819725,-0.0735630784463202,0.000328155122439131,-0.0735630784463202
12,1,2,-0.0726878585366693,0.000273719915594102,-0.0735630784463202,0.000300342066404095,-0.0735630784463202
