"scenario","separation_key","s","gamma_z_key","gamma_z","shape","I_G","I_C","I_Q","label","n","columns","rank","zero_variance","duplicate","ok"
2,"poor",1.25,"absent",0,"all-main",0,0,0,"C2_t0",20000,10,10,FALSE,FALSE,TRUE
2,"poor",1.25,"absent",0,"all-main",0,0,0,"C2_t1",18439,10,10,FALSE,FALSE,TRUE
2,"poor",1.25,"absent",0,"all-main",0,0,0,"C2_t2",16755,10,10,FALSE,FALSE,TRUE
2,"poor",1.25,"absent",0,"all-main",0,0,0,"QL0_a0_t0",7924,4,4,FALSE,FALSE,TRUE
2,"poor",1.25,"absent",0,"all-main",0,0,0,"QL0_a0_t1",7315,6,6,FALSE,FALSE,TRUE
2,"poor",1.25,"absent",0,"all-main",0,0,0,"QL0_a0_t2",6012,8,8,FALSE,FALSE,TRUE
2,"poor",1.25,"absent",0,"all-main",0,0,0,"QL0_a1_t0",10515,4,4,FALSE,FALSE,TRUE
2,"poor",1.25,"absent",0,"all-main",0,0,0,"QL0_a1_t1",9440,6,6,FALSE,FALSE,TRUE
2,"poor",1.25,"absent",0,"all-main",0,0,0,"QL0_a1_t2",8855,8,8,FALSE,FALSE,TRUE
2,"poor",1.25,"absent",0,"all-main",0,0,0,"QL1_a0_t0",7924,5,5,FALSE,FALSE,TRUE
2,"poor",1.25,"absent",0,"all-main",0,0,0,"QL1_a0_t1",7315,8,8,FALSE,FALSE,TRUE
2,"poor",1.25,"absent",0,"all-main",0,0,0,"QL1_a0_t2",6012,11,11,FALSE,FALSE,TRUE
2,"poor",1.25,"absent",0,"all-main",0,0,0,"QL1_a1_t0",10515,5,5,FALSE,FALSE,TRUE
2,"poor",1.25,"absent",0,"all-main",0,0,0,"QL1_a1_t1",9440,8,8,FALSE,FALSE,TRUE
2,"poor",1.25,"absent",0,"all-main",0,0,0,"QL1_a1_t2",8855,11,11,FALSE,FALSE,TRUE
2,"poor",1.25,"absent",0,"all-main",0,0,0,"QL2_a0_t0",7924,8,8,FALSE,FALSE,TRUE
2,"poor",1.25,"absent",0,"all-main",0,0,0,"QL2_a0_t1",7315,17,17,FALSE,FALSE,TRUE
2,"poor",1.25,"absent",0,"all-main",0,0,0,"QL2_a0_t2",6012,29,29,FALSE,FALSE,TRUE
2,"poor",1.25,"absent",0,"all-main",0,0,0,"QL2_a1_t0",10515,8,8,FALSE,FALSE,TRUE
2,"poor",1.25,"absent",0,"all-main",0,0,0,"QL2_a1_t1",9440,17,17,FALSE,FALSE,TRUE
2,"poor",1.25,"absent",0,"all-main",0,0,0,"QL2_a1_t2",8855,29,29,FALSE,FALSE,TRUE
2,"poor",1.25,"absent",0,"all-main",0,0,0,"QL3_a0_t0",7924,10,10,FALSE,FALSE,TRUE
2,"poor",1.25,"absent",0,"all-main",0,0,0,"QL3_a0_t1",7315,13,13,FALSE,FALSE,TRUE
2,"poor",1.25,"absent",0,"all-main",0,0,0,"QL3_a0_t2",6012,13,13,FALSE,FALSE,TRUE
2,"poor",1.25,"absent",0,"all-main",0,0,0,"QL3_a1_t0",10515,10,10,FALSE,FALSE,TRUE
2,"poor",1.25,"absent",0,"all-main",0,0,0,"QL3_a1_t1",9440,13,13,FALSE,FALSE,TRUE
2,"poor",1.25,"absent",0,"all-main",0,0,0,"QL3_a1_t2",8855,13,13,FALSE,FALSE,TRUE
3,"good",0.65,"moderate",0.751416088683921,"all-main",0,0,0,"G0_t0",20000,4,4,FALSE,FALSE,TRUE
3,"good",0.65,"moderate",0.751416088683921,"all-main",0,0,0,"G0_t1",18360,5,5,FALSE,FALSE,TRUE
3,"good",0.65,"moderate",0.751416088683921,"all-main",0,0,0,"G0_t2",16618,5,5,FALSE,FALSE,TRUE
3,"good",0.65,"moderate",0.751416088683921,"all-main",0,0,0,"G1_t0",20000,5,5,FALSE,FALSE,TRUE
3,"good",0.65,"moderate",0.751416088683921,"all-main",0,0,0,"G1_t1",18360,6,6,FALSE,FALSE,TRUE
3,"good",0.65,"moderate",0.751416088683921,"all-main",0,0,0,"G1_t2",16618,6,6,FALSE,FALSE,TRUE
3,"good",0.65,"moderate",0.751416088683921,"all-main",0,0,0,"G2_t0",20000,7,7,FALSE,FALSE,TRUE
3,"good",0.65,"moderate",0.751416088683921,"all-main",0,0,0,"G2_t1",18360,8,8,FALSE,FALSE,TRUE
3,"good",0.65,"moderate",0.751416088683921,"all-main",0,0,0,"G2_t2",16618,8,8,FALSE,FALSE,TRUE
3,"good",0.65,"moderate",0.751416088683921,"all-main",0,0,0,"G3_t0",20000,6,6,FALSE,FALSE,TRUE
3,"good",0.65,"moderate",0.751416088683921,"all-main",0,0,0,"G3_t1",18360,7,7,FALSE,FALSE,TRUE
3,"good",0.65,"moderate",0.751416088683921,"all-main",0,0,0,"G3_t2",16618,7,7,FALSE,FALSE,TRUE
3,"good",0.65,"moderate",0.751416088683921,"all-main",0,0,0,"G4_t0",20000,11,11,FALSE,FALSE,TRUE
3,"good",0.65,"moderate",0.751416088683921,"all-main",0,0,0,"G4_t1",18360,12,12,FALSE,FALSE,TRUE
3,"good",0.65,"moderate",0.751416088683921,"all-main",0,0,0,"G4_t2",16618,12,12,FALSE,FALSE,TRUE
3,"good",0.65,"moderate",0.751416088683921,"all-main",0,0,0,"C0_t0",20000,5,5,FALSE,FALSE,TRUE
3,"good",0.65,"moderate",0.751416088683921,"all-main",0,0,0,"C0_t1",18360,5,5,FALSE,FALSE,TRUE
