"scenario","separation_key","s","gamma_z_key","gamma_z","shape","I_G","I_C","I_Q","treat_prev_t0","pA_t0_q1","pA_t0_q2","pA_t0_q3","pA_t0_q4","pA_t0_q5","pR_t0_q1","pR_t0_q2","pR_t0_q3","pR_t0_q4","pR_t0_q5","treat_prev_t1","pA_t1_q1","pA_t1_q2","pA_t1_q3","pA_t1_q4","pA_t1_q5","pR_t1_q1","pR_t1_q2","pR_t1_q3","pR_t1_q4","pR_t1_q5","treat_prev_t2","pA_t2_q1","pA_t2_q2","pA_t2_q3","pA_t2_q4","pA_t2_q5","pR_t2_q1","pR_t2_q2","pR_t2_q3","pR_t2_q4","pR_t2_q5","retention_12","retention_24","retention_36","true_ess_a0","true_ess_a1"
11,"good",0.65,"strong",1.49962304642689,"nonlinear-treatment",1,0,0,0.52814,0.00764384029508209,0.0247320810132084,0.536851593257417,0.993290902203858,0.999279995640032,0.668009587956039,0.758325651291436,0.932065227369459,0.984144986810239,0.99018382293168,0.540678039722442,0.00871031150502159,0.0282860810514433,0.552831689228713,0.993337370997825,0.999303605507006,0.621531103984521,0.718905090706097,0.920381377128248,0.982802688799783,0.989543498985691,0.5718307328322,0.0101620076139691,0.0336519060453241,0.601548459968293,0.99525377422468,0.999602947679812,0.558669101118983,0.669826273644205,0.901960575386123,0.978755291386756,0.987085082387931,0.92089,0.834775,0.73915,35.6137896850926,1361.0036366504
12,"poor",1.25,"strong",1.49962304642689,"nonlinear-treatment",1,0,0,0.556515,0.00543356242205843,0.0189613022834417,0.576079041596028,0.999760474130998,0.99999656884541,0.66913962796334,0.760537317917403,0.932021429963809,0.984153337824564,0.990228470188947,0.556036096655687,0.00625277548038677,0.0207354060907703,0.571359030360009,0.999703307029012,0.999995751264446,0.621955674832381,0.722740190054663,0.920099457714793,0.982832268499088,0.989874468098908,0.59177843123192,0.00659322156915818,0.0241148418840041,0.628703055972489,0.999832353369544,0.999998292016626,0.563503538910107,0.675066581516763,0.901512033878246,0.978401106247241,0.987715787504493,0.921415,0.83658,0.741785,63.9559427917463,2082.19537467453
13,"good",0.65,"absent",0,"nonlinear-censoring",0,1,0,0.531195,0.124801089661373,0.187524819253447,0.533014846626115,0.855935670057265,0.90751618662169,0.163921675003487,0.502972036581854,0.947465781681939,0.988121893423663,0.99306390776582,0.536449360036958,0.123629169837831,0.188966329263421,0.540534215289604,0.860960066852519,0.911136712795955,0.0949426804695924,0.391663494338957,0.937040996214086,0.985644774716089,0.991652731356507,0.575831408220233,0.145816539556676,0.218930179567353,0.585290477373383,0.88238568039697,0.924066915328835,0.0579413811272574,0.284251221624106,0.922390060068158,0.982616670784409,0.989989554791507,0.919975,0.83112,0.729645,1848.82332532989,11737.0193085132
14,"poor",1.25,"absent",0,"nonlinear-censoring",0,1,0,0.58102,0.0273052088183785,0.0672405458996715,0.608336063908106,0.974079667620393,0.989591054469652,0.162533016615993,0.505131145542894,0.947905107932262,0.987822136140494,0.99302539314288,0.56201375730891,0.0263481311242341,0.0639882417313157,0.582156520912063,0.969240263074148,0.988054669206567,0.120524105994471,0.431741757646931,0.937587943427446,0.985250002280627,0.991457061887133,0.605187354401346,0.0337686842410553,0.0814247463679762,0.635866538858493,0.975309718858899,0.990558449406513,0.0721658283825744,0.315093509703142,0.923370459655127,0.982015766928537,0.989661530197148,0.920965,0.834915,0.73667,85.7662493162297,1593.01945006693
15,"good",0.65,"moderate",0.751416088683921,"nonlinear-censoring",0,1,0,0.529205,0.0448459758258008,0.0946816932530111,0.533711370810181,0.926156792421177,0.963119535982773,0.165682097915962,0.499538609947174,0.947335967642902,0.988275145213968,0.99358308805879,0.535127340008707,0.0493797381640601,0.100122318769672,0.540404928150241,0.927608165016994,0.964604486216229,0.0926076536687792,0.376986001323102,0.937006401554141,0.985814024806575,0.99212863699654,0.571742198525953,0.0579449661958124,0.118031518200987,0.585221940178504,0.938825071183773,0.970700486653027,0.0575128092706822,0.276249096813324,0.92248882789004,0.982752425474743,0.99035067361569,0.9188,0.82901,0.72777,113.784550883605,4615.4371617553
16,"poor",1.25,"moderate",0.751416088683921,"nonlinear-censoring",0,1,0,0.57861,0.0148373035074874,0.042618269867687,0.609005791517976,0.983269112983448,0.994601795038584,0.174181275817751,0.503381666794686,0.947932214406175,0.987948251977413,0.993144476840406,0.558569372403118,0.0146819696092983,0.0419891966244645,0.582487499937432,0.980051458606828,0.993462555937821,0.101764887562742,0.413946874186999,0.937580211190114,0.985279148283617,0.991616906150202,0.597623303859582,0.0187537724701003,0.0534439771359237,0.638679797048225,0.983783313250483,0.994639816134789,0.0684961010050896,0.302339284310082,0.923083428767943,0.982124428203679,0.989903887151982,0.920575,0.83351,0.734595,160.972107149529,654.794570974499
17,"good",0.65,"strong",1.49962304642689,"nonlinear-censoring",0,1,0,0.52352,0.007296363929294,0.0239219435708552,0.534929442447478,0.981838847551659,0.994780216126711,0.155191824283388,0.494320205701991,0.947341774424795,0.988338389656776,0.993304166382755,0.528057147206245,0.00773824473726547,0.0257646250107085,0.541745600120905,0.980789379001496,0.994497260102708,0.0880894840848912,0.380015459680611,0.93694227845044,0.98588194246453,0.991964871539543,0.560962963409561,0.00965101780418135,0.0318109676132423,0.588562830519068,0.984073527769345,0.99546758174313,0.0535506751814332,0.271427130785589,0.922378299776706,0.982944786650396,0.990187072041787,0.91973,0.829315,0.727925,133.719982992475,734.84890454324
18,"poor",1.25,"strong",1.49962304642689,"nonlinear-censoring",0,1,0,0.56846,0.00294445814634573,0.0142459835070022,0.609850690986498,0.99444639723707,0.998769264343559,0.170754260863815,0.504546041758153,0.947715660216341,0.98805344458858,0.993274158412412,0.554376830812541,0.00345692464913521,0.0146301157577832,0.583092336900098,0.992869444358722,0.99846204164933,0.106862085781116,0.412306306761464,0.937499475904766,0.985572682990877,0.991877762837601,0.586765889461482,0.0044222070437716,0.0194557655117612,0.636121410148354,0.994204631912516,0.998754504673015,0.067120306809745,0.302211404093069,0.922828503599336,0.982523949668532,0.990124350969384,0.920015,0.83247,0.733645,194.293752774817,653.207865876787
19,"good",0.65,"absent",0,"nonlinear-outcome",0,0,1,0.53082,0.124844089235685,0.187237381833533,0.533601139040962,0.854372949813671,0.90570807939413,0.662104699537112,0.754488614051946,0.932365647948137,0.983396233499632,0.989369378830267,0.538390389344708,0.119593966713898,0.187365353499353,0.541503466541387,0.863007518420273,0.914820004792699,0.606233669581362,0.712042005805369,0.921072409203996,0.981134965789304,0.988226920750433,0.578960940826522,0.144768342308465,0.217589372337156,0.586622850414582,0.883409843223664,0.926150248264028,0.554585523055786,0.663926287817973,0.903111888238392,0.976362281313556,0.984734821715597,0.91898,0.833735,0.74037,1978.17513050701,11427.7837697984
20,"poor",1.25,"absent",0,"nonlinear-outcome",0,0,1,0.580835,0.0282218984914051,0.0668064621949569,0.60833212288367,0.973606864572184,0.990189547198372,0.657592045557008,0.757751117514359,0.933071753746427,0.983128627469458,0.988986035471455,0.564109101561229,0.0259077585480047,0.0632815549735368,0.582809639309733,0.970172533959388,0.988427918567067,0.619050148430862,0.721378544018897,0.922024598391846,0.980482117274903,0.987556650523393,0.605451319821515,0.0324546767715111,0.0799590869469449,0.638548383623812,0.975617599930006,0.990437919227437,0.562493418520883,0.673711121594303,0.904032348129424,0.975211432542486,0.98417469979261,0.92171,0.837045,0.744215,770.163445965126,2267.42561757338
21,"good",0.65,"moderate",0.751416088683921,"nonlinear-outcome",0,0,1,0.527745,0.0466222460133347,0.095178340888111,0.535193654059611,0.926799839053408,0.964815938193191,0.657708161735548,0.7533022645002,0.932339278557633,0.983408311302353,0.989182022127426,0.536584039713135,0.0482639413300827,0.0998525241987614,0.543552964779651,0.92808300050484,0.964731396012987,0.605503817930504,0.709966449931552,0.920863491266566,0.981465487082506,0.98801915418851,0.574509721530233,0.0595073264579602,0.119031543277822,0.588699518018937,0.939463749130799,0.970479016836899,0.545817097841679,0.65996864909383,0.902764178261193,0.976623462597281,0.98504699535525,0.919595,0.832945,0.73793,1378.22035973211,4615.63518244649
22,"poor",1.25,"moderate",0.751416088683921,"nonlinear-outcome",0,0,1,0.577735,0.0146449131600838,0.0420430017479225,0.609482763260894,0.982986980674227,0.994587235278951,0.663353548984211,0.758379620355379,0.932855434493407,0.982995901356045,0.989073884120262,0.560353820742415,0.0152169534199436,0.042145642998861,0.58476299617677,0.980453161672214,0.993402188992823,0.616770393162228,0.720335572452308,0.921846890783858,0.980353309119387,0.987597541769641,0.601642071499527,0.0181717754305253,0.053529395774477,0.641852618113677,0.983838989156574,0.995031247059546,0.567473513976171,0.671565921955391,0.903573277658183,0.975215274246652,0.98398886649975,0.92024,0.83553,0.742575,99.9037667044973,1036.77298252391
23,"good",0.65,"strong",1.49962304642689,"nonlinear-outcome",0,0,1,0.52208,0.00695372594954974,0.0236662641476681,0.534008970030852,0.982243519911312,0.994850723024885,0.658968270646957,0.752378982045828,0.932284037021536,0.983669224364925,0.989479173083238,0.529825782835013,0.00786074307201863,0.0270198557785451,0.544424612883997,0.981461858238532,0.994643237490549,0.60197740212811,0.708282495995131,0.920732936839775,0.981703177197826,0.988015503587413,0.561703685477144,0.00961634380031715,0.0321675920620015,0.590476996308491,0.984138066749126,0.995637097414668,0.544780620737292,0.656049069312754,0.902353839667443,0.977054432446844,0.985506145678364,0.919255,0.833135,0.738685,330.581402796698,2497.07869665412
24,"poor",1.25,"strong",1.49962304642689,"nonlinear-outcome",0,0,1,0.567115,0.00317921020304623,0.0135372389665472,0.609209329827938,0.994409414915728,0.998808009662953,0.666104841519959,0.757805527747745,0.932778505939436,0.983257065076949,0.989011164660041,0.553167783556983,0.00328613153972332,0.0143982946027252,0.586049892718052,0.993182807417625,0.998670163512487,0.612690499269335,0.718375268409971,0.921633016866694,0.980747229597303,0.987763338952112,0.589586312961157,0.00413417414857505,0.0190623141341239,0.64206100594006,0.99436324004791,0.998858558386191,0.560960246021545,0.67048370444887,0.90358108981572,0.975748467459751,0.984666999318569,0.919965,0.835535,0.74246,42.039690129291,1184.24315465956
