"scenario","n","event_target","K","effect","candidate","coverage","coverage_mcse","failure_probability","failure_mcse","truth_mcse","truth_draws","n_attempted","pass"
34,8000,70,16,"heterogeneous","c45-h60",0.946,0.00505390937789747,0,0,2.72474610967974e-06,2000000,2000,TRUE
35,4000,140,16,"heterogeneous","c45-h60",0.9425,0.00520546587732549,0,0,9.02978671163837e-06,2000000,2000,TRUE
36,8000,140,16,"heterogeneous","c45-h60",0.9555,0.00461084319837489,0,0,5.6804371668832e-06,2000000,2000,TRUE
7,4000,35,16,"null","c50-h24",0.9455,0.00507591124823908,0,0,0,2000000,2000,TRUE
8,8000,35,16,"null","c50-h24",0.945,0.00509779364038993,0,0,0,2000000,2000,TRUE
9,4000,70,16,"null","c50-h24",0.9385,0.00537204569973116,0,0,0,2000000,2000,TRUE
10,8000,70,16,"null","c50-h24",0.9505,0.0048502448391808,0,0,0,2000000,2000,TRUE
11,4000,140,16,"null","c50-h24",0.9515,0.00480352734977121,0,0,0,2000000,2000,TRUE
12,8000,140,16,"null","c50-h24",0.948,0.00496467521596328,0,0,0,2000000,2000,TRUE
19,4000,35,16,"homogeneous","c50-h24",0.9445,0.00511955808639769,0,0,1.09956379392652e-06,2000000,2000,TRUE
20,8000,35,16,"homogeneous","c50-h24",0.9445,0.00511955808639769,0,0,5.84141168446046e-07,2000000,2000,TRUE
21,4000,70,16,"homogeneous","c50-h24",0.9515,0.00480352734977121,0,0,2.5338024373554e-06,2000000,2000,TRUE
22,8000,70,16,"homogeneous","c50-h24",0.9445,0.00511955808639769,0,0,1.19726555846265e-06,2000000,2000,TRUE
23,4000,140,16,"homogeneous","c50-h24",0.9465,0.00503178646208283,0,0,4.45035985344016e-06,2000000,2000,TRUE
24,8000,140,16,"homogeneous","c50-h24",0.955,0.00463546114210873,0,0,2.38837008076605e-06,2000000,2000,TRUE
31,4000,35,16,"heterogeneous","c50-h24",0.9475,0.00498717104178311,0,0,1.30506435179576e-06,2000000,2000,TRUE
32,8000,35,16,"heterogeneous","c50-h24",0.9505,0.0048502448391808,0,0,6.36662269029626e-07,2000000,2000,TRUE
33,4000,70,16,"heterogeneous","c50-h24",0.944,0.00514120608417908,0,0,2.45704107690559e-06,2000000,2000,TRUE
34,8000,70,16,"heterogeneous","c50-h24",0.9415,0.0052477495176504,0,0,1.24765049433907e-06,2000000,2000,TRUE
35,4000,140,16,"heterogeneous","c50-h24",0.9445,0.00511955808639769,0,0,4.84341515406602e-06,2000000,2000,TRUE
36,8000,140,16,"heterogeneous","c50-h24",0.9515,0.00480352734977121,0,0,2.65089771254973e-06,2000000,2000,TRUE
1,4000,35,4,"null","c50-h36",0.954,0.00468422885862764,0,0,0,2000000,2000,TRUE
2,8000,35,4,"null","c50-h36",0.948,0.00496467521596328,0,0,0,2000000,2000,TRUE
3,4000,70,4,"null","c50-h36",0.9485,0.00494205169944629,0,0,0,2000000,2000,TRUE
4,8000,70,4,"null","c50-h36",0.9455,0.00507591124823908,0,0,0,2000000,2000,TRUE
5,4000,140,4,"null","c50-h36",0.9505,0.0048502448391808,0,0,0,2000000,2000,TRUE
6,8000,140,4,"null","c50-h36",0.9515,0.00480352734977121,0,0,0,2000000,2000,TRUE
7,4000,35,16,"null","c50-h36",0.9525,0.00475624589355933,0,0,0,2000000,2000,TRUE
8,8000,35,16,"null","c50-h36",0.9505,0.0048502448391808,0,0,0,2000000,2000,TRUE
9,4000,70,16,"null","c50-h36",0.9445,0.00511955808639769,0,0,0,2000000,2000,TRUE
10,8000,70,16,"null","c50-h36",0.9465,0.00503178646208283,0,0,0,2000000,2000,TRUE
11,4000,140,16,"null","c50-h36",0.952,0.00477995815881269,0,0,0,2000000,2000,TRUE
12,8000,140,16,"null","c50-h36",0.9515,0.00480352734977121,0,0,0,2000000,2000,TRUE
13,4000,35,4,"homogeneous","c50-h36",0.957,0.00453602248671675,0,0,1.62868624070182e-06,2000000,2000,TRUE
14,8000,35,4,"homogeneous","c50-h36",0.953,0.00473238840333293,0,0,8.70813703929353e-07,2000000,2000,TRUE
15,4000,70,4,"homogeneous","c50-h36",0.945,0.00509779364038993,0,0,3.70495750383095e-06,2000000,2000,TRUE
16,8000,70,4,"homogeneous","c50-h36",0.948,0.00496467521596328,0,0,1.77287224078018e-06,2000000,2000,TRUE
17,4000,140,4,"homogeneous","c50-h36",0.9505,0.0048502448391808,0,0,6.33502725812375e-06,2000000,2000,TRUE
18,8000,140,4,"homogeneous","c50-h36",0.9465,0.00503178646208283,0,0,3.49269900071119e-06,2000000,2000,TRUE
19,4000,35,16,"homogeneous","c50-h36",0.9565,0.00456112650559048,0,0,1.62868624070182e-06,2000000,2000,TRUE
20,8000,35,16,"homogeneous","c50-h36",0.948,0.00496467521596328,0,0,8.70813703929353e-07,2000000,2000,TRUE
21,4000,70,16,"homogeneous","c50-h36",0.948,0.00496467521596328,0,0,3.70495750383095e-06,2000000,2000,TRUE
22,8000,70,16,"homogeneous","c50-h36",0.939,0.00535158854920668,0,0,1.77287224078018e-06,2000000,2000,TRUE
23,4000,140,16,"homogeneous","c50-h36",0.9425,0.00520546587732549,0,0,6.33502725812375e-06,2000000,2000,TRUE
24,8000,140,16,"homogeneous","c50-h36",0.9485,0.00494205169944629,0,0,3.49269900071119e-06,2000000,2000,TRUE
25,4000,35,4,"heterogeneous","c50-h36",0.9535,0.00470838348055891,0,0,1.94002123250007e-06,2000000,2000,TRUE
26,8000,35,4,"heterogeneous","c50-h36",0.9385,0.00537204569973116,0,0,9.50539190703505e-07,2000000,2000,TRUE
27,4000,70,4,"heterogeneous","c50-h36",0.9565,0.00456112650559048,0,0,3.61987411591716e-06,2000000,2000,TRUE
28,8000,70,4,"heterogeneous","c50-h36",0.9575,0.00451075104611194,0,0,1.85493403613453e-06,2000000,2000,TRUE
29,4000,140,4,"heterogeneous","c50-h36",0.955,0.00463546114210873,0,0,7.00801621272637e-06,2000000,2000,TRUE
30,8000,140,4,"heterogeneous","c50-h36",0.954,0.00468422885862764,0,0,3.90785251971534e-06,2000000,2000,TRUE
31,4000,35,16,"heterogeneous","c50-h36",0.9505,0.0048502448391808,0,0,1.94002123250007e-06,2000000,2000,TRUE
32,8000,35,16,"heterogeneous","c50-h36",0.9435,0.00516273909857936,0,0,9.50539190703505e-07,2000000,2000,TRUE
33,4000,70,16,"heterogeneous","c50-h36",0.9505,0.0048502448391808,0,0,3.61987411591716e-06,2000000,2000,TRUE
34,8000,70,16,"heterogeneous","c50-h36",0.939,0.00535158854920668,0,0,1.85493403613453e-06,2000000,2000,TRUE
35,4000,140,16,"heterogeneous","c50-h36",0.9505,0.0048502448391808,0,0,7.00801621272637e-06,2000000,2000,TRUE
36,8000,140,16,"heterogeneous","c50-h36",0.9375,0.00541265877365274,0,0,3.90785251971534e-06,2000000,2000,TRUE
7,4000,35,16,"null","c50-h48",0.949,0.00491929873051028,0,0,0,2000000,2000,TRUE
8,8000,35,16,"null","c50-h48",0.9555,0.00461084319837489,0,0,0,2000000,2000,TRUE
9,4000,70,16,"null","c50-h48",0.9425,0.00520546587732549,0,0,0,2000000,2000,TRUE
10,8000,70,16,"null","c50-h48",0.9505,0.0048502448391808,0,0,0,2000000,2000,TRUE
11,4000,140,16,"null","c50-h48",0.9515,0.00480352734977121,0,0,0,2000000,2000,TRUE
12,8000,140,16,"null","c50-h48",0.9455,0.00507591124823908,0,0,0,2000000,2000,TRUE
19,4000,35,16,"homogeneous","c50-h48",0.9615,0.00430219420761081,0,0,2.1443994622512e-06,2000000,2000,TRUE
20,8000,35,16,"homogeneous","c50-h48",0.9505,0.0048502448391808,0,0,1.15393461193197e-06,2000000,2000,TRUE
21,4000,70,16,"homogeneous","c50-h48",0.9525,0.00475624589355933,0,0,4.81551077543054e-06,2000000,2000,TRUE
22,8000,70,16,"homogeneous","c50-h48",0.954,0.00468422885862764,0,0,2.33354725722114e-06,2000000,2000,TRUE
23,4000,140,16,"homogeneous","c50-h48",0.949,0.00491929873051028,0,0,8.01644091949242e-06,2000000,2000,TRUE
24,8000,140,16,"homogeneous","c50-h48",0.948,0.00496467521596328,0,0,4.54015564659812e-06,2000000,2000,TRUE
31,4000,35,16,"heterogeneous","c50-h48",0.955,0.00463546114210873,0,0,2.56359218215536e-06,2000000,2000,TRUE
32,8000,35,16,"heterogeneous","c50-h48",0.944,0.00514120608417908,0,0,1.26149119860618e-06,2000000,2000,TRUE
33,4000,70,16,"heterogeneous","c50-h48",0.949,0.00491929873051028,0,0,4.74130264003234e-06,2000000,2000,TRUE
