"candidate_1","candidate_2","correlation","scenario"
"c55-h36","c55-h24",0.822526473790064,7
"c55-h60","c55-h24",0.633595029947425,7
"c50-h36","c55-h24",0.745331884915227,7
"c50-h60","c55-h24",0.578733935801545,7
"c45-h36","c55-h24",0.713068149846395,7
"c45-h48","c55-h24",0.615760937921081,7
"c45-h60","c55-h24",0.554440474854502,7
"c60-h60","c55-h24",0.542979931427617,7
"c55-h24","c55-h24",1,7
"c55-h48","c55-h24",0.704671485911274,7
"c50-h24","c55-h24",0.903274213213345,7
"c50-h48","c55-h24",0.638701858567355,7
"c45-h24","c55-h24",0.8643359435815,7
"c60-h48","c55-h24",0.600656529589033,7
"c60-h24","c55-h24",0.854681324458957,7
"c60-h36","c55-h24",0.698883440077151,7
"c55-h36","c55-h48",0.862119850733711,7
"c55-h60","c55-h48",0.896103691700113,7
"c50-h36","c55-h48",0.773687079908947,7
"c50-h60","c55-h48",0.807580429186711,7
"c45-h36","c55-h48",0.733129917867641,7
"c45-h48","c55-h48",0.853021483939838,7
"c45-h60","c55-h48",0.762615551502132,7
"c60-h60","c55-h48",0.769966933322626,7
"c55-h24","c55-h48",0.704671485911274,7
"c55-h48","c55-h48",1,7
"c50-h24","c55-h48",0.634728598442568,7
"c50-h48","c55-h48",0.898794822069401,7
"c45-h24","c55-h48",0.602659584353562,7
"c60-h48","c55-h48",0.848927196489415,7
"c60-h24","c55-h48",0.60575964860168,7
"c60-h36","c55-h48",0.727935149860062,7
"c55-h36","c50-h24",0.740630224537167,7
"c55-h60","c50-h24",0.566832562880533,7
"c50-h36","c50-h24",0.820732280562514,7
"c50-h60","c50-h24",0.635656764872564,7
"c45-h36","c50-h24",0.782558250863239,7
"c45-h48","c50-h24",0.678466185507183,7
"c45-h60","c50-h24",0.606474841728703,7
"c60-h60","c50-h24",0.476924657544044,7
"c55-h24","c50-h24",0.903274213213345,7
"c55-h48","c50-h24",0.634728598442568,7
"c50-h24","c50-h24",1,7
"c50-h48","c50-h24",0.707899856188881,7
"c45-h24","c50-h24",0.951110701990449,7
"c60-h48","c50-h24",0.530045241920344,7
"c60-h24","c50-h24",0.765692136347365,7
"c60-h36","c50-h24",0.620834356979745,7
"c55-h36","c50-h48",0.777999524054344,7
"c55-h60","c50-h48",0.800204152060078,7
"c50-h36","c50-h48",0.862858700408265,7
"c50-h60","c50-h48",0.894054245503311,7
"c45-h36","c50-h48",0.81203235262173,7
"c45-h48","c50-h48",0.943876527451472,7
"c45-h60","c50-h48",0.839365592603424,7
"c60-h60","c50-h48",0.680261658394669,7
"c55-h24","c50-h48",0.638701858567355,7
"c55-h48","c50-h48",0.898794822069401,7
"c50-h24","c50-h48",0.707899856188881,7
"c50-h48","c50-h48",1,7
"c45-h24","c50-h48",0.666990529920773,7
"c60-h48","c50-h48",0.753642240408525,7
"c60-h24","c50-h48",0.541076402702795,7
"c60-h36","c50-h48",0.65111826074904,7
"c55-h36","c45-h24",0.702563350025794,7
"c55-h60","c45-h24",0.538194001240309,7
"c50-h36","c45-h24",0.773275817325666,7
"c50-h60","c45-h24",0.597833780395895,7
"c45-h36","c45-h24",0.818941023340888,7
"c45-h48","c45-h24",0.709772014772962,7
"c45-h60","c45-h24",0.634046790203277,7
"c60-h60","c45-h24",0.455938425038904,7
"c55-h24","c45-h24",0.8643359435815,7
"c55-h48","c45-h24",0.602659584353562,7
"c50-h24","c45-h24",0.951110701990449,7
"c50-h48","c45-h24",0.666990529920773,7
"c45-h24","c45-h24",1,7
"c60-h48","c45-h24",0.509144734289386,7
"c60-h24","c45-h24",0.738335056792189,7
"c60-h36","c45-h24",0.596490164828428,7
"c55-h36","c60-h48",0.735694941299323,7
"c55-h60","c60-h48",0.755695172181873,7
"c50-h36","c60-h48",0.650460666032169,7
"c50-h60","c60-h48",0.672666242357199,7
"c45-h36","c60-h48",0.61870459774742,7
"c45-h48","c60-h48",0.7181257559162,7
"c45-h60","c60-h48",0.638152116582662,7
"c60-h60","c60-h48",0.897886025720179,7
"c55-h24","c60-h48",0.600656529589033,7
"c55-h48","c60-h48",0.848927196489415,7
"c50-h24","c60-h48",0.530045241920344,7
"c50-h48","c60-h48",0.753642240408525,7
"c45-h24","c60-h48",0.509144734289386,7
"c60-h48","c60-h48",1,7
"c60-h24","c60-h48",0.710379976179049,7
"c60-h36","c60-h48",0.86273036806738,7
"c55-h36","c60-h24",0.71194917535951,7
"c55-h60","c60-h24",0.54801163788565,7
"c50-h36","c60-h24",0.636984100952839,7
"c50-h60","c60-h24",0.491925301550533,7
"c45-h36","c60-h24",0.612712564024884,7
"c45-h48","c60-h24",0.527157775288068,7
"c45-h60","c60-h24",0.475528112561776,7
"c60-h60","c60-h24",0.643820081667165,7
"c55-h24","c60-h24",0.854681324458957,7
"c55-h48","c60-h24",0.60575964860168,7
"c50-h24","c60-h24",0.765692136347365,7
"c50-h48","c60-h24",0.541076402702795,7
"c45-h24","c60-h24",0.738335056792189,7
"c60-h48","c60-h24",0.710379976179049,7
"c60-h24","c60-h24",1,7
"c60-h36","c60-h24",0.827188741875755,7
"c55-h36","c60-h36",0.850213184894484,7
"c55-h60","c60-h36",0.659237787111401,7
"c50-h36","c60-h36",0.760516057710563,7
"c50-h60","c60-h36",0.591941717439845,7
"c45-h36","c60-h36",0.728019724944389,7
"c45-h48","c60-h36",0.63013016859728,7
"c45-h60","c60-h36",0.569454078233759,7
"c60-h60","c60-h36",0.782639743386666,7
"c55-h24","c60-h36",0.698883440077151,7
"c55-h48","c60-h36",0.727935149860062,7
"c50-h24","c60-h36",0.620834356979745,7
"c50-h48","c60-h36",0.65111826074904,7
"c45-h24","c60-h36",0.596490164828428,7
"c60-h48","c60-h36",0.86273036806738,7
"c60-h24","c60-h36",0.827188741875755,7
"c60-h36","c60-h36",1,7
"c55-h60","c55-h60",1,8
"c50-h60","c55-h60",0.894691984237161,8
"c50-h36","c55-h60",0.697726825390919,8
"c55-h36","c55-h60",0.780742120593215,8
"c45-h60","c55-h60",0.83663510808465,8
"c60-h60","c55-h60",0.834678461302204,8
"c55-h24","c55-h60",0.652163917491624,8
"c55-h48","c55-h60",0.893071313296649,8
"c60-h24","c55-h60",0.540151813773895,8
"c60-h36","c55-h60",0.655547972299794,8
"c60-h48","c55-h60",0.746604844035574,8
"c50-h48","c55-h60",0.794189548785566,8
"c45-h24","c55-h60",0.551016292297084,8
"c45-h36","c55-h60",0.659429667537641,8
"c50-h24","c55-h60",0.58330310552098,8
"c45-h48","c55-h60",0.747070003967796,8
"c55-h60","c50-h60",0.894691984237161,8
"c50-h60","c50-h60",1,8
"c50-h36","c50-h60",0.7832938398125,8
"c55-h36","c50-h60",0.70515793965509,8
"c45-h60","c50-h60",0.93944709403862,8
"c60-h60","c50-h60",0.760193282112682,8
"c55-h24","c50-h60",0.596994585548844,8
"c55-h48","c50-h60",0.799542555704074,8
"c60-h24","c50-h60",0.501668708059166,8
"c60-h36","c50-h60",0.603221306789311,8
"c60-h48","c50-h60",0.681293134593054,8
"c50-h48","c50-h60",0.889648113603453,8
"c45-h24","c50-h60",0.617967882925516,8
"c45-h36","c50-h60",0.73993769681238,8
"c50-h24","c50-h60",0.656701930059385,8
"c45-h48","c50-h60",0.836650436370434,8
"c55-h60","c50-h36",0.697726825390919,8
"c50-h60","c50-h36",0.7832938398125,8
"c50-h36","c50-h36",1,8
"c55-h36","c50-h36",0.901406197417707,8
"c45-h60","c50-h36",0.732475679356503,8
"c60-h60","c50-h36",0.590613474867726,8
"c55-h24","c50-h36",0.747773384117742,8
"c55-h48","c50-h36",0.778691639933308,8
"c60-h24","c50-h36",0.627467121301337,8
"c60-h36","c50-h36",0.765527982559146,8
"c60-h48","c50-h36",0.663505137615551,8
"c50-h48","c50-h36",0.872342379937695,8
"c45-h24","c50-h36",0.772807933936383,8
"c45-h36","c50-h36",0.943209120467733,8
"c50-h24","c50-h36",0.818671328140737,8
"c45-h48","c50-h36",0.819026429275141,8
"c55-h60","c55-h36",0.780742120593215,8
"c50-h60","c55-h36",0.70515793965509,8
"c50-h36","c55-h36",0.901406197417707,8
"c55-h36","c55-h36",1,8
"c45-h60","c55-h36",0.658492073295681,8
"c60-h60","c55-h36",0.649683825334148,8
"c55-h24","c55-h36",0.82064296451655,8
"c55-h48","c55-h36",0.867632213527767,8
"c60-h24","c55-h36",0.680442078694721,8
"c60-h36","c55-h36",0.839276824912311,8
"c60-h48","c55-h36",0.727148908998048,8
"c50-h48","c55-h36",0.784503992329798,8
"c45-h24","c55-h36",0.696472863493257,8
"c45-h36","c55-h36",0.851212488509215,8
"c50-h24","c55-h36",0.735149553494485,8
"c45-h48","c55-h36",0.738689688136532,8
"c55-h60","c45-h60",0.83663510808465,8
"c50-h60","c45-h60",0.93944709403862,8
"c50-h36","c45-h60",0.732475679356503,8
"c55-h36","c45-h60",0.658492073295681,8
"c45-h60","c45-h60",1,8
"c60-h60","c45-h60",0.713070923439668,8
"c55-h24","c45-h60",0.563379625786535,8
"c55-h48","c45-h60",0.745328812321439,8
"c60-h24","c45-h60",0.472176045518844,8
"c60-h36","c45-h60",0.563628864979915,8
"c60-h48","c45-h60",0.637023599482613,8
"c50-h48","c45-h60",0.834663244906033,8
"c45-h24","c45-h60",0.650152523287271,8
"c45-h36","c45-h60",0.779919309492636,8
"c50-h24","c45-h60",0.618801872461636,8
"c45-h48","c45-h60",0.887551151073714,8
"c55-h60","c60-h60",0.834678461302204,8
"c50-h60","c60-h60",0.760193282112682,8
"c50-h36","c60-h60",0.590613474867726,8
"c55-h36","c60-h60",0.649683825334148,8
"c45-h60","c60-h60",0.713070923439668,8
"c60-h60","c60-h60",1,8
"c55-h24","c60-h60",0.554036259066804,8
"c55-h48","c60-h60",0.73546727699912,8
"c60-h24","c60-h60",0.646815918548566,8
"c60-h36","c60-h60",0.777180891197313,8
"c60-h48","c60-h60",0.88880567973782,8
"c50-h48","c60-h60",0.66501452024728,8
"c45-h24","c60-h60",0.478041058242879,8
"c45-h36","c60-h60",0.561206446340677,8
"c50-h24","c60-h60",0.50322814126323,8
"c45-h48","c60-h60",0.626531490330888,8
"c55-h60","c55-h24",0.652163917491624,8
"c50-h60","c55-h24",0.596994585548844,8
"c50-h36","c55-h24",0.747773384117742,8
"c55-h36","c55-h24",0.82064296451655,8
"c45-h60","c55-h24",0.563379625786535,8
"c60-h60","c55-h24",0.554036259066804,8
"c55-h24","c55-h24",1,8
"c55-h48","c55-h24",0.715225993914538,8
"c60-h24","c55-h24",0.845027472822848,8
"c60-h36","c55-h24",0.701960255135511,8
"c60-h48","c55-h24",0.609126727687821,8
"c50-h48","c55-h24",0.65144965146509,8
"c45-h24","c55-h24",0.861287199457951,8
"c45-h36","c55-h24",0.709237546111604,8
"c50-h24","c55-h24",0.905914961893149,8
"c45-h48","c55-h24",0.615829498198822,8
"c55-h60","c55-h48",0.893071313296649,8
"c50-h60","c55-h48",0.799542555704074,8
"c50-h36","c55-h48",0.778691639933308,8
"c55-h36","c55-h48",0.867632213527767,8
"c45-h60","c55-h48",0.745328812321439,8
"c60-h60","c55-h48",0.73546727699912,8
"c55-h24","c55-h48",0.715225993914538,8
"c55-h48","c55-h48",1,8
"c60-h24","c55-h48",0.588019534924065,8
"c60-h36","c55-h48",0.721823422365027,8
"c60-h48","c55-h48",0.831872909260618,8
"c50-h48","c55-h48",0.896140624339922,8
"c45-h24","c55-h48",0.605635020519098,8
"c45-h36","c55-h48",0.733286721633911,8
"c50-h24","c55-h48",0.640068499703649,8
"c45-h48","c55-h48",0.843152202055136,8
"c55-h60","c60-h24",0.540151813773895,8
"c50-h60","c60-h24",0.501668708059166,8
"c50-h36","c60-h24",0.627467121301337,8
"c55-h36","c60-h24",0.680442078694721,8
"c45-h60","c60-h24",0.472176045518844,8
"c60-h60","c60-h24",0.646815918548566,8
"c55-h24","c60-h24",0.845027472822848,8
"c55-h48","c60-h24",0.588019534924065,8
"c60-h24","c60-h24",1,8
"c60-h36","c60-h24",0.822989163280208,8
"c60-h48","c60-h24",0.711131387579749,8
"c50-h48","c60-h24",0.54120598804642,8
"c45-h24","c60-h24",0.738588359531308,8
"c45-h36","c60-h24",0.600081811164829,8
"c50-h24","c60-h24",0.771545535251727,8
"c45-h48","c60-h24",0.511773744687887,8
"c55-h60","c60-h36",0.655547972299794,8
"c50-h60","c60-h36",0.603221306789311,8
"c50-h36","c60-h36",0.765527982559146,8
"c55-h36","c60-h36",0.839276824912311,8
"c45-h60","c60-h36",0.563628864979915,8
"c60-h60","c60-h36",0.777180891197313,8
"c55-h24","c60-h36",0.701960255135511,8
"c55-h48","c60-h36",0.721823422365027,8
"c60-h24","c60-h36",0.822989163280208,8
"c60-h36","c60-h36",1,8
"c60-h48","c60-h36",0.865708732805039,8
"c50-h48","c60-h36",0.66312419251349,8
"c45-h24","c60-h36",0.60635892808314,8
"c45-h36","c60-h36",0.725918203329864,8
"c50-h24","c60-h36",0.637397703937976,8
"c45-h48","c60-h36",0.625130622934256,8
"c55-h60","c60-h48",0.746604844035574,8
"c50-h60","c60-h48",0.681293134593054,8
"c50-h36","c60-h48",0.663505137615551,8
"c55-h36","c60-h48",0.727148908998048,8
"c45-h60","c60-h48",0.637023599482613,8
"c60-h60","c60-h48",0.88880567973782,8
"c55-h24","c60-h48",0.609126727687821,8
