"scenario","n","event_target","event_regime","K","effect","method","selector","candidate","mean_truth","bias","bias_mcse","empse","empse_mcse","modse","modse_mcse","relerror_modse","relerror_modse_mcse","mse","mse_mcse","coverage","coverage_mcse","coverage_conditional","coverage_conditional_mcse","bias_eliminated_coverage","bias_eliminated_coverage_mcse","rejection","rejection_mcse","convergence","convergence_mcse","failure_probability","median_width","median_ess1","median_ess0","median_max_weight","n_used","n_attempted"
21,4000,70,"boundary",16,"homogeneous","bonferroni","effect_seeking",NA,-0.0102315051577353,-0.00608505760189204,0.000188703117603624,0.00843905997055683,0.00013346662491667,0.00873856293401405,7.65598694120019e-05,3.54900859221485,1.87215585049731,0.000108210050338405,4.79056721666327e-06,0.996,0.00141138230115019,0.996,0.00141138230115019,0.9975,0.00111663557170635,0.13,0.00751997340420829,1,0,0,0.0435871120374993,1251.23447215722,1331.91597391345,7.05215919072922,2000,2000
22,8000,70,"boundary",16,"homogeneous","bonferroni","effect_seeking",NA,-0.00522714352848365,-0.00294571863336116,9.27995782649136e-05,0.00415012330567318,6.56356220395082e-05,0.00441202423424748,3.76063136540048e-05,6.31067824457858,1.90997646557234,2.58921699574966e-05,1.07104849728834e-06,0.9935,0.00179690706493129,0.9935,0.00179690706493129,0.998,0.000998999499499375,0.1235,0.00735689302627135,1,0,0,0.0220594780590985,2488.57212103395,2624.92977478438,7.50335000903264,2000,2000
23,4000,140,"above",16,"homogeneous","bonferroni","effect_seeking",NA,-0.0203590093985643,-0.00772228011825105,0.000246499213515916,0.0110237799564365,0.000174344857098169,0.0114239918410217,8.47207501622522e-05,3.63044151975778,1.81019177925301,0.000181096572890402,6.72249966648735e-06,0.992,0.0019919839356782,0.992,0.0019919839356782,0.9975,0.00111663557170635,0.3375,0.0105734041349038,1,0,0,0.0587831126509964,1297.12044597721,1598.83272254289,7.16626357444706,2000,2000
24,8000,140,"above",16,"homogeneous","bonferroni","effect_seeking",NA,-0.010656939524643,-0.00383757417562794,0.000132704667627869,0.00593473315494861,9.38598382681935e-05,0.00596567158452041,4.63307176384808e-05,0.521311215922116,1.7711137188528,4.99304226450825e-05,2.23290778725708e-06,0.9925,0.00192921616207204,0.9925,0.00192921616207204,0.9995,0.000499874984371065,0.311,0.0103508212234586,1,0,0,0.0304960363551933,2615.38501048321,3225.33651400215,7.58221773695997,2000,2000
25,4000,35,"below",4,"heterogeneous","bonferroni","effect_seeking",NA,-0.00201720211871755,-0.00259279549903116,0.000130014751589052,0.00581443645261739,9.19573047034635e-05,0.00615597158637618,2.72362848512104e-05,5.87391635529952,1.7387195170651,4.05133559256913e-05,1.38242401828456e-06,0.9885,0.00238408787589719,0.9885,0.00238408787589719,0.992,0.0019919839356782,0.0265,0.00359150038284837,1,0,0,0.0299135553304045,1204.08285649745,1265.16519039616,6.66904802273297,2000,2000
26,8000,35,"below",4,"heterogeneous","bonferroni","effect_seeking",NA,-0.00100859151407869,-0.00103813930967228,6.51666814091691e-05,0.00291434258997948,4.6091326604212e-05,0.00309410960233243,1.36765850691639e-05,6.16835553140016,1.74343580636165,9.56687926168924e-06,3.110096731109e-07,0.992,0.0019919839356782,0.992,0.0019919839356782,0.991,0.00211175282644537,0.0235,0.0033873108803297,1,0,0,0.0150278904767784,2415.81667316554,2547.39919159966,7.05264191097116,2000,2000
27,4000,70,"boundary",4,"heterogeneous","bonferroni","effect_seeking",NA,-0.00417369180101068,-0.00342890869692027,0.000181363382495725,0.00811081703779473,0.000128275350468881,0.00849559948533199,3.28384444857077e-05,4.74406518781345,1.70532208346384,7.75098751958864e-05,2.6928188579071e-06,0.989,0.00233227356885937,0.989,0.00233227356885937,0.9935,0.00179690706493129,0.042,0.00448530935387962,1,0,0,0.0420101927006667,1206.29198935972,1269.5734930199,6.69853830913946,2000,2000
28,8000,70,"boundary",4,"heterogeneous","bonferroni","effect_seeking",NA,-0.00207149075300636,-0.00166547545787067,9.27343475152618e-05,0.00414720609786428,6.55894853984851e-05,0.00428356405673176,1.74213051840741e-05,3.28794749163059,1.68668189415983,1.99645272597231e-05,7.29145968981435e-07,0.9855,0.00267298989897081,0.9855,0.00267298989897081,0.9905,0.00216907238237915,0.037,0.00422084114839685,1,0,0,0.0212454039552577,2419.17124317339,2553.60228846606,7.12039934659573,2000,2000
29,4000,140,"above",4,"heterogeneous","bonferroni","effect_seeking",NA,-0.00859677505786426,-0.00386627806827128,0.00024181098834712,0.0108141161530114,0.000171028952209713,0.01144339656516,3.78123258169376e-05,5.81906466737343,1.70970146943492,0.000131834741717932,4.42979016225177e-06,0.9905,0.00216907238237915,0.9905,0.00216907238237915,0.9955,0.00149662119455792,0.069,0.00566740681440816,1,0,0,0.0575120649842622,1208.92558210537,1277.35601345732,6.6489648843598,2000,2000
30,8000,140,"above",4,"heterogeneous","bonferroni","effect_seeking",NA,-0.00433136562120449,-0.00222295357348011,0.000126201074245968,0.00564388361694965,8.92599531707147e-05,0.00589904156440737,2.051919892618e-05,4.52096401654059,1.69254362555894,3.67790181603797e-05,1.20681255258992e-06,0.9895,0.00227922684259377,0.9895,0.00227922684259377,0.9945,0.00165374574829385,0.071,0.00574277807337181,1,0,0,0.0297679608444454,2428.56217584891,2563.06750493134,7.08591450806598,2000,2000
