"scenario","n","event_target","K","effect","method","selector","mean_target_movement","probability_abs_gt_001"
23,4000,140,16,"homogeneous","naive","outcome_blinded",0.00393833010776451,0
24,8000,140,16,"homogeneous","naive","outcome_blinded",0.00216877610229021,0
25,4000,35,4,"heterogeneous","naive","outcome_blinded",-0.000709925827551369,0
26,8000,35,4,"heterogeneous","naive","outcome_blinded",-0.000357730234376143,0
27,4000,70,4,"heterogeneous","naive","outcome_blinded",-0.00138668884631701,0
28,8000,70,4,"heterogeneous","naive","outcome_blinded",-0.000697486481880526,0
29,4000,140,4,"heterogeneous","naive","outcome_blinded",-0.00279565351150858,0
30,8000,140,4,"heterogeneous","naive","outcome_blinded",-0.00140205148453165,0
31,4000,35,16,"heterogeneous","naive","outcome_blinded",-0.00110020040307858,0
32,8000,35,16,"heterogeneous","naive","outcome_blinded",-0.000556078709809601,0
33,4000,70,16,"heterogeneous","naive","outcome_blinded",-0.00218006491145308,0
34,8000,70,16,"heterogeneous","naive","outcome_blinded",-0.00110113970465576,0
35,4000,140,16,"heterogeneous","naive","outcome_blinded",-0.00434794790149035,0
36,8000,140,16,"heterogeneous","naive","outcome_blinded",-0.00217461405742821,0
1,4000,35,4,"null","bonferroni","prognostic_high",0,0
2,8000,35,4,"null","bonferroni","prognostic_high",0,0
3,4000,70,4,"null","bonferroni","prognostic_high",0,0
4,8000,70,4,"null","bonferroni","prognostic_high",0,0
5,4000,140,4,"null","bonferroni","prognostic_high",0,0
6,8000,140,4,"null","bonferroni","prognostic_high",0,0
7,4000,35,16,"null","bonferroni","prognostic_high",0,0
8,8000,35,16,"null","bonferroni","prognostic_high",0,0
9,4000,70,16,"null","bonferroni","prognostic_high",0,0
10,8000,70,16,"null","bonferroni","prognostic_high",0,0
11,4000,140,16,"null","bonferroni","prognostic_high",0,0
12,8000,140,16,"null","bonferroni","prognostic_high",0,0
13,4000,35,4,"homogeneous","bonferroni","prognostic_high",0.000762745809210098,0
14,8000,35,4,"homogeneous","bonferroni","prognostic_high",0.000394043245615421,0
15,4000,70,4,"homogeneous","bonferroni","prognostic_high",0.00114270419507044,0
16,8000,70,4,"homogeneous","bonferroni","prognostic_high",0.000601419835917958,0
17,4000,140,4,"homogeneous","bonferroni","prognostic_high",0.0018062681488152,0.004
18,8000,140,4,"homogeneous","bonferroni","prognostic_high",0.000961407509722311,0
19,4000,35,16,"homogeneous","bonferroni","prognostic_high",0.000826842117047918,0
20,8000,35,16,"homogeneous","bonferroni","prognostic_high",0.000383289379654203,0
21,4000,70,16,"homogeneous","bonferroni","prognostic_high",0.00116030656642156,0
22,8000,70,16,"homogeneous","bonferroni","prognostic_high",0.000578510098814123,0
23,4000,140,16,"homogeneous","bonferroni","prognostic_high",0.00183999351926793,0.0035
24,8000,140,16,"homogeneous","bonferroni","prognostic_high",0.000897674372843873,0
25,4000,35,4,"heterogeneous","bonferroni","prognostic_high",-0.000424436037379382,0
26,8000,35,4,"heterogeneous","bonferroni","prognostic_high",-0.000209301667424741,0
27,4000,70,4,"heterogeneous","bonferroni","prognostic_high",-0.000943336042796131,0
28,8000,70,4,"heterogeneous","bonferroni","prognostic_high",-0.000481010246376781,0
29,4000,140,4,"heterogeneous","bonferroni","prognostic_high",-0.00205335971820212,0
30,8000,140,4,"heterogeneous","bonferroni","prognostic_high",-0.000986681827197475,0
31,4000,35,16,"heterogeneous","bonferroni","prognostic_high",0.000242989974309045,0
32,8000,35,16,"heterogeneous","bonferroni","prognostic_high",0.000108293239379099,0
33,4000,70,16,"heterogeneous","bonferroni","prognostic_high",0.000216031018586652,0
34,8000,70,16,"heterogeneous","bonferroni","prognostic_high",0.000164978562645774,0
35,4000,140,16,"heterogeneous","bonferroni","prognostic_high",2.99746933405425e-05,0
36,8000,140,16,"heterogeneous","bonferroni","prognostic_high",2.73925718695103e-05,0
1,4000,35,4,"null","naive","prognostic_high",0,0
2,8000,35,4,"null","naive","prognostic_high",0,0
3,4000,70,4,"null","naive","prognostic_high",0,0
4,8000,70,4,"null","naive","prognostic_high",0,0
5,4000,140,4,"null","naive","prognostic_high",0,0
6,8000,140,4,"null","naive","prognostic_high",0,0
7,4000,35,16,"null","naive","prognostic_high",0,0
8,8000,35,16,"null","naive","prognostic_high",0,0
9,4000,70,16,"null","naive","prognostic_high",0,0
10,8000,70,16,"null","naive","prognostic_high",0,0
11,4000,140,16,"null","naive","prognostic_high",0,0
12,8000,140,16,"null","naive","prognostic_high",0,0
13,4000,35,4,"homogeneous","naive","prognostic_high",0.000762745809210099,0
14,8000,35,4,"homogeneous","naive","prognostic_high",0.000394043245615421,0
15,4000,70,4,"homogeneous","naive","prognostic_high",0.00114270419507044,0
16,8000,70,4,"homogeneous","naive","prognostic_high",0.000601419835917958,0
17,4000,140,4,"homogeneous","naive","prognostic_high",0.0018062681488152,0.004
18,8000,140,4,"homogeneous","naive","prognostic_high",0.000961407509722312,0
19,4000,35,16,"homogeneous","naive","prognostic_high",0.000826842117047917,0
20,8000,35,16,"homogeneous","naive","prognostic_high",0.000383289379654203,0
21,4000,70,16,"homogeneous","naive","prognostic_high",0.00116030656642156,0
22,8000,70,16,"homogeneous","naive","prognostic_high",0.000578510098814124,0
23,4000,140,16,"homogeneous","naive","prognostic_high",0.00183999351926794,0.0035
24,8000,140,16,"homogeneous","naive","prognostic_high",0.000897674372843874,0
25,4000,35,4,"heterogeneous","naive","prognostic_high",-0.000424436037379381,0
26,8000,35,4,"heterogeneous","naive","prognostic_high",-0.000209301667424741,0
27,4000,70,4,"heterogeneous","naive","prognostic_high",-0.000943336042796131,0
28,8000,70,4,"heterogeneous","naive","prognostic_high",-0.000481010246376781,0
29,4000,140,4,"heterogeneous","naive","prognostic_high",-0.00205335971820212,0
30,8000,140,4,"heterogeneous","naive","prognostic_high",-0.000986681827197475,0
31,4000,35,16,"heterogeneous","naive","prognostic_high",0.000242989974309038,0
32,8000,35,16,"heterogeneous","naive","prognostic_high",0.000108293239379094,0
33,4000,70,16,"heterogeneous","naive","prognostic_high",0.000216031018586652,0
34,8000,70,16,"heterogeneous","naive","prognostic_high",0.000164978562645772,0
35,4000,140,16,"heterogeneous","naive","prognostic_high",2.99746933405551e-05,0
36,8000,140,16,"heterogeneous","naive","prognostic_high",2.73925718695125e-05,0
1,4000,35,4,"null","split","prognostic_high",0,0
2,8000,35,4,"null","split","prognostic_high",0,0
3,4000,70,4,"null","split","prognostic_high",0,0
4,8000,70,4,"null","split","prognostic_high",0,0
5,4000,140,4,"null","split","prognostic_high",0,0
6,8000,140,4,"null","split","prognostic_high",0,0
7,4000,35,16,"null","split","prognostic_high",0,0
8,8000,35,16,"null","split","prognostic_high",0,0
9,4000,70,16,"null","split","prognostic_high",0,0
10,8000,70,16,"null","split","prognostic_high",0,0
11,4000,140,16,"null","split","prognostic_high",0,0
12,8000,140,16,"null","split","prognostic_high",0,0
13,4000,35,4,"homogeneous","split","prognostic_high",0.00100432427500456,0
14,8000,35,4,"homogeneous","split","prognostic_high",0.000512611206542811,0
15,4000,70,4,"homogeneous","split","prognostic_high",0.00145877667008587,0
16,8000,70,4,"homogeneous","split","prognostic_high",0.000764458609358486,0
17,4000,140,4,"homogeneous","split","prognostic_high",0.00218872041639693,0.027
18,8000,140,4,"homogeneous","split","prognostic_high",0.00114954848437896,0
19,4000,35,16,"homogeneous","split","prognostic_high",0.00111456815869351,0
20,8000,35,16,"homogeneous","split","prognostic_high",0.000558491320364063,0
21,4000,70,16,"homogeneous","split","prognostic_high",0.00149198520940234,0
22,8000,70,16,"homogeneous","split","prognostic_high",0.000753636183951367,0
23,4000,140,16,"homogeneous","split","prognostic_high",0.00205099533752913,0.0205
24,8000,140,16,"homogeneous","split","prognostic_high",0.00110407343477196,0
25,4000,35,4,"heterogeneous","split","prognostic_high",-0.000356964329834707,0
26,8000,35,4,"heterogeneous","split","prognostic_high",-0.000172669736935845,0
27,4000,70,4,"heterogeneous","split","prognostic_high",-0.000802732881406549,0
28,8000,70,4,"heterogeneous","split","prognostic_high",-0.000416316659216797,0
29,4000,140,4,"heterogeneous","split","prognostic_high",-0.00184396109098324,0
30,8000,140,4,"heterogeneous","split","prognostic_high",-0.000929705896636885,0
31,4000,35,16,"heterogeneous","split","prognostic_high",0.000416568701614686,0
32,8000,35,16,"heterogeneous","split","prognostic_high",0.000173663101608976,0
33,4000,70,16,"heterogeneous","split","prognostic_high",0.00038701623470914,0
34,8000,70,16,"heterogeneous","split","prognostic_high",0.000284451294802466,0
35,4000,140,16,"heterogeneous","split","prognostic_high",0.000369094604282419,0
36,8000,140,16,"heterogeneous","split","prognostic_high",0.000278251788536879,0
1,4000,35,4,"null","bonferroni","prognostic_low",0,0
2,8000,35,4,"null","bonferroni","prognostic_low",0,0
3,4000,70,4,"null","bonferroni","prognostic_low",0,0
4,8000,70,4,"null","bonferroni","prognostic_low",0,0
5,4000,140,4,"null","bonferroni","prognostic_low",0,0
6,8000,140,4,"null","bonferroni","prognostic_low",0,0
7,4000,35,16,"null","bonferroni","prognostic_low",0,0
8,8000,35,16,"null","bonferroni","prognostic_low",0,0
9,4000,70,16,"null","bonferroni","prognostic_low",0,0
10,8000,70,16,"null","bonferroni","prognostic_low",0,0
11,4000,140,16,"null","bonferroni","prognostic_low",0,0
12,8000,140,16,"null","bonferroni","prognostic_low",0,0
13,4000,35,4,"homogeneous","bonferroni","prognostic_low",0.0010952493474515,0
14,8000,35,4,"homogeneous","bonferroni","prognostic_low",0.000546603398158363,0
15,4000,70,4,"homogeneous","bonferroni","prognostic_low",0.00174825870725261,0
16,8000,70,4,"homogeneous","bonferroni","prognostic_low",0.00090183839824441,0
17,4000,140,4,"homogeneous","bonferroni","prognostic_low",0.00274069355277906,0.038
18,8000,140,4,"homogeneous","bonferroni","prognostic_low",0.00142590094656361,0
19,4000,35,16,"homogeneous","bonferroni","prognostic_low",0.00137672130879679,0
20,8000,35,16,"homogeneous","bonferroni","prognostic_low",0.000688261842414177,0
21,4000,70,16,"homogeneous","bonferroni","prognostic_low",0.00231404429171623,0
22,8000,70,16,"homogeneous","bonferroni","prognostic_low",0.00113791133870543,0
23,4000,140,16,"homogeneous","bonferroni","prognostic_low",0.00394468886546136,0.026
24,8000,140,16,"homogeneous","bonferroni","prognostic_low",0.00210365399469863,0
25,4000,35,4,"heterogeneous","bonferroni","prognostic_low",-0.000442816409717807,0
26,8000,35,4,"heterogeneous","bonferroni","prognostic_low",-0.000223591643299054,0
27,4000,70,4,"heterogeneous","bonferroni","prognostic_low",-0.00108597285462705,0
28,8000,70,4,"heterogeneous","bonferroni","prognostic_low",-0.000565589118000913,0
29,4000,140,4,"heterogeneous","bonferroni","prognostic_low",-0.00258650949608908,0
30,8000,140,4,"heterogeneous","bonferroni","prognostic_low",-0.00131976908637595,0
31,4000,35,16,"heterogeneous","bonferroni","prognostic_low",-9.12428321847742e-05,0
32,8000,35,16,"heterogeneous","bonferroni","prognostic_low",-5.7376871251754e-05,0
33,4000,70,16,"heterogeneous","bonferroni","prognostic_low",-0.000823299259595004,0
34,8000,70,16,"heterogeneous","bonferroni","prognostic_low",-0.000443648824867714,0
35,4000,140,16,"heterogeneous","bonferroni","prognostic_low",-0.00291034522700808,0
36,8000,140,16,"heterogeneous","bonferroni","prognostic_low",-0.00155591393899198,0
1,4000,35,4,"null","naive","prognostic_low",0,0
2,8000,35,4,"null","naive","prognostic_low",0,0
3,4000,70,4,"null","naive","prognostic_low",0,0
4,8000,70,4,"null","naive","prognostic_low",0,0
5,4000,140,4,"null","naive","prognostic_low",0,0
6,8000,140,4,"null","naive","prognostic_low",0,0
7,4000,35,16,"null","naive","prognostic_low",0,0
8,8000,35,16,"null","naive","prognostic_low",0,0
9,4000,70,16,"null","naive","prognostic_low",0,0
10,8000,70,16,"null","naive","prognostic_low",0,0
11,4000,140,16,"null","naive","prognostic_low",0,0
12,8000,140,16,"null","naive","prognostic_low",0,0
13,4000,35,4,"homogeneous","naive","prognostic_low",0.0010952493474515,0
14,8000,35,4,"homogeneous","naive","prognostic_low",0.000546603398158364,0
15,4000,70,4,"homogeneous","naive","prognostic_low",0.00174825870725261,0
16,8000,70,4,"homogeneous","naive","prognostic_low",0.00090183839824441,0
17,4000,140,4,"homogeneous","naive","prognostic_low",0.00274069355277907,0.038
18,8000,140,4,"homogeneous","naive","prognostic_low",0.00142590094656361,0
19,4000,35,16,"homogeneous","naive","prognostic_low",0.00137672130879679,0
20,8000,35,16,"homogeneous","naive","prognostic_low",0.000688261842414177,0
21,4000,70,16,"homogeneous","naive","prognostic_low",0.00231404429171623,0
22,8000,70,16,"homogeneous","naive","prognostic_low",0.00113791133870543,0
23,4000,140,16,"homogeneous","naive","prognostic_low",0.00394468886546136,0.026
24,8000,140,16,"homogeneous","naive","prognostic_low",0.00210365399469863,0
25,4000,35,4,"heterogeneous","naive","prognostic_low",-0.000442816409717808,0
26,8000,35,4,"heterogeneous","naive","prognostic_low",-0.000223591643299052,0
27,4000,70,4,"heterogeneous","naive","prognostic_low",-0.00108597285462704,0
28,8000,70,4,"heterogeneous","naive","prognostic_low",-0.000565589118000913,0
29,4000,140,4,"heterogeneous","naive","prognostic_low",-0.00258650949608908,0
30,8000,140,4,"heterogeneous","naive","prognostic_low",-0.00131976908637595,0
31,4000,35,16,"heterogeneous","naive","prognostic_low",-9.12428321847744e-05,0
32,8000,35,16,"heterogeneous","naive","prognostic_low",-5.73768712517536e-05,0
33,4000,70,16,"heterogeneous","naive","prognostic_low",-0.000823299259595005,0
34,8000,70,16,"heterogeneous","naive","prognostic_low",-0.000443648824867714,0
35,4000,140,16,"heterogeneous","naive","prognostic_low",-0.00291034522700808,0
36,8000,140,16,"heterogeneous","naive","prognostic_low",-0.00155591393899198,0
1,4000,35,4,"null","split","prognostic_low",0,0
2,8000,35,4,"null","split","prognostic_low",0,0
3,4000,70,4,"null","split","prognostic_low",0,0
4,8000,70,4,"null","split","prognostic_low",0,0
5,4000,140,4,"null","split","prognostic_low",0,0
6,8000,140,4,"null","split","prognostic_low",0,0
7,4000,35,16,"null","split","prognostic_low",0,0
8,8000,35,16,"null","split","prognostic_low",0,0
9,4000,70,16,"null","split","prognostic_low",0,0
10,8000,70,16,"null","split","prognostic_low",0,0
11,4000,140,16,"null","split","prognostic_low",0,0
12,8000,140,16,"null","split","prognostic_low",0,0
13,4000,35,4,"homogeneous","split","prognostic_low",0.00133415573007737,0
14,8000,35,4,"homogeneous","split","prognostic_low",0.000657953892411162,0
15,4000,70,4,"homogeneous","split","prognostic_low",0.00215049490068626,0
16,8000,70,4,"homogeneous","split","prognostic_low",0.00111098856683537,0
17,4000,140,4,"homogeneous","split","prognostic_low",0.00331817640502243,0.0775
18,8000,140,4,"homogeneous","split","prognostic_low",0.00172442498876659,0
19,4000,35,16,"homogeneous","split","prognostic_low",0.00163935264208242,0
20,8000,35,16,"homogeneous","split","prognostic_low",0.000813758595009744,0
21,4000,70,16,"homogeneous","split","prognostic_low",0.00261982255204094,0
22,8000,70,16,"homogeneous","split","prognostic_low",0.00130124417772433,0
23,4000,140,16,"homogeneous","split","prognostic_low",0.0043338453911048,0.083
24,8000,140,16,"homogeneous","split","prognostic_low",0.00228196573267198,0
25,4000,35,4,"heterogeneous","split","prognostic_low",-0.000310075905270004,0
26,8000,35,4,"heterogeneous","split","prognostic_low",-0.000162138157798695,0
27,4000,70,4,"heterogeneous","split","prognostic_low",-0.000829365412930913,0
28,8000,70,4,"heterogeneous","split","prognostic_low",-0.000442390452645919,0
29,4000,140,4,"heterogeneous","split","prognostic_low",-0.00214878956101328,0
30,8000,140,4,"heterogeneous","split","prognostic_low",-0.00109385891630969,0
31,4000,35,16,"heterogeneous","split","prognostic_low",0.00021264038495707,0
32,8000,35,16,"heterogeneous","split","prognostic_low",0.00010716825469437,0
33,4000,70,16,"heterogeneous","split","prognostic_low",-0.000216593774227337,0
34,8000,70,16,"heterogeneous","split","prognostic_low",-8.3287923109968e-05,0
35,4000,140,16,"heterogeneous","split","prognostic_low",-0.00157298018955603,0
36,8000,140,16,"heterogeneous","split","prognostic_low",-0.00084748884893858,0
1,4000,35,4,"null","bonferroni","workability",0,0
2,8000,35,4,"null","bonferroni","workability",0,0
3,4000,70,4,"null","bonferroni","workability",0,0
4,8000,70,4,"null","bonferroni","workability",0,0
5,4000,140,4,"null","bonferroni","workability",0,0
6,8000,140,4,"null","bonferroni","workability",0,0
7,4000,35,16,"null","bonferroni","workability",0,0
8,8000,35,16,"null","bonferroni","workability",0,0
9,4000,70,16,"null","bonferroni","workability",0,0
10,8000,70,16,"null","bonferroni","workability",0,0
11,4000,140,16,"null","bonferroni","workability",0,0
12,8000,140,16,"null","bonferroni","workability",0,0
13,4000,35,4,"homogeneous","bonferroni","workability",0.000818726628865314,0
14,8000,35,4,"homogeneous","bonferroni","workability",0.000418650429830262,0
15,4000,70,4,"homogeneous","bonferroni","workability",0.000513538221713286,0
16,8000,70,4,"homogeneous","bonferroni","workability",0.000283964008390023,0
17,4000,140,4,"homogeneous","bonferroni","workability",0.00981997837880347,0
18,8000,140,4,"homogeneous","bonferroni","workability",0.00536712802650258,0
19,4000,35,16,"homogeneous","bonferroni","workability",0.0012857210884006,0
20,8000,35,16,"homogeneous","bonferroni","workability",0.000655942480688896,0
21,4000,70,16,"homogeneous","bonferroni","workability",0.000560103394422857,0
22,8000,70,16,"homogeneous","bonferroni","workability",0.000256347712789373,0
23,4000,140,16,"homogeneous","bonferroni","workability",0.00701972332603196,0.032
24,8000,140,16,"homogeneous","bonferroni","workability",0.00386163552686527,0
25,4000,35,4,"heterogeneous","bonferroni","workability",-0.000864297126807244,0
26,8000,35,4,"heterogeneous","bonferroni","workability",-0.000438626309158193,0
27,4000,70,4,"heterogeneous","bonferroni","workability",0.00059933191115927,0
28,8000,70,4,"heterogeneous","bonferroni","workability",0.000291938466594471,0
29,4000,140,4,"heterogeneous","bonferroni","workability",0.00277801319090824,0
30,8000,140,4,"heterogeneous","bonferroni","workability",0.00142495243673652,0
31,4000,35,16,"heterogeneous","bonferroni","workability",-0.00108678216106859,0
32,8000,35,16,"heterogeneous","bonferroni","workability",-0.000543291288354906,0
33,4000,70,16,"heterogeneous","bonferroni","workability",0.00308502774242617,0
34,8000,70,16,"heterogeneous","bonferroni","workability",0.0015798703780558,0
35,4000,140,16,"heterogeneous","bonferroni","workability",0.006895906035147,0
