"scenario","selector","median_within_candidate_width_ratio","q25","q75","n"
2,"workability",1.41355832370749,1.33263131665737,1.4873812485107,2000
3,"workability",1.4097336205272,1.33559744503967,1.47367496439306,2000
4,"workability",1.40536888239704,1.33246394408334,1.46533987025366,2000
5,"workability",1.4161054504458,1.36781785542878,1.4624519570562,2000
6,"workability",1.40803469341989,1.35606302057022,1.46149757605691,2000
7,"workability",1.40806363741465,1.33063525514691,1.48173865473771,2000
8,"workability",1.40888352628296,1.33166870165829,1.48276020488633,2000
9,"workability",1.40666466794239,1.33155167605636,1.47249036549772,2000
10,"workability",1.40844313258557,1.33016774852166,1.48050234865019,2000
11,"workability",1.40406888022507,1.33841970829484,1.4707042261581,2000
12,"workability",1.40725660122025,1.3362028428631,1.47455129421852,2000
13,"workability",1.41676315779361,1.33415345296363,1.49441147885957,2000
14,"workability",1.41402414572513,1.33045027870547,1.49805691446432,2000
15,"workability",1.41086426458765,1.34203256072156,1.47448529937465,2000
16,"workability",1.40991959883831,1.34031001176695,1.47278005232921,2000
17,"workability",1.41593219007263,1.36192237777924,1.47217306520018,2000
18,"workability",1.41564401013301,1.3579855415607,1.47404615101052,2000
19,"workability",1.40589414591436,1.32863355684987,1.48705855992653,2000
20,"workability",1.41172931007339,1.32229311706595,1.48919097047442,2000
21,"workability",1.40197899648549,1.32846700877231,1.47407102362662,2000
22,"workability",1.40499952183294,1.32476821130469,1.47716411686406,2000
23,"workability",1.40683769015894,1.33852473034621,1.47224430805897,2000
24,"workability",1.40947619583055,1.33320844715988,1.47959790048474,2000
25,"workability",1.41586743116264,1.33453390020244,1.48946685234714,2000
26,"workability",1.40599739867128,1.32716100758814,1.48581199436558,2000
27,"workability",1.40988861358734,1.33776392480439,1.47209201078229,2000
28,"workability",1.40637744695334,1.3358650599913,1.46980809990364,2000
29,"workability",1.41158836836261,1.35978811537936,1.46427358935405,2000
30,"workability",1.41065624588601,1.35550271391006,1.46572185585715,2000
31,"workability",1.40696666355556,1.32741503201315,1.4794119714533,2000
32,"workability",1.40812955248182,1.32421078880586,1.48435036778695,2000
33,"workability",1.40590978885391,1.3307023181117,1.47616448191098,2000
34,"workability",1.40726725459199,1.32508508913848,1.47872000342158,2000
35,"workability",1.40623245650686,1.33562175932521,1.4707897714155,2000
36,"workability",1.41112437851873,1.3415534737596,1.47820662774264,2000
