"scenario","n","event_target","K","effect","method","selector","candidate","frequency","count","denominator"
10,8000,70,16,"null","naive","effect_seeking","c45-h36",0.064,128,2000
11,4000,140,16,"null","naive","effect_seeking","c45-h36",0.0585,117,2000
12,8000,140,16,"null","naive","effect_seeking","c45-h36",0.0585,117,2000
19,4000,35,16,"homogeneous","naive","effect_seeking","c45-h36",0.067,134,2000
20,8000,35,16,"homogeneous","naive","effect_seeking","c45-h36",0.0675,135,2000
21,4000,70,16,"homogeneous","naive","effect_seeking","c45-h36",0.0725,145,2000
22,8000,70,16,"homogeneous","naive","effect_seeking","c45-h36",0.0725,145,2000
23,4000,140,16,"homogeneous","naive","effect_seeking","c45-h36",0.064,128,2000
24,8000,140,16,"homogeneous","naive","effect_seeking","c45-h36",0.057,114,2000
31,4000,35,16,"heterogeneous","naive","effect_seeking","c45-h36",0.0995,199,2000
32,8000,35,16,"heterogeneous","naive","effect_seeking","c45-h36",0.0955,191,2000
33,4000,70,16,"heterogeneous","naive","effect_seeking","c45-h36",0.106,212,2000
34,8000,70,16,"heterogeneous","naive","effect_seeking","c45-h36",0.115,230,2000
35,4000,140,16,"heterogeneous","naive","effect_seeking","c45-h36",0.1115,223,2000
36,8000,140,16,"heterogeneous","naive","effect_seeking","c45-h36",0.1165,233,2000
7,4000,35,16,"null","bonferroni","prognostic_high","c45-h36",0.0045,9,2000
8,8000,35,16,"null","bonferroni","prognostic_high","c45-h36",0.0085,17,2000
9,4000,70,16,"null","bonferroni","prognostic_high","c45-h36",0.0015,3,2000
10,8000,70,16,"null","bonferroni","prognostic_high","c45-h36",0.0025,5,2000
19,4000,35,16,"homogeneous","bonferroni","prognostic_high","c45-h36",0.0145,29,2000
20,8000,35,16,"homogeneous","bonferroni","prognostic_high","c45-h36",0.012,24,2000
21,4000,70,16,"homogeneous","bonferroni","prognostic_high","c45-h36",0.004,8,2000
22,8000,70,16,"homogeneous","bonferroni","prognostic_high","c45-h36",0.0015,3,2000
23,4000,140,16,"homogeneous","bonferroni","prognostic_high","c45-h36",5e-04,1,2000
31,4000,35,16,"heterogeneous","bonferroni","prognostic_high","c45-h36",0.0055,11,2000
32,8000,35,16,"heterogeneous","bonferroni","prognostic_high","c45-h36",0.005,10,2000
33,4000,70,16,"heterogeneous","bonferroni","prognostic_high","c45-h36",5e-04,1,2000
34,8000,70,16,"heterogeneous","bonferroni","prognostic_high","c45-h36",5e-04,1,2000
7,4000,35,16,"null","naive","prognostic_high","c45-h36",0.0045,9,2000
8,8000,35,16,"null","naive","prognostic_high","c45-h36",0.0085,17,2000
9,4000,70,16,"null","naive","prognostic_high","c45-h36",0.0015,3,2000
10,8000,70,16,"null","naive","prognostic_high","c45-h36",0.0025,5,2000
19,4000,35,16,"homogeneous","naive","prognostic_high","c45-h36",0.0145,29,2000
20,8000,35,16,"homogeneous","naive","prognostic_high","c45-h36",0.012,24,2000
21,4000,70,16,"homogeneous","naive","prognostic_high","c45-h36",0.004,8,2000
22,8000,70,16,"homogeneous","naive","prognostic_high","c45-h36",0.0015,3,2000
23,4000,140,16,"homogeneous","naive","prognostic_high","c45-h36",5e-04,1,2000
31,4000,35,16,"heterogeneous","naive","prognostic_high","c45-h36",0.0055,11,2000
32,8000,35,16,"heterogeneous","naive","prognostic_high","c45-h36",0.005,10,2000
33,4000,70,16,"heterogeneous","naive","prognostic_high","c45-h36",5e-04,1,2000
34,8000,70,16,"heterogeneous","naive","prognostic_high","c45-h36",5e-04,1,2000
7,4000,35,16,"null","split","prognostic_high","c45-h36",0.0105,21,2000
8,8000,35,16,"null","split","prognostic_high","c45-h36",0.0185,37,2000
9,4000,70,16,"null","split","prognostic_high","c45-h36",0.008,16,2000
10,8000,70,16,"null","split","prognostic_high","c45-h36",0.007,14,2000
11,4000,140,16,"null","split","prognostic_high","c45-h36",0.001,2,2000
12,8000,140,16,"null","split","prognostic_high","c45-h36",0.0045,9,2000
19,4000,35,16,"homogeneous","split","prognostic_high","c45-h36",0.017,34,2000
20,8000,35,16,"homogeneous","split","prognostic_high","c45-h36",0.025,50,2000
21,4000,70,16,"homogeneous","split","prognostic_high","c45-h36",0.0095,19,2000
22,8000,70,16,"homogeneous","split","prognostic_high","c45-h36",0.0115,23,2000
23,4000,140,16,"homogeneous","split","prognostic_high","c45-h36",0.004,8,2000
