"truth_scenario","n","event_target","effect","candidate","c","h","score_key","lambda","expected_eligible","expected_treated","expected_control","expected_events","distance_from_70","population_r2","diagnostic_draws","scenario","K","analysis_scenario"
12,8000,140,"homogeneous","c55-h36",55,36,"reduced",0.000625616841839842,NA,2115.24389527785,1885.29610472216,119.535982316422,49.5359823164217,0.00262879733923112,2000000,18,4,36
12,8000,140,"homogeneous","c55-h60",55,60,"reduced",0.000625616841839842,NA,2115.24389527785,1885.29610472216,196.758505894513,126.758505894513,0.00430407252866471,2000000,18,4,36
7,4000,35,"homogeneous","c45-h24",45,24,"higher",0.00030927963450513,NA,1565.69749885881,1865.86650114116,27.9725793385176,-42.0274206614824,0.00222523070446475,2000000,19,16,37
7,4000,35,"homogeneous","c45-h36",45,36,"higher",0.00030927963450513,NA,1565.69749885881,1865.86650114116,41.8453917772318,-28.1546082227682,0.0033257002305375,2000000,19,16,37
7,4000,35,"homogeneous","c45-h48",45,48,"higher",0.00030927963450513,NA,1565.69749885881,1865.86650114116,55.6432531643169,-14.3567468356831,0.0044181437973001,2000000,19,16,37
7,4000,35,"homogeneous","c45-h60",45,60,"higher",0.00030927963450513,NA,1565.69749885881,1865.86650114116,69.3666832122534,-0.633316787746608,0.00550261438299131,2000000,19,16,37
7,4000,35,"homogeneous","c50-h24",50,24,"higher",0.00030927963450513,NA,1366.00203752654,1435.84196247347,24.8915586831857,-45.1084413168143,0.00212793450752362,2000000,19,16,37
7,4000,35,"homogeneous","c50-h36",50,36,"higher",0.00030927963450513,NA,1366.00203752654,1435.84196247347,37.230625060479,-32.769374939521,0.00317994275433998,2000000,19,16,37
7,4000,35,"homogeneous","c50-h48",50,48,"higher",0.00030927963450513,NA,1366.00203752654,1435.84196247347,49.4992290399721,-20.5007709600279,0.00422404856678345,2000000,19,16,37
7,4000,35,"homogeneous","c50-h60",50,60,"higher",0.00030927963450513,NA,1366.00203752654,1435.84196247347,61.6978747701457,-8.30212522985427,0.00526030416990814,2000000,19,16,37
7,4000,35,"homogeneous","c55-h24",55,24,"higher",0.00030927963450513,NA,1057.62194763893,942.64805236108,19.9483910309057,-50.0516089690943,0.00205483164523036,2000000,19,16,37
